"Faciliy Num";"Complaint Date";"Regulation(s) No";"Regulation_Description"
22083;"10/24/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
22083;"03/06/2018";"1300.1301.10";"There shall be a seating space and an individual, appropriate restraint system provided for each child transported."
22083;"03/06/2018";"1300.1301.4";"The vehicle(s) used for the transportation of children shall be in compliance with Arkansas state laws on transportation of children."
10430;"04/18/2023";"1100.1101.6";"Medication shall be given to children only with signed parental permission which includes date, type, drug name, time and dosage, length of time to give medication, and what the medication is being given for. It shall be in the original container with a child resistant cap, not have an expired date, and be labeled with the child's name. (Aspirin substitutes, such as ibuprofen and acetaminophen, may be provided by the facility if parental permission has been granted. These medications shall be in the original container.) Staff shall not dispense medications in dosages that exceed the recommendations stated on the medication bottle."
10430;"12/29/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
10430;"10/27/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30029;"05/17/2022";"500.501.2";"Physical punishment shall not be administered to children."
30029;"05/17/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30029;"04/11/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30029;"06/30/2021";"300.303.2";"Staff members in a child care center shall be eighteen (18) years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:"
30015;"02/14/2017";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
30015;"02/14/2017";"600.604.1.l";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:Written permission for the facility to place photos and video recordings of their child on social media or other websites, if applicable."
30015;"02/14/2017";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30816;"06/23/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
30816;"06/23/2023";"500.501.5.k";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Associating punishment with rest, toilet training, or illness;"
30816;"06/23/2023";"500.501.5.l";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Denying food (lunch or snacks) as punishment or punishing children for not eating;"
30816;"04/13/2023";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
30816;"01/27/2020";"500.501.5.k";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Associating punishment with rest, toilet training or illness"
30816;"01/27/2020";"500.501.5.o";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Covering the faces of children with blankets or similar items"
30816;"01/27/2020";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
29704;"07/16/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
29704;"07/16/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
29704;"03/02/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
29704;"03/02/2021";"300.302.5.1";"Subparts 1 and 2Except as provided in subsection (2) below, the EIDT must provide at least the following minimum staff-to-beneficiary ratio for all beneficiaries: Age Group Ratio 0 to 18 months 1:4 18 to 36 months 1:6 3 to 4 years 1:8 4 years and above 1:9"
1925;"01/25/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
24767;"03/23/2012";"500.501.5.m";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically or mentally harming children"
24767;"03/23/2012";"800.801.2";"State Health Department requirements shall be met. Written verification of annual approval shall be maintained on file."
24767;"03/23/2012";"400.401.5.a";"There shall be an opportunity for a supervised rest period that:Is at least one (1) hour, but does not exceed two (2) hours."
22949;"02/15/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
25292;"05/04/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
25292;"05/04/2021";"700.702.1.1";"(a) An EIDT must:(1) Submit all reports of the following events within one (1) hour of the event: (A) Death of a beneficiary; (B) Serious injury to a beneficiary; or (C) Any incident that an EIDT should reasonably know might be of interest to the public or the media."
25292;"05/04/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
5815;"02/05/2019";"300.301.2.d";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children4 years 1 15"
5815;"02/05/2019";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
1967;"10/08/2021";"1100.1107.4";"Soiled or wet diapers shall be removed and replaced with clean, dry diapers. The caregiver shall ensure that children are properly cleaned and dried."
1967;"10/08/2021";"1100.1107.2";"There shall be a safe diaper changing table that meets the following requirements:"
1967;"02/14/2019";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
1967;"02/14/2019";"1100.1101.15";"The facility shall follow any health or medical care plans and/or medical documentation as provided by the child’s physician, parent or guardian."
26595;"04/13/2017";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred. A copy of this shall be given to the parent on the day of occurrence."
36669;"06/05/2023";"1000.1001.1";"All manufacturer guidelines shall be followed for furniture and equipment that is used by, or around, children."
36669;"06/05/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
36669;"12/13/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
854;"01/25/2021";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
854;"01/25/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
854;"06/01/2020";"300.301.4";"Infants and toddlers shall not be mixed with preschool children, except as listed in the following requirement."
854;"06/01/2020";"500.501.5.n";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Shaming, humiliating, frightening, labeling, physically or mentally harming children"
854;"06/01/2020";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenBirth – 18 months 1 5"
14460;"01/14/2019";"500.501.5.k";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Associating punishment with rest, toilet training or illness"
14460;"10/26/2018";"1100.1101.15";"The facility shall follow any health or medical care plans and/or medical documentation as provided by the child’s physician, parent or guardian."
15922;"11/08/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
15922;"11/08/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
35883;"06/06/2022";"1300.1301.1";"The requirements in this section apply to all transportation provided by the Licensee, including transportation provided by any person on behalf of the Licensee, regardless of whether the person is employed by the Licensee. Periodic transportation, such as a parent requesting that their child be picked up at school due to the parent’s work schedule or other conflicts, is also covered by these requirements, whether a fee is charged for this service or not."
35883;"06/06/2022";"1300.1301.4";"The vehicle(s) used for the transportation of children shall be in compliance with Arkansas state laws on transportation of children."
30540;"10/14/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
27832;"03/30/2021";"300.302.5.1";"Subparts 1 and 2Except as provided in subsection (2) below, the EIDT must provide at least the following minimum staff-to-beneficiary ratio for all beneficiaries: Age Group Ratio 0 to 18 months 1:4 18 to 36 months 1:6 3 to 4 years 1:8 4 years and above 1:9"
27832;"03/30/2021";"300.302.1.2";"Subparts 1 and 2An EIDT must have enough employees on-site to supervise beneficiaries at the EIDT location."
27832;"03/30/2021";"300.301.10";"Developmental Disabilities Services (DDS) staff to child ratios shall be maintained during DDS program hours in all facilities that are licensed or certified by both Child Care Licensing and DDS."
27832;"03/30/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
21662;"04/22/2021";"300.302.1.2";"Subparts 1 and 2An EIDT must have enough employees on-site to supervise beneficiaries at the EIDT location."
21662;"04/22/2021";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
21662;"04/22/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
21662;"08/11/2020";"1100.1102.4";"Caregiver’s and children’s hands shall be washed with soap before meals and snacks, after toileting, after each diaper change, and as needed. The use of hand sanitizer shall not be a replacement for soap and running water."
21662;"08/11/2020";"1100.1103.2";"There shall be at least one sink in each infant/toddler room for ages under 18 months for diapering. Existing structures licensed prior to implementation of this rule are exempt from this requirement. However, any expansions, additions, rearrangement of classrooms being used or any newly licensed structures shall comply with this requirement."
21662;"08/11/2020";"700.702.3";"Infant bottles and food shall be prepared and heated in an area separate from the diaper changing area."
779;"07/06/2023";"300.301.5.a";"When a total of eight (8) or fewer children are in care at a licensed site, age groups may be mixed according to the following ratios: Number of Staff Number of Children Ages of Children1 6 No more than 3 under the age of 2 years"
779;"07/06/2023";"100.109.1.b";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
779;"07/06/2023";"100.110.1.b";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
779;"02/12/2020";"300.301.6";"In a group containing children of different ages, the staff/child ratio shall meet the requirements for the youngest child in the group."
25138;"05/03/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
26140;"02/25/2022";"300.301.2";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of Children"
26140;"04/29/2019";"300.301.2.a";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenBirth – 18 months 1 5"
26140;"07/01/2016";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one business day."
26140;"07/01/2016";"900.901.10";"All areas where children play outdoors shall be properly maintained."
1620;"07/19/2016";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
1310;"12/12/2018";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
28336;"02/28/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28336;"03/05/2020";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
23647;"04/04/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
31045;"10/07/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
31045;"04/09/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30727;"07/11/2023";"1000.1003.4";"Infants’ sleep space (e.g. crib) shall be free of loose bedding. If a light blanket is necessary, it should be kept at or below the mid-chest area of the child. Staff shall not cover the faces of infants."
30727;"06/17/2019";"100.102.1";"Child Care Centers shall maintain compliance with the licensing requirements at all times. To be in substantial compliance, the Child Care Center shall meet all essential standards necessary to protect the health, safety and welfare of the children attending the Child Care Center. Essential standards include but are not limited to those relating to issues involving fire, health, safety, nutrition, discipline, staff/child ratio and space. Failure to comply with any of the licensing requirements for Child Care Centers may result in any of the following adverse actions:"
30727;"06/17/2019";"300.303.2";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:"
30727;"05/01/2019";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc."
30421;"05/12/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
30421;"03/28/2023";"300.301.2.b";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 18 months – 36 months Number of Staff: 1 Number of Children: 8"
30421;"03/28/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30421;"01/11/2021";"1200.1201.20";"Electrical outlets shall be guarded."
30421;"01/11/2021";"1200.1201.16";"All detergents and cleaning supplies shall be kept out of the reach of children. (This does not include hand soap in children’s or staff bathrooms.)"
28659;"11/07/2019";"300.303.1";"A person shall be considered a staff member if they have disciplinary or supervisory control over children, is left alone with children at any time or is counted in staff/child ratio, regardless of whether or not they are paid by the facility."
28659;"11/07/2019";"500.501.3";"The length of time a child is placed in time out shall not exceed one minute per year of the child's age."
28659;"11/07/2019";"500.501.6";"Posted group behavior charts shall not be used. (Individual behavior charts that are not viewable by children and individual charts used by therapists are allowable.)"
29278;"09/16/2020";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
23705;"04/08/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
23705;"04/08/2022";"300.302.1.1";"Subparts 1 and 2An EIDT must appropriately supervise all beneficiaries based on each beneficiary’s needs."
23705;"04/08/2022";"200.201.4.2";"Subparts 1 and 2(A) An EIDT must comply with all requirements of the applicable Minimum Licensing Standards for Child Care Centers. (B) A violation of the applicable Minimum Licensing Standards for Child Care Centers constitutes a violation of these standards."
23705;"12/01/2021";"300.301.6";"In a group containing children of different ages, the staff to child ratio shall meet the requirements for the youngest child in the group."
23705;"12/01/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
23808;"04/17/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
23808;"04/17/2023";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 2 ½ - 3 years Number of Staff: 1 Number of Children: 12"
23808;"05/08/2012";"300.301.2.a";"The following staff child ratios shall be maintained:ages: Birth - 18 months number of staff: 1 number of children 6"
31375;"01/24/2022";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 2 ½ - 3 years Number of Staff: 1 Number of Children: 12"
31375;"12/10/2020";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury.)"
30877;"06/27/2019";"100.102.4";"A home requires licensing when one (1) or more persons care for six (6) or more children, from more than one (1) family at the same time. A maximum of sixteen (16) children may be cared for with a Child Care Family Home license."
31430;"08/12/2020";"300.303.6";"Staff shall not engage in behavior that could be viewed as sexual, dangerous, exploitative or physically harmful to children. A caregiver shall not use profanity or speak in an abusive manner when children are present."
31387;"07/10/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
31387;"07/10/2023";"500.501.5.l";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Denying food (lunch or snacks) as punishment or punishing children for not eating;"
31387;"07/10/2023";"500.502.1";"Time-out shall not be used for children under two (2) years of age."
35869;"01/04/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
35869;"01/04/2023";"500.501.5.i";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Yelling (This does not include a raised voice level to gain a child’s attention to protect the child from risk of harm);"
35869;"08/17/2022";"600.604.1.i";"The child care facility shall maintain a record for each child in care which shall be on site. Records for children no longer enrolled may be maintained off site. Children’s records shall contain the following information:A written record of all significant changes in the child’s physical or emotional state and accidents, incidents or injuries, indicating the date, location, time of day, area or piece of equipment where the incident occurred (A copy of this shall be given to the parent on the day of occurrence);"
35869;"10/27/2021";"1200.1201.14";"All medications and poisonous substances shall be kept in separately locked areas."
35869;"10/27/2021";"300.303.3";"All staff members who work directly with children shall have a high school diploma or GED."
36290;"07/07/2023";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
36290;"07/07/2023";"1100.1101.4";"Any child who is injured shall have immediate attention. Parents shall be notified of all injuries. Injuries that require the attention of medical personnel shall be reported to the parent immediately and to the Licensing Unit within one (1) business day."
36290;"04/26/2023";"100.110.2.b";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years.Staff and applicants for employment in a child care facility Prior to employment and every five (5) years thereafter"
36290;"12/29/2022";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
30426;"05/18/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30426;"03/20/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30623;"03/14/2023";"500.502.2";"The child may be placed in a supervised area away from the group or in a crib or playpen while staff attends to the situation. Brief separation from the group is acceptable when the child’s behavior places the child or others at risk of harm. Example: A child who has bitten another child would be removed from the group, briefly, while staff attends to the bitten child."
30623;"03/14/2023";"400.402.4.a";"The facility shall implement relationship-based practices that promote consistency. Infant and toddler caregivers and teachers shall:Respond promptly to cries and calls of distress by verbally acknowledging, gently touching, and holding children;"
30623;"05/15/2019";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
30623;"03/08/2019";"700.701.2";"Breakfast, lunch, snacks and evening meals shall each meet current U.S. Department of Agriculture guidelines, including portion size. (See Appendix C) Menus for all food service shall be posted. See Division web-site. If sack lunches are utilized, the facility shall ensure that they also meet these requirements. Milk shall be served to each child during the day. Exceptions may be made for children who suffer allergies to milk."
30623;"03/08/2019";"300.303.7";"No caregiver shall consume or be under the influence of illegal drugs. (A drug test may be required if there is reasonable cause to suspect violation of this requirement and the issue cannot otherwise be resolved.) No caregiver shall consume or be under the influence of alcohol while delivering care. No caregiver shall consume or be under the influence of medications (prescription or non-prescription) which impair their ability to provide care."
30623;"03/08/2019";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
30590;"09/07/2021";"100.110.1.b";"The following persons shall apply to the Identification Bureau of the Arkansas State Police for a nationwide criminal record check, to be conducted by the Federal Bureau of Investigation (FBI), which shall include a fingerprint check: (The individual is responsible for the cost of a nationwide check. Each request must be accompanied by a check or money order made out to the Arkansas State Police.) Fingerprints submitted will be used to check the criminal history records of the FBI. Individuals with results showing a prohibited offense shall be advised to contact the Licensing Unit for procedures to obtain the results and for procedures to update or make corrections to the record of their individual history.Direct care staff or staff with routine contact with children Prior to employment and every five (5) years thereafter"
30590;"09/07/2021";"100.109.1.b";"The following persons shall be required to have their background reviewed through an Arkansas Child Maltreatment Central Registry Check. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a child maltreatment background check in any states where they resided during the past five (5) years.Staff members and applicants for employment in a Prior to employment and every two (2) years child care facility thereafter"
30590;"09/07/2021";"100.110.2.b";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years.Staff and applicants for employment in a child care facility Prior to employment and every five (5) years thereafter"
29912;"09/10/2021";"100.110.2";"Arkansas State Police Criminal Background Check The following persons shall be required to have their background reviewed through a fingerprint criminal records check (which includes the Arkansas Sexual Offender Registry) conducted by the Arkansas State Police. A prospective staff member may not begin work until the Arkansas State Police criminal record check result has been returned as satisfactory. Following receipt of the satisfactory result, this individual must be supervised at all times, pending completion of all of the required background check components, by a staff member who has successfully completed all required background checks. A National Sexual Offender Registry check will also be conducted on prospective employees. Prospective employees who have not lived in the State of Arkansas during the preceding five (5) years will be subject to current federal guidelines regarding conducting a criminal background check and sexual offender registry check in any states where they resided during the past five (5) years."
29912;"09/10/2021";"300.301.2.c";"The following staff child ratios shall be maintained: Ages of Children Number of Staff Number of ChildrenAges of Children: 2 ½ - 3 years Number of Staff: 1 Number of Children: 12"
29912;"09/10/2020";"300.303.2";"Staff members in a child care center shall be 18 years of age or older. Exceptions may be allowed for individuals sixteen (16) or seventeen (17) years of age to work in a center if they meet all of the following criteria:"
29912;"09/10/2020";"600.601.1";"All staff, child and facility records shall be kept and made available to the Child Care Licensing Unit on request. The records shall be maintained for three (3) years unless otherwise indicated."
29912;"04/07/2020";"1100.1101.18";"The facility shall be free of insects, rodents and pests."
28549;"02/08/2023";"400.401.16.b";"The use of television, Digital Versatile Disc (DVDs), video cassettes, computer or video games, and other screen time activities shall meet the following requirements:Shall be limited to programs of educational value which are age-appropriate;"
28546;"10/04/2022";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28969;"05/14/2023";"500.501.5.h";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Inflicting physical pain, hitting, pinching, pulling hair, slapping, kicking, twisting arms, biting or biting back, spatting, swatting, etc.;"
28969;"05/14/2023";"500.501.5.a";"The following activities or threats of such activities are unacceptable as behavior guidance measures and shall not be used for children. These include, but are not limited to the following:Restraints (Restraining a child briefly by holding the child is allowed when the child’s actions place the child or others at risk of injury);"
28969;"06/09/2021";"300.301.8";"At no time shall children be left unsupervised or unattended. The child care center shall provide additional staff for any temporary absence of primary child caring staff for activities such as breaks, meal preparation, transportation, etc."
28969;"10/13/2017";"300.301.9";"The use of cell phones by staff while supervising children shall be prohibited except in emergency situations."
28969;"10/13/2017";"400.401.17";"Photos or video recordings shall not be made of any child without prior written permission from the child’s parent or guardian."
