"Facility";"Telephone";"ID";"Status";"Official";"Daytime Hours";"Nighttime Hours";"Daytime Ages";"Nighttime Ages";"Mailing Address";"Address";"City";"State";"Zip";"Licensee";"Mailing Address State";"Mailing Address City";"Mailing Address Zip";"DetailsURL";"Type of Care";"Star Rating";"Rating Expiration";"Accr Code";"Accreditations";"Accr Exp Date";"County"
"HUMPTY DUMPTY CHILDCARE, LLC";"(334)612-0903";33;"Licensed";"MILDRED JEFFERSON - Director";"05:30 AM - 06:30 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"3784 NORMAN BRIDGE RD";"3784 NORMAN BRIDGE RD";"MONTGOMERY";"AL";36105;"HUMPTY DUMPTY CHILDCARE, LLC";"AL";"MONTGOMERY";36105;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=33";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 06:30 PM";;;;"Montgomery"
"JAAD'S CHILD CARE & DEV CENTER INC.";"(334)284-9055";1430;"Licensed";"THERESA HARDWICK - Director";"06:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"4 WKS Through 12 YRS";"4 WKS Through 12 YRS";"4002 ST LOUIS ROAD";"4002 ST LOUIS ROAD";"MONTGOMERY";"AL";36116;"JAAD'S CHILD CARE & DEV CENTER INC.";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1430";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 07:00 PM";;;;"Montgomery"
"JUST BE YOU SCHOOL AGE PROGRAM (JBU)";"(334)593-4322";930;"Licensed";"CARINAH MCKINNIE - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"4 YRS Through 11 YRS";"N/A";"5669 EDDINS ROAD";"5669 EDDINS ROAD";"MONTGOMERY";"AL";36117;"CARINAH MCKINNIE";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=930";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 06:00 PM";;;;"Montgomery"
"KAMP A DEMICS LEARNING CENTER";"(334)262-3912";514;"Licensed";"VIVIAN GADSON - Director";"06:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"8 WKS Through 12 YRS";"8 WKS Through 12 YRS";"P O BOX 9256";"2308 DILLARD STREET";"MONTGOMERY";"AL";36108;"VIVIAN GADSON";"AL";"MONTGOMERY";36108;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=514";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Montgomery"
"KERSHAW HEAD START";"(334)263-3474";2214;"Licensed";"ANISSA CLAY - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1062 ADAMS AVE.";"2225 W. FAIRVIEW AVE";"MONTGOMERY";"AL";36108;"MONTGOMERY COMM. ACTION COMMITT & CDCINC";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2214";"Day Care Centers";;;;;;"Montgomery"
"KIDS AT HEART DEVELOPMENT CENTER";"(334)517-5968";562;"Licensed";"HAZEL MARTIN - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"0 MOS Through 16 YRS";"N/A";"3600 RICHARD ROAD";"3600 RICHARD ROAD";"MONTGOMERY";"AL";36111;"HAZEL MARTIN";"AL";"MONTGOMERY";36111;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=562";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Montgomery"
"KIDZ R KIDZ II LEARNING CENTER";"(334)322-0700";1755;"Licensed";"CHIQUITTA THOMAS - Director";"05:00 AM - 07:00 PM";"07:00 PM - 08:00 PM";"0 WKS Through 15 YRS";"0 WKS Through 15 YRS";"4439 NARROW LANE ROAD";"4439 NARROW LANE ROAD";"MONTGOMERY";"AL";36116;"CHIQUITTA THOMAS";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1755";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Montgomery"
"KIDZ 'R' KIDZ LEARNING CENTER";"(334)676-2226";1754;"Licensed";"CHIQUITTA THOMAS - Director";"06:00 AM - 06:30 PM";"N/A - N/A";"6 WKS Through 13 YRS";"N/A";"4540 NARROW LANE ROAD";"4540 NARROW LANE ROAD";"MONTGOMERY";"AL";36116;"CHIQUITTA THOMAS";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1754";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:30 PM";;;;"Montgomery"
"KIDZ UNIVERSITY OF MONTGOMERY";"(334)676-3883";1688;"Licensed";"KRISTINE THOMAS - Director";"05:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"04 WKS Through 12 YRS";"04 WKS Through 12 YRS";"445 COTTON GIN RD";"445 COTTON GIN RD";"MONTGOMERY";"AL";36117;"KRISTINE THOMAS";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1688";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Montgomery"
"KIDZ VISIONS LEARNING CENTER";"(334)593-2489";1577;"Licensed";"VALERIE FRANK - Director";"05:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 14 YRS";"N/A";"5741 KYSER COURT";"5741 KYSER COURT";"MONTGOMERY";"AL";36116;"VALERIE FRANK";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1577";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 06:00 PM";;;;"Montgomery"
"KIDZ ZONE LEARNING ACADEMY II";"(334)593-7703";1699;"Licensed";"THELMA THOMAS - Director";"05:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"3 YRS Through 12 YRS";"3 YRS Through 12 YRS";"4011 WALLACE DRIVE";"4011 WALLACE DRIVE";"MONTGOMERY";"AL";36116;"KIDZ ZONE LEARNING ACADEMY LLC";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1699";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Montgomery"
"KIDZ ZONE LEARNING ACADEMY LLC";"(334)649-1999";1700;"Licensed";"TRACY HILL - Director";"05:30 PM - 07:00 PM";"07:00 PM - 12:00 AM";"6 WKS Through 12 YRS";"6 WKS Through 12 YRS";"2850 E. S. BLVD";"2850 E. SOUTH BLVD";"MONTGOMERY";"AL";36116;"KIDZ ZONE LEARNING ACADEMY LLC";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1700";"Day Care Centers";1;"Daytime Hours: 05:30 PM - 07:00 PM";;;;"Montgomery"
"KINGDOM LIFE MINISTRIES INC.";"(334)676-2140";2219;"Exempt";"BRIAN PLEASANT - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2101 CHESTNUT STREET";"2101 CHESTNUT STREET";"MONTGOMERY";"AL";36106;"KINGDOM LIFE MINISTRIES INC.";"AL";"MONTGOMERY";36106;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2219";"Day Care Centers";;;;;;"Montgomery"
"LAKEVIEW BAPTIST CHURCH";"(334)396-3944";2205;"Exempt";"ASHLEY TIDWELL - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"P.O. BOX 241738";"9225 ATLANTA HIGHWAY";"MONTGOMERY";"AL";36124;"LAKEVIEW BAPTIST CHURCH";"AL";"MONTGOMERY";36124;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2205";"Day Care Centers";;;;;;"Montgomery"
"LEARNING KIDZ ACADEMY";"(334)649-2389";1818;"Licensed";"ASHLEY JONES - Director";"05:30 AM - 07:00 PM";"N/A - N/A";"4 WKS Through 12 YRS";"N/A";"2061 RIGBY STREET";"2061 RIGBY STREET";"MONTGOMERY";"AL";36110;"LEARNING KIDZ ACADEMY LLC";"AL";"MONTGOMERY";36110;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1818";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Montgomery"
"LEGACY ANGLICAN CHURCH";"(334)649-4601";2212;"Exempt";"TARA HARRIS - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2323 BELL ROAD";"2323 BELL ROAD";"MONTGOMERY";"AL";36117;"LEGACY ANGLICAN CHURCH";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2212";"Day Care Centers";;;;;;"Montgomery"
"LIGHTHOUSE CHURCH";"(334)271-4200";2210;"Exempt";"JANELLE FORD - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"3570 BELL ROAD";"3570 BELL ROAD";"MONTGOMERY";"AL";36116;"LIGHTHOUSE CHURCH";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2210";"Day Care Centers";;;;;;"Montgomery"
"LITTLE DREAMERS LEARNING CENTER";"(334)593-2494";1803;"Licensed";"LATRICIA HORTON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"4211 SUNSHINE DRIVE";"4211 SUNSHINE DRIVE";"MONTGOMERY";"AL";36116;"LITTLE DREAMERS LEARNING CENTER, INC.";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1803";"Day Care Centers";;;;;;"Montgomery"
"LITTLE EXPLORER'S LEARNING CENTER";"(334)593-7106";1828;"Licensed";"JENNIFER MITCHELL - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"0 MOS Through 18 YRS";"N/A";"7735 ATLANTA HIGHWAY";"7735 ATLANTA HIGHWAY";"MONTGOMERY";"AL";36117;"LITTLE EXPLORER'S LEARNING CENTER";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1828";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Montgomery"
"MACON EAST ACADEMY";"(334)277-6566";1100;"Licensed";"DEBORAH MILLS - Director";"07:15 AM - 03:30 PM";"N/A - N/A";"3 YRS Through 6 YRS";"N/A";"15396 VAUGHN ROAD";"15396 VAUGHN ROAD";"CECIL";"AL";36013;"MACON EAST ACADEMY";"AL";"CECIL";36013;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1100";"Day Care Centers";;;;;;"Montgomery"
"MARY'S LITTLE LAMBS CHILDCARE CENTER";"(334)593-9956";887;"Licensed";"MARY WILLIAMS - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"0 WKS Through 15 YRS";"N/A";"4017 TROY HIGHWAY";"4017 TROY HIGHWAY";"MONTGOMERY";"AL";36116;"MARY WILLIAMS";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=887";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:30 PM";;;;"Montgomery"
"MCKEE ELEM HEAD START";"(334)399-2467";1480;"Licensed";"ANISSA CLAY - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"03 YRS Through 05 YRS";"N/A";"1060 ADAMS AVENUE";"4017 MCINNIS ROAD";"MONTGOMERY";"AL";36116;"MONTG. COMM. ACTION COMMITTEE & COMM.DEV";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1480";"Day Care Centers";;;;;;"Montgomery"
"MEMORIAL PRESBYTERIAN CHURCH";"(334)274-1018";2204;"Exempt";"MEGAN JOLLEY - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"2130 BELL ROAD";"2130 BELL ROAD";"MONTGOMERY";"AL";36117;"MEMORIAL PRESBYTERIAN CHURCH";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2204";"Day Care Centers";;;;;;"Montgomery"
"METRO CHRISTIAN ACADEMY";"(334)593-4100";424;"Licensed";"LATOYA PIERCE - Director";"06:30 AM - 05:45 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"5991 MONTICELLO DRIVE";"5991 MONTICELLO DRIVE";"MONTGOMERY";"AL";36117;"LATOYA PIERCE";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=424";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:45 PM";;;;"Montgomery"
"MONT. E. YMCA KINDERGRTN. & C.C.";"(334)272-3390";950;"Licensed";"RACHELE LANDERS - Director";"07:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 5 YRS";"N/A";"3407 PELZER AVENUE";"3407 PELZER AVENUE";"MONTGOMERY";"AL";36109;"THE YMCA OF MONTGOMERY INC";"AL";"MONTGOMERY";36109;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=950";"Day Care Centers";1;"Daytime Hours: 07:00 AM - 06:00 PM";;;;"Montgomery"
"MONTESSORI ACADEMY";"(334)262-8685";2197;"Licensed";"VIRGINIA REMKO - Director";"06:30 AM - 05:30 PM";"N/A - N/A";"12 MOS Through 6 YRS";"N/A";"1025 SOUTH HULL STREET";"1025 SOUTH HULL STREET";"MONTGOMERY";"AL";36104;"MONTESSORI ACADEMY OF MONTGOMERY, INC";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2197";"Day Care Centers";;;;;;"Montgomery"
"MONTESSORI AT MULBERRY";"(334)265-7733";2202;"Licensed";"AMBER LONG - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"12 MOS Through 6 YRS";"N/A";"2034 CLUBVIEW ST";"2034 CLUBVIEW ST";"MONTGOMERY";"AL";36106;"MONTESSORI AT MULBERRY, LLC.";"AL";"MONTGOMERY";36106;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2202";"Day Care Centers";;;;;;"Montgomery"
"MONTGOMERY CATHOLIC PREP. SCHOOL SITE I";"(334)272-3033";2215;"Exempt";"JUSTIN CASTANZA - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"5350 VAUGHN ROAD";"3850 ATLANTA HIGHWAY";"MONTGOMERY";"AL";36109;"MONTGOMERY CATHOLIC PREP. SCHOOL SITE I";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2215";"Day Care Centers";;;;;;"Montgomery"
"MONTGOMERY CATHOLIC PREP. SCHOOL SITE II";"(334)649-4404";2216;"Exempt";"JUSTIN CASTANZA - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"5350 VAUGHN ROAD";"8580 VAUGHN ROAD";"MONTGOMERY";"AL";36117;"MONTGOMERY CATHOLIC PREP. SCHOOL SITE II";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=2216";"Day Care Centers";;;;;;"Montgomery"
"MOTHERS WITH CARE";"(334)201-8616";1712;"Licensed";"PAMELA THOMAS - Director";"05:30 AM - 07:00 PM";"N/A - N/A";"2 WKS Through 15 YRS";"N/A";"317 ARTHUR STREET";"317 ARTHUR STREET";"MONTGOMERY";"AL";36107;"PAMELA THOMAS";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1712";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Montgomery"
"MU THETA CHI CHRISTIAN INC.";"(334)265-6086";1540;"Licensed";"LISA WILLIAMS - Director";"06:00 AM - 07:00 PM";"07:00 PM - 11:00 PM";"3 WKS Through 14 YRS";"3 WKS Through 14 YRS";"1562 ANN STREET";"1562 ANN STREET";"MONTGOMERY";"AL";36107;"LISA WILLIAMS";"AL";"MONTGOMERY";36107;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1540";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 07:00 PM";;;;"Montgomery"
"MY KIDS 2 CHILD CARE CENTER";"(334)593-2351";817;"Licensed";"VANESSA BALL - Director";"06:30 AM - 07:00 PM";"07:00 PM - 12:00 AM";"2 WKS Through 6 YRS";"2 WKS Through 6 YRS";"3730 NORMAN BRIDGE ROAD";"3730 NORMAN BRIDGE ROAD";"MONTGOMERY";"AL";36105;"VANESSA BALL";"AL";"MONTGOMERY";36105;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=817";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Montgomery"
"NARROW LANE ROAD HEAD START";"(334)281-2895";1476;"Licensed";"BRENDA KIRT - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1060 ADAMS AVENUE";"4437 NARROW LANE ROAD";"MONTGOMERY";"AL";36116;"MONTG. COMMUNITY ACTION COMM & COMM DEV";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1476";"Day Care Centers";;;;;;"Montgomery"
"NEW BEGINNINGS CHILD CARE CENTER";"(334)356-8606";558;"Licensed";"CHIQUITA BALDWIN - Director";"06:45 AM - 07:00 PM";"07:00 PM - 11:30 PM";"4 WKS Through 13 YRS";"21/2 YRS Through 13 YRS";"661 HOLCOMB ST";"661 HOLCOMB ST";"MONTGOMERY";"AL";36104;"CHIQUITA BALDWIN";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=558";"Day Care Centers";;;;;;"Montgomery"
"NEW GENERATION PRE SCHOOL";"(334)263-9660";1187;"Licensed";"JANET LONG - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 15 YRS";"N/A";"3461 OLD SELMA ROAD";"3461 OLD SELMA ROAD";"MONTGOMERY";"AL";36108;"NEW GENERATION PRE-SCHOOL, LLC";"AL";"MONTGOMERY";36108;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1187";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Montgomery"
"NEW HOME HEAD START";"(334)593-8113";1486;"Licensed";"GAIL ANDERSON - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"2 YRS Through 5 YRS";"N/A";"1062 ADAMS AVENUE";"11015 JONES ROAD";"MONTGOMERY";"AL";36117;"MONTGOMERY COMM. ACTION COMM. & CDC, INC";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1486";"Day Care Centers";;;;;;"Montgomery"
"NEW HOPE VALLEY CHILDCARE";"(334)593-2929";40;"Licensed";"DEMONA MCINTOSH - Director";"06:45 AM - 06:00 PM";"N/A - N/A";"12 MOS Through 13 YRS";"N/A";"1022 SOUTH COURT STREET";"1022 SOUTH COURT STREET";"MONTGOMERY";"AL";36104;"DEMONA MCINTOSH";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=40";"Day Care Centers";;;;;;"Montgomery"
"NEW HORIZON PRESCHOOL & LEARNING CTR LLC";"(334)834-9403";1697;"Licensed";"CAMILLA THOMAS - Director";"05:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"6 WKS Through 12 YRS";"6 WKS Through 12 YRS";"213 S. MADISON TERRACE";"213 S. MADISON TERRACE";"MONTGOMERY";"AL";36107;"NEW HORIZON PRESCHOOL & LEARNING CTR LLC";"AL";"MONTGOMERY";36107;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1697";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Montgomery"
"NEW TOWN HEAD START CENTER";"(334)386-3571";1483;"Licensed";"MARY MCINNIS - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"03 YRS Through 05 YRS";"N/A";"1062 ADAMS AVENUE";"1765 NORTH DECATUR";"MONTGOMERY";"AL";36104;"MONTG. COMM. ACTION COMMITTEE, INC.";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1483";"Day Care Centers";;;;;;"Montgomery"
"NEXT STEP LEARNING CENTER LLC";"(334)324-1006";863;"Licensed";"LATRICE RENEE HORTON - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"4355 VIRGINIA LOOP RD";"4355 VIRGINIA LOOP RD";"MONTGOMERY";"AL";36116;"NEXT STEP LEARNING CENTER LLC";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=863";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Montgomery"
"NOW FAITH MINISTRIES";"(334)288-1611";1708;"Licensed";"MELVA DUPREE - Director";"06:30 AM - 07:00 PM";"07:00 PM - 07:30 PM";"6 WKS Through 13 YRS";"6 WKS Through 13 YRS";"3085 WOODLEY RD";"3085 WOODLEY RD";"MONTGOMERY";"AL";36116;"NOW FAITH MINISTRIES";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1708";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 07:00 PM";;;;"Montgomery"
"OUR CHILDREN'S ACADEMY, LLC";"(334)647-1113";798;"Licensed";"KAY CULLERS - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"0 WKS Through 5 YRS";"N/A";"1000 MONTICELLO COURT";"1000 MONTICELLO COURT";"MONTGOMERY";"AL";36117;"KAY CULLERS";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=798";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 06:00 PM";;;;"Montgomery"
"OUTREACH DELIVERANCE CHURCH DAY CARE";"(334)593-8562";1596;"Licensed";"CASSANDRA LODER - Director";"06:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"6 WKS Through 12 YRS";"6 WKS Through 12 YRS";"1624 RIGBY STREET";"1624 RIGBY STREET";"MONTGOMERY";"AL";36110;"CASSANDRA LODER";"AL";"MONTGOMERY";36110;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1596";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 07:00 PM";;;;"Montgomery"
"PARKS PLACE PRE-K";"(334)530-0291";953;"Licensed";"DARRYL WOODS - Director";"06:30 AM - 06:00 PM";"N/A - N/A";"3 YRS Through 5 YRS";"N/A";"1201 ROSA PARKS AVE";"660 CLEVELAND COURT";"MONTGOMERY";"AL";36108;"YMCA OF GREATER MONTGOMERY";"AL";"MONTGOMERY";36108;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=953";"Day Care Centers";;;;;;"Montgomery"
"PRESCHOOL PLUS";"(334)356-0016";1739;"Licensed";"KAYLA WRIGHT - Director";"06:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"4453 ATLANTA HIGHWAY";"4453 ATLANTA HIGHWAY";"MONTGOMERY";"AL";36109;"SOUTHERN EARLY EDUCATION ENTERPRISE, INC";"AL";"MONTGOMERY";36109;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1739";"Day Care Centers";1;"Daytime Hours: 06:00 AM - 06:00 PM";;;;"Montgomery"
"PROVIDENCE EARLY CHILDHOOD LEARN. ACAD.E";"(334)356-2300";839;"Licensed";"CATHY JONES - Director";"N/A - N/A";"N/A - N/A";"N/A";"N/A";"3410 KESSINGER DRIVE";"3410 KESSINGER DRIVE";"MONTGOMERY";"AL";36116;"PROVIDENCE EARLY CHILDHOOD LEARN. ACADEM";"AL";"MONTGOMERY";36116;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=839";"Day Care Centers";1;"Daytime Hours: N/A - N/A";;;;"Montgomery"
"PROVIDENCE EARLY CHILDHOOD LEARN.ACADEMY";"(334)271-2223";838;"Licensed";"CATHY JONES - Director";"06:30 AM - 05:45 PM";"N/A - N/A";"4 WKS Through 12 YRS";"N/A";"508 COLISEUM BOULEVARD";"508 COLISEUM BOULEVARD";"MONTGOMERY";"AL";36109;"PROVIDENCE EARLY CHILDHOOD LEARN.ACADEMY";"AL";"MONTGOMERY";36109;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=838";"Day Care Centers";1;"Daytime Hours: 06:30 AM - 05:45 PM";;;;"Montgomery"
"RESURRECTION PRESCHOOL";"(334)230-1970";995;"Licensed";"EDJUANA JOHNSON-NEWTON - Director";"07:00 AM - 05:30 PM";"N/A - N/A";"2 1/2 YRS Through 5 YRS";"N/A";"2815 FORBES DRIVE";"2815 FORBES DRIVE";"MONTGOMERY";"AL";36110;"RES. CATHOLIC MISSION OF THE SOUTH INC.";"AL";"MONTGOMERY";36110;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=995";"Day Care Centers";;;;;;"Montgomery"
"RIVER REGION KIDS I";"(334)215-3499";1703;"Licensed";"CAMILLA THOMAS - Director";"05:00 AM - 06:00 PM";"N/A - N/A";"6 WKS Through 12 YRS";"N/A";"620 EASTERN BLVD";"620 EASTERN BLVD";"MONTGOMERY";"AL";36117;"RIVER REGION KIDS, LLC";"AL";"MONTGOMERY";36117;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1703";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 06:00 PM";;;;"Montgomery"
"RIVER REGION KIDS II, LLC";"(334)398-8109";334;"Licensed";"CAMILLA THOMAS - Director";"06:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"6 YRS Through 12 YRS";"6 YRS Through 12 YRS";"P.O. BOX 241871";"3874 S. COURT ST";"MONTGOMERY";"AL";36105;"RIVER REGION KIDS II, LLC";"AL";"MONTGOMERY";36124;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=334";"Day Care Centers";;;;;;"Montgomery"
"RIZING STARZ CHILDCARE CENTER";"(334)593-8558";1675;"Licensed";"JOHNNIE MONTGOMERY - Director";"05:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"6 WKS Through 12 YRS";"6 WKS Through 12 YRS";"789 SOUTH COURT ST";"789 SOUTH COURT ST";"MONTGOMERY";"AL";36104;"JOHNNIE MONTGOMERY";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1675";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Montgomery"
"ROOM TO GROW";"(334)269-3411";1849;"Licensed";"VIRGINIA BASS - Director";"05:00 AM - 07:00 PM";"07:00 PM - 12:00 AM";"0 WKS Through 12 YRS";"0 WKS Through 12 YRS";"1825 WEST SECOND STREET";"1825 WEST SECOND STREET";"MONTGOMERY";"AL";36106;"VIRGINIA BASS";"AL";"MONTGOMERY";36106;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1849";"Day Care Centers";1;"Daytime Hours: 05:00 AM - 07:00 PM";;;;"Montgomery"
"RSA HEAD START";"(334)262-0266";1479;"Licensed";"ANNISA CLAY - Director";"07:30 AM - 03:30 PM";"N/A - N/A";"0 WKS Through 5 YRS";"N/A";"1060 ADAMS AVENUE";"300 MONROE STREET";"MONTGOMERY";"AL";36105;"MONTGOMERY COMM ACTION COMM & COMM. DEV";"AL";"MONTGOMERY";36104;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1479";"Day Care Centers";;;;;;"Montgomery"
"SCHOOL HOUSE ROCK DAYCARE";"(334)286-8100";1674;"Licensed";"SHARON HARRIS - Director";"05:30 AM - 07:00 PM";"N/A - N/A";"0 WKS Through 12 YRS";"N/A";"POST OFFICE BOX 242711";"4521 MOBILE HWY";"MONTGOMERY";"AL";36108;"SCHOOL HOUSE ROCK DAYCARE, LLC";"AL";"MONTGOMERY";36124;"https://apps.dhr.alabama.gov/daycare/daycare_results?ID=1674";"Day Care Centers";1;"Daytime Hours: 05:30 AM - 07:00 PM";;;;"Montgomery"
