"full_name";"owner_name";"license_no";"license_status";"license_type";"mailing_address_line_1";"mailing_address_city";"mailing_address_state";"mailing_address_zipcode";"mailing_address_county";"mailing_address_phone";"physical_address_line_1";"physical_address_city";"physical_address_state";"physical_address_zipcode";"physical_address_county";"physical_address_phone";"director_first_name";"director_last_name";"capacity";"age_wks_lo";"age_mos_lo";"age_yrs_lo";"age_yrs_hi"
"Imprints Day School";"Flemming Holdings, LLC";"CCCB-05971";"Active";"Center Based Program License";"2 Lafayette Road";"North Hampton";"NH";03862;"Rockingham";(603) 379-8015;"2 Lafayette Road";"North Hampton";"NH";03862;"Rockingham";(603) 379-8015;"Maria     ";"Flemming";188;6;;;6
"Southern District YMCA Schools Out - North Hampton";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-04674";"Active";"Center Based Program License";"56 Linden Street";"Exeter";"NH";03833;"Rockingham";(603) 988-2438;"201 Atlantic Avenue";"North Hampton";"NH";03862;"Rockingham";(603) 642-3361;"Alyssa";"Lapierre";45;;8;4;15
"Kathy's Day Care";"Kathleen C. Kennedy";"CCFB-05358";"Active";"Family Based Program License";"1449 Briar Hill Road";"North Haverhill";"NH";03774;"Grafton";(603) 787-6593;"1449 Briar Hill Road";"North Haverhill";"NH";03774;"Grafton";(603) 787-6593;"Kathleen  ";"Kennedy";10;6;;;12
"Sheltering Tree Child Day Care";"Christina L. Page";"CCFB-06150";"Active";"Family Based Program License";"2998 Dartmouth College Highway";"North Haverhill";"NH";03774;"Grafton";(603) 243-0089;"2998 Dartmouth College Highway";"North Haverhill";"NH";03774;"Grafton";(603) 243-0089;"Christina ";"Page";10;;;3;12
"Karen's Kare";"Karen Norcross";"CCFB-06519";"Active";"Family Based Program License";"PO Box 203";"North Haverhill";"NH";03774;"Grafton";(603) 787-6141;"20 Willow Lane";"North Haverhill";"NH";03774;"Grafton";(603) 787-6141;"Karen";"Norcross";17;6;;;12
"Michele's Day Care";"Michele Greenwood";"CCFB-06744";"Active";"Family Based Program License";"26 Church Street";"North Walpole";"NH";03609;"Cheshire";(603) 445-2161;"26 Church Street";"North Walpole";"NH";03609;"Cheshire";(603) 445-2161;"Michele";"Greenwood";15;;2;;12
"Ginger's Step By Step";"Ginger Hume";"CCFB-06005";"Active";"Family Based Program License";"87 Park Street";"Northfield";"NH";03276;"Belknap";(603) 286-2397;"87 Park Street";"Northfield";"NH";03276;"Belknap";(603) 286-2397;"Ginger    ";"Hume";9;6;;;12
"Northwood Parent Cooperative Preschool";"Northwood Parent Cooperative, Inc.";"CCCB-00615";"Active";"Center Based Program License";"Po Box 33";"Northwood";"NH";03261;"Rockingham";(603) 942-7686;"820 First NHTurnpike";"Northwood";"NH";03261;"Rockingham";(603) 942-7686;"Karen     ";"Andersen";19;;;3;6
"Path Of Discovery Child Care";"Colleen Edgecomb";"CCFB-05927";"Active";"Family Based Program License";"142 Mountain Avenue";"Northwood";"NH";03261;"Rockingham";(603) 942-9290;"142 Mountain Avenue";"Northwood";"NH";03261;"Rockingham";(603) 942-9290;"Colleen   ";"Edgecomb";9;6;;;12
"Alternate Route For Kids";"Kimberly Warren";"CCCB-04649";"Active";"Center Based Program License";"12 Ridge Road";"Northwood";"NH";03261;"Rockingham";(603) 608-8405;"511 1st NH Turnpike";"Northwood";"NH";03261;"Rockingham";(603) 856-6925;"Christine";"Hill";40;;;5;14
"Magical Moments Daycare";"Eliza Farrar";"CCFB-06301";"Active";"Family Based Program License";"97 Ridge Road";"Northwood";"NH";03261;"Rockingham";(603) 942-8645;"97 Ridge Road";"Northwood";"NH";03261;"Rockingham";(603) 942-8645;"Eliza";"Farrar";9;6;;;13
"All Aboard Preschool & Child Care Center";"All Aboard Preschool & Child Care Center, Inc.";"CCCB-05934";"Active";"Center Based Program License";"249 Stage Road";"Nottingham";"NH";03290;"Rockingham";(603) 679-9555;"249 Stage Road";"Nottingham";"NH";03290;"Rockingham";(603) 679-9555;"Kristi";"Curry";45;6;;;12
"Time To Play";"Christine D. Dabrieo";"CCFB-05975";"Active";"Family Based Program License";"75 Freeman Hall Road";"Nottingham";"NH";03290;"Rockingham";(603) 608-7905;"75 Freeman Hall Road";"Nottingham";"NH";03290;"Rockingham";(603) 608-7905;"Christine ";"Dabrieo";16;6;;;12
"Alternate Route For Kids";"Kimberly Warren";"CCCB-05296";"Active";"Center Based Program License";"12 Ridge Road";"Northwood";"NH";03261;"Rockingham";(6036) 088-4035;"Nottingham School, Route 152";"Nottingham";"NH";03290;"Rockingham";(6036) 088-4035;"Amy       ";"Grucel";40;;;5;14
"Nottingham Community Child Care";"Carrie Jaye Scott";"CCCB-06686";"Active";"Center Based Program License";"385 Stage Road";"West Nottingham";"NH";03291;"Rockingham";(603) 923-1515;"106 Church Street";"Nottingham";"NH";03290;"Rockingham";(603) 923-1515;"Carrie";"Scott";24;6;;;13
"Nottingham Community Child Care";"Nottingham Community Child Care After School Kids";"CCCB-06753";"Permit Issued";"Center Based Program License";"385 State Road";"West Nottingham";"NH";03291;"Rockingham";(603) 923-1515;"128 Stage Road";"Nottingham";"NH";03290;"Rockingham";(603) 923-1515;"Carrie";"Scott";24;;;5;14
"Lisa's Hillside Child Care";"Lisa Thompson";"CCFB-06177";"Active";"Family Based Program License";"159 Cross Road";"Orange";"NH";03741;"Grafton";(603) 523-8340;"159 Cross Road";"Orange";"NH";03741;"Grafton";(603) 523-8340;"Lisa      ";"Thompson";9;6;;;13
"Cornerstone Christian Academy";"Cornerstone Christian Academy";"CCCB-06635";"Active";"Center Based Program License";"129 Route 28 Mountainside";"Ossipee";"NH";03864;"Carroll";(603) 539-8636;"129 Route 28 Mountainside";"Ossipee";"NH";03864;"Carroll";(603) 239-8636;"Cynthia";"Hyatt";60;8;;;5
"The Perfect Place For Children";"Lakeside Development, LLC";"CCCB-02475";"Active";"Center Based Program License";"PO Box 700";"Pelham";"NH";03076;"Hillsborough";(603) 635-9207;"125 Main Street";"Pelham";"NH";03076;"Hillsborough";(603) 635-9207;"Shelley   ";"German";54;;16;;12
"Kings Kids Child Care Center";"Kings Kids Child Care Center";"CCCB-05842";"Active";"Center Based Program License";"955 Bridge Street";"Pelham";"NH";03076;"Hillsborough";(603) 898-1675;"955 Bridge Street";"Pelham";"NH";03076;"Hillsborough";(603) 898-1675;"Carlisa";"Choate";100;;30;;12
"Kimba's Kids";"Kimba's Kids, LLC";"CCCB-05519";"Active";"Center Based Program License";"43 Bridge Street";"Pelham";"NH";03076;"Hillsborough";(603) 635-8941;"43 Bridge Street";"Pelham";"NH";03076;"Hillsborough";(603) 635-8941;"Jessica   ";"Desharnais";28;6;;;12
"T.L.C. Day Care";"Susan Bahrakis";"CCFB-03025";"Active";"Family Based Program License";"1277 Mammoth Road";"Pelham";"NH";03076;"Hillsborough";(603) 883-1028;"1277 Mammoth Road";"Pelham";"NH";03076;"Hillsborough";(603) 883-1028;"Susan     ";"Bahrakis";17;6;;;13
"Pelham School Age Child Care";"Pelham School Age Child Care, LLC";"CCCB-02821";"Active";"Center Based Program License";"61 Marsh Road";"Pelham";"NH";03076;"Hillsborough";(603) 635-9733;"61 Marsh Road";"Pelham";"NH";03076;"Hillsborough";(603) 635-9733;"Heather   ";"Murphy";185;;;5;15
"Crossroads Baptist Church";"Crossroads Baptist Church";"CCCB-05615";"Active";"Center Based Program License";"43 Atwood Road";"Pelham";"NH";03076;"Hillsborough";(603) 635-8788;"43 Atwood Road";"Pelham";"NH";03076;"Hillsborough";(603) 635-8788;"Cindy";"Kyzer";52;;9;2;6
"Dynamic Foundations For Children";"Lakeside Development, LLC";"CCCB-05581";"Active";"Center Based Program License";"PO Box 700";"Pelham";"NH";03076;"Hillsborough";(603) 635-1710;"90 Bridge Street";"Pelham";"NH";03076;"Hillsborough";(603) 635-1710;"Mary Ann  ";"Piemonte";60;6;;;12
"Trails to Learning Home Day Care";"Ashley Lebel and Ayla Retelle";"CCFB-06611";"Active";"Family Based Program License";"44 Nashua Road";"Pelham";"NH";03076;"Hillsborough";(603) 508-6528;"44 Nashua Road";"Pelham";"NH";03076;"Hillsborough";(603) 508-6528;"Ashley";"Lebel";17;6;;;12
"Jen's Jungle Family Child Care Home";"Jennifer Daigle";"CCFB-06322";"Active";"Family Based Program License";"14 Mt. Vernon Drive";"Pelham";"NH";03076;"Hillsborough";(603) 635-2027;"14 Mt. Vernon Drive";"Pelham";"NH";03076;"Hillsborough";(603) 635-2027;"Jennifer";"Daigle";9;12;;;12
"Wonderland Preschool";"Anna Gibbs and Jodi Ehler";"CCCB-01238";"Active";"Center Based Program License";"c/o Anna Gibbs";"Concord";"NH";03301;"Merrimack";(603) 485-5507;"301 Pembroke Street";"Pembroke";"NH";03275;"Merrimack";(603) 485-5507;"Anna";"Gibbs";24;;;3;6
"Hurney's Nursery and Day Care";"Hurney's Nursery and Day Care, Inc.";"CCCB-01750";"Active";"Center Based Program License";"4 Colonial Drive";"Pembroke";"NH";03275;"Merrimack";(603) 485-9483;"4 Colonial Drive";"Pembroke";"NH";03275;"Merrimack";(603) 485-9483;"Bridget   ";"Goodnow";32;6;;;9
"First Choice For Children";"First Choice For Children, Inc.";"CCCB-05635";"Active";"Center Based Program License";"304 Pembroke Street";"Pembroke";"NH";03275;"Merrimack";(603) 485-8613;"304 Pembroke Street";"Pembroke";"NH";03275;"Merrimack";(603) 485-8613;"Christine ";"Brooks";40;6;;;12
"Small Steps Learning Center";"Small Steps Learning Center, LLC";"CCCB-06697";"Active";"Center Based Program License";"321 Pembroke Street";"Pembroke";"NH";03275;"Merrimack";(603) 724-0487;"321 Pembroke Street";"Pembroke";"NH";03275;"Merrimack";(603) 724-0487;"Susan";"Sennett";30;6;;;6
"New Morning After School Program @ Pembroke Village";"New Morning Schools, LLC";"CCCB-06467";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 714-8010;"30 High Street";"Pembroke";"NH";03275;"Merrimack";(603) 714-8010;"Anna";"Gibbs";60;;10;4;8
"New Morning After School Progam @ Pembroke Hill";"New Morning Schools, LLC";"CCCB-06466";"Active";"Center Based Program License";"23 Back River Road";"Bedford";"NH";03110;"Hillsborough";(603) 669-3591;"300 Belanger Drive";"Pembroke";"NH";03275;"Merrimack";(603) 669-3591;"Bridgitte";"Deblois";87;;;6;11
"Little Visions Child Care";"Shelby Laudani";"CCFB-06323";"Active";"Family Based Program License";"607 Buck Street";"Pembroke";"NH";03275;"Merrimack";(603) 210-1133;"607 Buck Street";"Pembroke";"NH";03275;"Merrimack";(603) 210-1133;"Shelby";"Laudani";17;6;;;12
"Krazy Kids After School and Vacation Program";"Krazy Kids LLC";"CCCB-06699";"Permit Issued";"Center Based Program License";"60 Sheep Davis Road";"Pembroke";"NH";03275;"Merrimack";(603) 228-7529;"60 Sheep Davis Road";"Pembroke";"NH";03275;"Merrimack";(603) 228-7529;"Christopher";"Fogg";36;;8;4;13
"Penacook Community Center Child Care Program";"Penacook Community Center, Inc.";"CCCB-01290";"Active";"Center Based Program License";"P.O. Box 6008";"Penacook";"NH";03303-6008;"Merrimack";(603) 753-9700;"76 Community Drive";"Penacook";"NH";03303;"Merrimack";(603) 753-9700;"Carol     ";"St. Pierre";116;6;;;12
"Penacook Community Center Child Care Program @ P.E.S";"Penacook Community Center, Inc.";"CCCB-06656";"Active";"Center Based Program License";"PO Box 6008";"Penacook";"NH";03303;"Merrimack";(603) 556-1382;"60 Village Street";"Penacook";"NH";03303;"Merrimack";(603) 753-9700;"Kimberly";"LaClair";30;;;5;12
"Happy Valley School";"Happy Valley School, INC.";"CCCB-00555";"Active";"Center Based Program License";"132 Gulf Road";"Peterborough";"NH";03458;"Hillsborough";(603) 924-7362;"132 Gulf Road";"Peterborough";"NH";03458;"Belknap";(603) 924-7362;"Ann       ";"Falby";20;;24;;5
"Monadnock Community Early Learning Center";"Monadnock Community Early Learning Center";"CCCB-00914";"Active";"Center Based Program License";"PO  Box 262";"Peterborough";"NH";03458;"Hillsborough";(603) 532-6021;"Route 202 South 5  Community Lane";"Peterborough";"NH";03458;"Hillsborough";(603) 532-6021;"Aime";"Patterson";87;6;;;12
"Puddle Jumpers";"Puddle Jumpers, LLC";"CCFB-06068";"Active";"Family Based Program License";"11 Cabana Drive";"Peterborough";"NH";03458;"Hillsborough";(603) 924-4448;"11 Cabana Drive";"Peterborough";"NH";03458;"Hillsborough";(603) 924-3685;"Colleen";"Stone";17;6;;;14
"School Kids In Peterborough";"School Kids In Peterborough, Inc.";"CCCB-04702";"Active";"Center Based Program License";"14 Vine Street";"Peterborough";"NH";03458;"Hillsborough";(603) 924-7050;"14 Vine Street";"Peterborough";"NH";03458;"Hillsborough";(603) 924-7050;"Ann       ";"Wood";100;;8;4;15
"Robin's Nest Nature Preschool";"Rosalind  Hanchett";"CCCB-06688";"Active";"Center Based Program License";"277 A Union Street";"Peterborough";"NH";03458;"Hillsborough";(603) 562-5892;"277 A Union Street";"Peterborough";"NH";03458;"Hillsborough";(603) 562-5892;"Rosalind";"Hanchett";20;;3;;6
"Miss Lisa's Child Care";"Lisa Pilcher";"CCFB-06407";"Active";"Family Based Program License";"6 Snow Road";"Peterborough";"NH";03458;"Hillsborough";(603) 860-2628;"6 Snow Road";"Peterborough";"NH";03458;"Hillsborough";(603) 860-2628;"Lisa";"Pilcher";9;;3;;12
"Pittsfield Head Start";"Community Action Program - Belknap-Merrimack Counties, Inc.";"CCCB-04197";"Active";"Center Based Program License";"PO Box 1016";"Pittsfield";"NH";03263;"Merrimack";(603) 225-3295;"8 Catamount Road";"Pittsfield";"NH";03263;"Merrimack";(603) 435-6618;"Carol     ";"Allen";17;;;3;5
"Blueberry Express Day Care Center";"Blueberry Express Day Care Center, Inc.";"CCCB-00660";"Active";"Center Based Program License";"8 Catamount Street";"Pittsfield";"NH";03263;"Merrimack";(603) 435-6149;"8 Catamount Street";"Pittsfield";"NH";03263;"Merrimack";(603) 435-6149;"Marley    ";"Taylor";56;;12;;12
"Kim's Child Care";"Kim Adams";"CCFB-02723";"Active";"Family Based Program License";"308 Stage Road";"Plainfield";"NH";03781;"Sullivan";(603) 469-3637;"308 Stage Road";"Plainfield";"NH";03781;"Sullivan";(603) 469-3637;"Kim       ";"Adams";9;;2;;12
"Holy Angels Preschool and Kindergarten";"St. Luke the Evangelist Parish";"CCCB-00566";"Active";"Center Based Program License";"8 Atkinson Depot Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-9783;"8 Atkinson Depot Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-9783;"Charlene  ";"Flaherty";47;;11;2;6
"Little Explorers Learning Center";"Little Explorers Learning Center, Inc.";"CCCB-05569";"Active";"Center Based Program License";"3 Blossom Road";"Plaistow";"NH";03865-3140;"Rockingham";(603) 382-3699;"3 Blossom Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-3699;"Renee     ";"Bohne";44;6;;;12
"Plaistow Learning Center";"Plaistow Learning Center, Inc.";"CCCB-05463";"Active";"Center Based Program License";"95 Plaistow Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-4500;"95 Plaistow Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-4500;"Cathy";"Shore";55;6;;;12
"Plaistow Community YMCA Early Education Center";"North Shore YMCA";"CCCB-06628";"Active";"Center Based Program License";"175 Plaistow Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-0641;"175 Plaistow Road";"Plaistow";"NH";03865;"Rockingham";(603) 382-0641;"Darlene";"Manning";59;6;;;6
"Little Wonders Learning Center";"Little Wonders Learning Center, LLC";"CCCB-06714";"Active";"Center Based Program License";"8 Main Street";"Plaistow";"NH";03865;"Rockingham";(603) 378-0155;"8 Main Street";"Plaistow";"NH";03865;"Rockingham";(603) 378-0155;"Elizabeth";"Kosta";44;6;;;12
"Plymouth State University Center for Young Children and Families";"Plymouth State University";"CCCB-04637";"Active";"Center Based Program License";"17 High Street  MSC 46";"Plymouth";"NH";03264;"Grafton";(603) 535-2299;"35 Langdon St";"Plymouth";"NH";03264;"Grafton";(603) 535-2299;"Gerard    ";"Buteau";75;;13;;6
"Plymouth Area Headstart";"Tri County Head Start";"CCCB-00987";"Active";"Center Based Program License";"610 Sullivan Street";"Berlin";"NH";03570;"Coos";(603) 536-1393;"258 Highland Street";"Plymouth";"NH";03264;"Grafton";(603) 536-1393;"Danielle";"Leonard";20;;;3;6
"Mid-State Montessori Center";"Mid-State Health Center";"CCCB-06112";"Active";"Center Based Program License";"101 Boulder Point Drive, Suite 1A";"Plymouth";"NH";03264;"Grafton";(603) 536-3898;"101 Boulder Point Drive, Suite 1A";"Plymouth";"NH";03264;"Grafton";(603) 536-3898;"Caitlin";"Pierce";22;6;;;6
"Crystal Skinner Child Care";"Crystal Skinner";"CCFB-00474";"Active";"Family Based Program License";"4 Wentworth Street";"Plymouth";"NH";03264;"Grafton";(603) 536-3626;"4 Wentworth Street";"Plymouth";"NH";03264;"Grafton";(603) 536-3626;"Crystal   ";"Skinner";9;6;;;10
"Lakes Region Child Care Services - Whole Village Child Care Center";"Lakes Region Child Care Services, Inc.";"CCCB-06483";"Active";"Center Based Program License";"22 Strafford Street, Unit #4";"Laconia";"NH";03246;"Belknap";(603) 536-3770;"258 Highland Street";"Plymouth";"NH";03264;"Grafton";(603) 536-3770;"Lauren";"Moran";40;6;;;6
"Heather's Little Angels";"Heather Tatro";"CCCB-06673";"Active";"Center Based Program License";"12 Yeaton Road Box 15";"Plymouth";"NH";03264;"Grafton";(603) 536-2332;"12 Yeaton Road, Suite C8";"Plymouth";"NH";03264;"Grafton";(603) 536-2332;"Erin";"Pratt";28;6;;;7
"Miss Amber's Daycare LLC";"Amber Johnson";"CCFB-06676";"Active";"Family Based Program License";"19 Page Street";"Plymouth";"NH";03264;"Grafton";(603) 254-3904;"19 Page Street";"Plymouth";"NH";03264;"Grafton";(603) 254-3904;"Amber";"Johnson";11;4;;;11
"Pemi Youth Center";"Pemi Youth Center, Inc.";"CCCB-06368";"Active";"Center Based Program License";"111 Main Street";"Plymouth";"NH";03264;"Grafton";(603) 536-7264;"111 Main Street";"Plymouth";"NH";03264;"Grafton";(603) 536-7264;"Christopher";"Mohan";40;;;10;18
"Southern New Hampshire Services - Portsmouth Head Start";"Southern New Hampshire Services, Inc.";"CCCB-01708";"Active";"Center Based Program License";"100 Campus Drive, Suite 22";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8231;"100 Campus Drive, Suite 22";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8231;"Barbara";"Frank";20;;;3;6
"The Early Learning Center at Temple Israel";"Temple Israel";"CCCB-05827";"Active";"Center Based Program License";"200 State Street";"Portsmouth";"NH";03801;"Rockingham";(603) 436-5301;"200 State Street";"Portsmouth";"NH";03801;"Rockingham";(603) 436-5301;"Laura";"Sher";24;;33;;6
"Agape Preschool";"Seacoast Community Church";"CCCB-00634";"Active";"Center Based Program License";"397 Lafayette Road";"Portsmouth";"NH";03801;"Rockingham";(603) 433-1137;"397 Lafayette Road";"Portsmouth";"NH";03801;"Rockingham";(603) 433-1137;"Suzanne   ";"Hartman";50;;34;;6
"Little Blessings Child Care Center";"Christ Episcopal Church";"CCCB-04262";"Active";"Center Based Program License";"1035 Lafayette Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-1809;"1035 Lafayette Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-1809;"Diane";"Lewis";71;6;;;6
"Edgewood Early Learning Centre";"The Edgewood Manor, Inc.";"CCCB-01572";"Active";"Center Based Program License";"928 South Street";"Portsmouth";"NH";03801;"Rockingham";(603) 766-2371;"928 South Street";"Portsmouth";"NH";03801;"Rockingham";(603) 766-2371;"Amanda";"Lund";38;6;;;9
"KinderCare Learning Center";"KinderCare Learning Centers, LLC";"CCCB-05880";"Active";"Center Based Program License";"72 Mirona Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-8010;"72 Mirona Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-8010;"Christie  ";"Duffy";156;6;;;9
"Kathleen Tostenson's Family Child Care";"Kathleen Tostenson";"CCFB-01672";"Active";"Family Based Program License";"306 Thornton Street";"Portsmouth";"NH";03801;"Rockingham";(603) 436-0905;"306 Thornton Street";"Portsmouth";"NH";03801;"Rockingham";(603) 436-0905;"Kathleen  ";"Tostenson";6;6;;;10
"Seacoast Community School - Dondero Peak";"Community Day Care Center, Inc.";"CCCB-04149";"Active";"Center Based Program License";"100 Campus Drive Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 430-9771;"32 Van Buren Ave Dondero School";"Portsmouth";"NH";03801;"Rockingham";(603) 430-9771;"Danielle  ";"Mayka";45;;;6;12
"Seacoast Community School - Little Harbour - Peak";"Community Day Care Center, Inc";"CCCB-02129";"Active";"Center Based Program License";"100 Campus Drive, Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"1 Clough Drive";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"Beth      ";"Hallett";45;;;6;12
"Seacoast Community School-Summer PEAK";"Community Day Care Center, Inc.";"CCCB-03018";"Active";"Center Based Program License";"100 Campus Drive Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"50 Andrew Jarvis Drive or 100 Campus Drive or 155 Parrot Ave";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"Beth      ";"Hallett";45;;;6;12
"Seacoast Community School - New Franklin Peak";"Community Day Care Center, Inc.";"CCCB-05709";"Active";"Center Based Program License";"100 Campus Drive Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"1 Franklin Street";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"Amy       ";"Mikalunas";45;;10;4;12
"Discovery Child Enrichment Center";"Discovery Child Enrichment Center, Inc.";"CCCB-05737";"Active";"Center Based Program License";"30 Rye Street";"Portsmouth";"NH";03801;"Rockingham";(603) 334-6336;"30 Rye Street";"Portsmouth";"NH";03801;"Rockingham";(603) 334-6336;"Denise    ";"Gagne";143;6;;;12
"Pat's Family Group Child Care";"Patricia A. Katkin";"CCFB-00007";"Active";"Family Based Program License";"1400 Woodbury Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 436-3509;"1400 Woodbury Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 436-3509;"Kristie   ";"Lewis";12;6;;;12
"Place For Friends And Fun";"Marjorie Steedman";"CCFB-04420";"Active";"Family Based Program License";"400 Coolidge Drive";"Portsmouth";"NH";03801;"Rockingham";(603) 427-0275;"400 Coolidge Drive";"Portsmouth";"NH";03801;"Rockingham";(603) 427-0275;"Marjorie  ";"Steedman";9;6;;;12
"Unal Kaya Daycare";"Unal Kaya Davis";"CCFB-05579";"Active";"Family Based Program License";"374 Lincoln Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 431-9778;"374 Lincoln Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 431-9778;"Davis     ";"Unal";12;6;;;12
"Seacoast Community School";"Community Day Care Center, Inc.";"CCCB-00702";"Active";"Center Based Program License";"100 Campus Drive Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"100 Campus Drive Suite 20";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"Alicia ";"Tonelli";200;8;;;12
"Seacoast Community School - Community School @ Dondero";"Community Day Care Center, Inc.";"CCCB-06559";"Active";"Center Based Program License";"100 Campus Drive";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8228;"34 Van Buren Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 422-8223;"Christina";"Barker";40;;;3;5
"The Children's Garden";"The Children's Garden";"CCCB-06648";"Active";"Center Based Program License";"290 Peverly Hill Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-6565;"290 Peverly Hill Road";"Portsmouth";"NH";03801;"Rockingham";(603) 431-6565;"Shannon";"Harrison";30;;9;2;6
"Great Bay Kids' Company - Pease Tradeport";"Great Bay Kids' Company, Inc.";"CCCB-06384";"Active";"Center Based Program License";"81 New Hampshire Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 766-5437;"81 New Hampshire Avenue";"Portsmouth";"NH";03801;"Rockingham";(603) 766-5437;"Dacia";"Lukas";270;6;;;12
"The Crayon Campus";"Linda Priebe";"CCCB-06038";"Active";"Center Based Program License";"100 Chester Road";"Raymond";"NH";03077;"Rockingham";(603) 895-2439;"64 Freetown Road";"Raymond";"NH";03077;"Rockingham";(603) 895-2439;"Linda     ";"Priebe";39;6;;;7
"Blocks To Books Children's Center";"Kellie Jewett";"CCCB-04743";"Active";"Center Based Program License";"32 Harriman Hill Road";"Raymond";"NH";03077;"Rockingham";(603) 895-5323;"129 Route 27";"Raymond";"NH";03077;"Rockingham";(603) 895-5323;"Cynthia   ";"Walsh";49;6;;;14
"Southern District YMCA School's Out - Raymond";"Southern District YMCA/Camp Lincoln, Inc.";"CCCB-04110";"Active";"Center Based Program License";"PO Box 729";"Kingston";"NH";03848;"Rockingham";(603) 642-3361;"33 Old Manchester Road";"Raymond";"NH";03077;"Rockingham";(603) 642-3361;"Amanda    ";"Muzzy";45;;;5;15
"Southern New Hampshire Services Raymond Head Start";"Southern New Hampshire Services";"CCCB-06701";"Active";"Center Based Program License";"108 Fremont Road";"Raymond";"NH";03077;"Rockingham";(603) 244-2937;"108 Fremont Road";"Raymond";"NH";03077;"Rockingham";(603) 244-2937;"Abigail";"Byors";18;;;3;5
"Play, Laugh N' Grow";"Kristy Decesare";"CCCB-06338";"Active";"Center Based Program License";"41 Freetown Road, Building B";"Raymond";"NH";03077;"Rockingham";(603) 244-2018;"41 Freetown Road, Building B";"Raymond";"NH";03077;"Rockingham";(603) 244-3900;"Christine";"Seelig";21;6;;;12
"Stacie's Child Care";"Stacie Dirth";"CCFB-06654";"Active";"Family Based Program License";"20 Fatina Way";"Richmond";"NH";03470;"Cheshire";(603) 239-6529;"20 Fatima Way";"Richmond";"NH";03470;"Cheshire";(603) 239-6529;"Stacie";"Dirth";9;6;;;12
"Strafford County Head Start - Rochester Center";"Strafford County Community Action Committee, Inc.";"CCCB-01690";"Active";"Center Based Program License";"PO Box 160";"Dover";"NH";03821;"Strafford";(603) 285-9461;"150 Wakefield Street";"Rochester";"NH";03867;"Strafford";(603) 335-3611;"Danielle";"Wiggin";75;;;3;5
"Jack And Jill School";"Lorraine R. Gagne";"CCCB-04078";"Active";"Center Based Program License";"56 Whitehall Road";"Rochester";"NH";03867;"Strafford";(603) 332-3177;"56 Whitehall Road";"Rochester";"NH";03867;"Strafford";(603) 332-3177;"Angela    ";"Schoonmaker";75;;;3;6
"Rochester Child Care Center";"Rochester Child Care Center, Inc.";"CCCB-01008";"Active";"Center Based Program License";"95 Charles Street";"Rochester";"NH";03867;"Strafford";(603) 332-9333;"95 Charles Street";"Rochester";"NH";03867;"Strafford";(603) 332-9333;"Christiane";"Casserly";170;;6;;6
"Blue Skies & Rainbows Early Learning Center";"Tina Braman";"CCCB-05571";"Active";"Center Based Program License";"65 Summer Street";"Rochester";"NH";03867-1418;"Strafford";(603) 332-9695;"65 Summer Street";"Rochester";"NH";03867;"Strafford";(603) 332-9695;"Michelle  ";"Savatakis";17;6;;;6
"Rochester Child Care Center Allen School ""UP"" Program";"Rochester Child Care Center, Inc.";"CCCB-04272";"Active";"Center Based Program License";"95 Charles Street";"Rochester";"NH";03867;"Strafford";(603) 332-9333;"23 Granite Street";"Rochester";"NH";03867;"Strafford";(603) 332-9333;"Anne      ";"Grassie";45;;;5;12
