"Name";"Last Name";"First Name";"Type Of Care";"Street Address";"City";"ID";"Zip";"Area Code";"Phone";"Age Range";"Accepts ICCP";"Financial Assistance";"Quality Rating";"Health & Safety Check";"Type of Registration";"Website";"Full/Part Time Care";"Environment";"Accreditation";"Meals";"Elementary Schools";"Special Needs";"Languages";"Education";"Age Groups & Rates"
"KEISHA THULONS CHILD CARE";"THULON";"KEISHA";"Family Child Care";;"RATHDRUM";1105652;83858;208;"457-2566";"2 years to 7 years";"ICCP";;"Type of Registration ICCP";"http://idahochildcarecheck.org/provider/14413";;;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Special Meal Request";"JOHN BROWN";"Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness";"English";"High School Diploma/GED";"<br/>13-30 Months (1-2.5 years) : 5.00 Hourly PT, 20.00 Daily FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly PT, 20.00 Daily FT<br/>5 - 6 Years : 5.00 Hourly PT, 20.00 Daily FT<br/>6 - 12 Years : 5.00 Hourly PT, 20.00 Daily FT"
"COUNTRYSIDE CHILDCARE LLC";"SHEARER";"NICCI";"Child Care Center";"8165 W MAIN ST";"RATHDRUM";1037165;83858;208;"659-3394";"1 week to 12 years";"ICCP, State Licensed";"Multi-child discount";"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14021";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Special Meal Request";"BETTY KEIFER, JOHN BROWN, Twin Lakes";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 600.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 550.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 450.00 Monthly FT<br/>5 - 6 Years : 425.00 Monthly FT<br/>6 - 12 Years : 375.00 Monthly PT, 425.00 Monthly FT"
"WIGGLES & GIGGLES LEARNING CENTER";"COLEMAN";"LORI";"Child Care Center";"507 W MAIN ST";"REXBURG";1001101;83440;208;"357-4020";"2 years 6 months to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13693";"ICCP, State Licensed";;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"ADAMS";;"English";"Some College, child related";"<br/>31-60 Months (2.5-5 years) : 4.00 Hourly PT, 25.00 Daily PT, 417.00 Monthly FT<br/>5 - 6 Years : 4.00 Hourly PT, 25.00 Daily PT, 417.00 Monthly FT<br/>6 - 12 Years : 4.00 Hourly PT, 25.00 Daily PT, 230.00 Monthly PT, 380.00 Monthly FT"
"CANDI LAND DAYCARE";"MCFADDEN";"CANDI";"(FCC)Group Child Care";;"REXBURG";505597;83440;208;"356-6134";"1 week to 10 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/229";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"KENNEDY";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD, Other";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 16.00 Daily FT<br/>13-30 Months (1-2.5 years) : 16.00 Daily FT<br/>31-60 Months (2.5-5 years) : 16.00 Daily FT<br/>5 - 6 Years : 16.00 Daily FT<br/>6 - 12 Years : 16.00 Daily FT"
"AB CHILDCARE INC";"BROWN";"ANGELA";"Child Care Center";"859 YELLOWSTONE HWY STE 1800";"REXBURG";526387;83440;208;"403-4029";"1 month 2 weeks to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/8158";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"ADAMS, KENNEDY, LINCOLN";"Hearing Impaired, Other";"English";"High School Diploma/GED, Some College, other, Some College, child related";"<br/>0 - 12 Months : 26.00 Daily FT, 130.00 Weekly FT, 500.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 24.00 Daily FT, 115.00 Weekly FT, 450.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 23.00 Daily FT, 110.00 Weekly FT, 410.00 Monthly FT<br/>5 - 6 Years : 23.00 Daily FT, 110.00 Weekly FT, 410.00 Monthly FT<br/>6 - 12 Years : 22.00 Daily FT, 100.00 Weekly FT, 405.00 Monthly FT"
"CFR CHILDCARE CENTER";"PALMER";"LINDSAY";"Child Care Center";"316 N 3RD E";"REXBURG";365743;83440;208;"356-4911";"1 week to 12 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/2358";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"ADAMS, KENNEDY, LINCOLN";"Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Bachelor's Degree, other";"<br/>0 - 12 Months : 324.75 Monthly PT, 519.60 Monthly FT<br/>13-30 Months (1-2.5 years) : 259.80 Monthly PT, 454.65 Monthly FT<br/>31-60 Months (2.5-5 years) : 216.50 Monthly PT, 389.70 Monthly FT<br/>5 - 6 Years : 216.50 Monthly PT, 389.70 Monthly FT<br/>6 - 12 Years : 216.50 Monthly PT, 389.70 Monthly FT"
"SONDRAS DAYCARE";"FYFE";"SONDRA";"(FCC)Group Child Care";;"RIGBY";525955;83442;208;"745-7993";"1 month 2 weeks to 10 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3318";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";"SOUTH FORK ELEMENTARY";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 2.50 Hourly PT, 275.00 Monthly PT, 450.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 2.50 Hourly PT, 275.00 Monthly PT, 425.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 2.50 Hourly PT, 250.00 Monthly PT, 400.00 Monthly FT<br/>5 - 6 Years : 2.50 Hourly PT, 250.00 Monthly PT, 400.00 Monthly FT<br/>6 - 12 Years : 2.50 Hourly PT, 250.00 Monthly PT, 400.00 Monthly FT"
"ROCK-A-BYE DAYCARE";"PARK";"JULIA";"Child Care Center";"167 W MAIN ST";"RIGBY";257015;83442;208;"745-0810";"1 month 2 weeks to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/67";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Morning Snack, Afternoon Snack, Parent to Provide Meals";"HARWOOD";;"English";"Ask Provider";"<br/>0 - 12 Months : 2.50 Hourly PT, 2.50 Hourly FT<br/>13-30 Months (1-2.5 years) : 2.00 Hourly PT, 2.00 Hourly FT<br/>31-60 Months (2.5-5 years) : 2.00 Hourly PT, 2.00 Hourly FT<br/>5 - 6 Years : 2.00 Hourly PT, 2.00 Hourly FT<br/>6 - 12 Years : 2.00 Hourly PT, 2.00 Hourly FT"
"SELAS PLACE";"PARSONS";"SELA";"(FCC)Group Child Care";;"RIGBY";319171;83442;208;"351-1722";"2 months to 9 years";"State Licensed";;"Type of Registration State Licensed";"http://idahochildcarecheck.org/provider/234";;;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack";;;"English";"Some College, other";"<br/>0 - 12 Months : 4.00 Hourly PT, 20.00 Daily PT, 25.00 Daily FT<br/>13-30 Months (1-2.5 years) : 4.00 Hourly PT, 20.00 Daily PT, 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 4.00 Hourly PT, 20.00 Daily PT, 25.00 Daily FT<br/>5 - 6 Years : 4.00 Hourly PT, 20.00 Daily PT, 25.00 Daily FT<br/>6 - 12 Years : 4.00 Hourly PT, 20.00 Daily PT, 25.00 Daily FT"
"LOLOS LITTLE DARLINS DAYCARE LLC";"BAILEY";"WHITLEY";"Child Care Center";"475 N 3RD W";"RIGBY";464277;83442;208;"745-8187";"1 month 2 weeks to 12 years";"ICCP, State Licensed";"Multi-child discount";"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/3105";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";"HARWOOD, MIDWAY";"ADHD/ADD, Other";"English, Sign Language";"Some College, other";"<br/>0 - 12 Months : 5.00 Hourly PT, 35.00 Daily FT, 135.00 Weekly FT, 580.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 5.00 Hourly PT, 35.00 Daily FT, 125.00 Weekly FT, 537.50 Monthly FT<br/>31-60 Months (2.5-5 years) : 5.00 Hourly PT, 35.00 Daily FT, 110.00 Weekly FT, 473.00 Monthly FT<br/>5 - 6 Years : 5.00 Hourly PT, 35.00 Daily FT, 95.00 Weekly FT, 408.50 Monthly FT<br/>6 - 12 Years : 5.00 Hourly PT, 35.00 Daily FT, 65.00 Weekly FT, 279.50 Monthly FT"
"LOLLIPOP LAND CHILD CARE";"GRAHAM";"BRITTNEY";"Child Care Center";"415 FARNSWORTH WAY";"RIGBY";1149417;83442;208;"745-7310";;"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14893";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";;;;"Some College, other";"<br/>0 - 12 Months : 2.00 Hourly PT, 22.00 Daily FT<br/>13-30 Months (1-2.5 years) : 2.00 Hourly PT, 22.00 Daily FT<br/>31-60 Months (2.5-5 years) : 17.00 Daily FT<br/>5 - 6 Years : 14.00 Daily FT, 2.00 Other PT<br/>6 - 12 Years : 10.00 Daily PT, 10.00 Daily FT, 2.00 Other PT"
"RIGBY KIDS ACADEMY, LLC";"GRAHAM";"HELENA";"Child Care Center";"3990 E 600 N";"RIGBY";1149108;83442;480;"319-1140";;"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";;;;"Full-Time";;;;;;;;
"CSI MINIDOKA HEAD START - EARLY HEAD START";"CAMPBELL";"ROSANNA";"Child Care Center";"124 8TH ST";"RUPERT";366201;83350;208;"436-4553";"3 years to 5 years";"State Licensed, QRIS";"Other";"Step 6 of 6";"http://idahochildcarecheck.org/provider/187";"State Licensed, QRIS";"http://www.csi.edu/headstart";"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Smoking Outside Only, Computer for children's use, Special needs accessible";"NAEYC";"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program, Special Meal Request";;"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired, Hearing Impaired, Visually Impaired, ADHD/ADD, Other";"English, Spanish";"High School Diploma/GED, Associate's Degree, Child Related, CDA";
"MARIAS DAY CARE";"VILLASENOR";"MARIA";"Child Care Center";"713 S 3RD ST";"RUPERT";511943;83350;208;"436-0624";"2 months to 13 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3285";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack";"BIG VALLEY";;"English, Spanish";"Ask Provider";"<br/>0 - 12 Months : 20.00 Daily FT<br/>13-30 Months (1-2.5 years) : 20.00 Daily FT<br/>31-60 Months (2.5-5 years) : 18.00 Daily FT<br/>5 - 6 Years : 16.00 Daily FT<br/>6 - 12 Years : 14.00 Daily FT"
"ANGIES DAY CARE";"RUIZ";"ANGIE";"Family Child Care";;"RUPERT";360301;83350;208;"312-4470";"3 years to 12 years";"ICCP";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3493";"ICCP";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Special Meal Request";;;"English, Spanish";"High School Diploma/GED";"<br/>31-60 Months (2.5-5 years) : 400.00 Monthly PT, 500.00 Monthly FT<br/>5 - 6 Years : 400.00 Monthly PT, 500.00 Monthly FT<br/>6 - 12 Years : 400.00 Monthly PT, 500.00 Monthly FT"
"LIL SPROUTS DAYCARE";"HOLMES";"JACQUIE";"(FCC)Group Child Care";;"RUPERT";229255;83350;208;"436-3261";"1 week to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/824";"ICCP, State Licensed";;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack";"BIG VALLEY, MEMORIAL";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 3.00 Hourly PT, 20.00 Daily FT<br/>13-30 Months (1-2.5 years) : 3.00 Hourly PT, 20.00 Daily FT<br/>31-60 Months (2.5-5 years) : 3.00 Hourly PT, 20.00 Daily FT<br/>5 - 6 Years : 3.00 Hourly PT, 20.00 Daily FT<br/>6 - 12 Years : 3.00 Hourly PT, 20.00 Daily FT"
"RICHS BRIGHT BEGINNINGS DAYCARE";"RICH";"LACEY";"Child Care Center";"605 H ST";"RUPERT";1138430;83350;208;"670-1553";"1 week to 12 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14725";;;"Full-Time";"Smoke Free Facility, No Pets, Outdoor Play Equipment, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, USDA Food Program";;;"English";"Some College, other";"<br/>0 - 12 Months : 12.00 Daily PT, 21.00 Daily FT, 275.00 Monthly PT, 450.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 12.00 Daily PT, 21.00 Daily FT, 275.00 Monthly PT, 450.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 12.00 Daily PT, 21.00 Daily FT, 275.00 Monthly PT, 450.00 Monthly FT<br/>5 - 6 Years : 12.00 Daily PT, 21.00 Daily FT, 275.00 Monthly PT, 450.00 Monthly FT<br/>6 - 12 Years : 12.00 Daily PT, 21.00 Daily FT, 275.00 Monthly PT, 450.00 Monthly FT"
"STEPPING STONE DAY CARE";"GOULDING";"TRINA";"(FCC)Group Child Care";;"SAINT ANTHONY";536579;83445;208;"709-6998";"3 months to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/268";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Morning Snack, Lunch, Afternoon Snack, Dinner, USDA Food Program, Infant Formula Provided";"CENTRAL";"Developmental Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 4.00 Hourly PT, 2.50 Hourly FT<br/>13-30 Months (1-2.5 years) : 4.00 Hourly PT, 2.50 Hourly FT<br/>31-60 Months (2.5-5 years) : 4.00 Hourly PT, 2.25 Hourly FT<br/>5 - 6 Years : 2.25 Hourly FT<br/>6 - 12 Years : 2.25 Hourly FT"
"BIZZY BEE DAYCARE";"RUIZ";"TAWNA";"(FCC)Group Child Care";;"SAINT ANTHONY";1156207;83445;208;"681-2656";;"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";;;;"Full-Time";;;;;;;;
"SHERS CARE";"DUNCAN";"SHERRILYN";"(FCC)Group Child Care";;"SALMON";241043;83467;208;"661-8573";"3 months to 9 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1355";"ICCP, State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, Fenced Yard, Special needs accessible";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";;"Developmental Disability, ADHD/ADD";"English";;"<br/>0 - 12 Months : 30.00 Daily FT<br/>13-30 Months (1-2.5 years) : 30.00 Daily FT<br/>31-60 Months (2.5-5 years) : 25.00 Daily FT<br/>5 - 6 Years : 25.00 Daily FT<br/>6 - 12 Years : 25.00 Daily FT"
"MOOSEY MEADOW ACADEMY";"WINTERS-MORTIMER";"TASSI";"Child Care Center";"407 S CHALLIS ST";"SALMON";1125724;83467;208;"243-4213";"9 months to 8 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14572";;;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day, Computer for children's use";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"PIONEER";"Emotional/Behavioral Disability, Infant Monitoring Device, Hearing Impaired, ADHD/ADD";"English, Spanish";"Some College, other";"<br/>0 - 12 Months : 30.00 Daily FT<br/>13-30 Months (1-2.5 years) : 25.00 Daily FT<br/>31-60 Months (2.5-5 years) : 22.00 Daily FT<br/>5 - 6 Years : 22.00 Daily FT<br/>6 - 12 Years : 22.00 Daily FT"
"SANDPOINT CHILDRENS LEARNING CENTER";"JENNA HADDOCK";"CAROL MILLARD";"Child Care Center";"1601 HIGHWAY 2";"SANDPOINT";730937;83864;208;"265-7252";"1 month 2 weeks to 12 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/12992";"State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Special needs accessible";;"Afternoon Snack, Parent to Provide Meals";"SAGLE, WASHINGTON";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 520.83 Monthly FT<br/>13-30 Months (1-2.5 years) : 520.83 Monthly FT<br/>31-60 Months (2.5-5 years) : 520.83 Monthly FT<br/>5 - 6 Years : 520.83 Monthly FT<br/>6 - 12 Years : 321.67 Monthly FT"
"PLAY TO LEARN ACADEMY";"EASTON";"GABRIELLE";"Child Care Center";"816 N JEFFERSON AVE";"SANDPOINT";412120;83864;208;"290-8516";"1 week to 12 years";"ICCP, State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/3026";"ICCP, State Licensed";;"Both";"Smoke Free Facility, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Parent to Provide Meals";"FARMIN STIDWELL";"Developmental Disability, Visually Impaired, ADHD/ADD";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 450.00 Monthly PT, 800.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 450.00 Monthly PT, 800.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 450.00 Monthly PT, 800.00 Monthly FT<br/>5 - 6 Years : 450.00 Monthly PT, 800.00 Monthly FT<br/>6 - 12 Years : 250.00 Monthly PT"
"SUPERIOR CHILD CARE & LEARNING CENTER INC";"FARWELL";"DAVID";"Child Care Center";"1308 SUPERIOR ST";"SANDPOINT";370490;83864;208;"263-2031";"1 year 6 months to 10 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/1023";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Morning Snack, Lunch, Afternoon Snack";"FARMIN STIDWELL, WASHINGTON";"Hearing Impaired, ADHD/ADD";"English";;"<br/>13-30 Months (1-2.5 years) : 445.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 445.00 Monthly FT<br/>5 - 6 Years : 210.00 Monthly PT, 420.00 Monthly FT<br/>6 - 12 Years : 210.00 Monthly PT, 420.00 Monthly FT"
"BECKYS BABY & CHILD CARE DBA BECKYS COUNTRY KIDS";"SNELSON";"REBECCA";"(FCC)Group Child Care";;"SANDPOINT";440941;83864;208;"290-6427";"1 year to 11 years";"State Licensed";;"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/755";"State Licensed";;"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Breakfast, Lunch, Afternoon Snack, USDA Food Program";"NORTHSIDE";;"English";"High School Diploma/GED";"<br/>0 - 12 Months : 450.00 Monthly FT, 25.00 Other PT<br/>13-30 Months (1-2.5 years) : 450.00 Monthly FT, 25.00 Other PT<br/>31-60 Months (2.5-5 years) : 450.00 Monthly FT, 25.00 Other PT<br/>5 - 6 Years : 450.00 Monthly FT, 25.00 Other PT<br/>6 - 12 Years : 200.00 Monthly PT, 450.00 Monthly FT, 25.00 Other PT"
"ADVANCE CHILD CARE";"SIGMAN";"JED";"Child Care Center";"1724 W ONTARIO ST";"SANDPOINT";299317;83864;208;"265-8687";"1 week to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/643";"ICCP, State Licensed";;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Lunch, Afternoon Snack, Parent to Provide Meals";"FARMIN STIDWELL, WASHINGTON";"Developmental Disability, Emotional/Behavioral Disability, Infant Monitoring Device, Motor Physically Impaired, Hearing Impaired, Visually Impaired, Significant Chronic Illness, ADHD/ADD";"English";;"<br/>0 - 12 Months : 696.00 Monthly FT, 40.00 Other FT<br/>13-30 Months (1-2.5 years) : 684.00 Monthly FT, 35.00 Other FT<br/>31-60 Months (2.5-5 years) : 623.00 Monthly FT, 35.00 Other FT<br/>5 - 6 Years : 546.00 Monthly FT, 35.00 Other FT<br/>6 - 12 Years : 434.00 Monthly FT, 35.00 Other FT"
"SANDPOINT WALDORF SCHOOL INC";"MCCALLAN";"JULIE";"Child Care Center";"2007 SANDPOINT WEST DR";"SANDPOINT";750549;83864;208;"265-2683";"3 years to 11 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/13135";"ICCP, State Licensed";"http://www.sandpointwaldorf.org";"Both";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Afternoon Snack, Parent to Provide Meals";;;"English";"Master's Degree, child related";"<br/>13-30 Months (1-2.5 years) : 641.67 Monthly FT<br/>31-60 Months (2.5-5 years) : 607.08 Monthly FT<br/>5 - 6 Years : 463.75 Monthly FT<br/>6 - 12 Years : 666.25 Monthly FT"
"SUZIES DAY CARE";"BYERS";"SUSAN";"Child Care Center";"906 HICKORY ST STE B";"SANDPOINT";532244;83864;208;"290-7568";"1 month to 12 years";"ICCP, State Licensed";"Multi-child discount";"Not Participating in Steps to Quality";"http://idahochildcarecheck.org/provider/524";"ICCP, State Licensed";;"Both";"Outdoor Play Equipment, Fenced Yard, Smoking Outside Only, Computer for children's use";;"Morning Snack, Afternoon Snack, Parent to Provide Meals";"FARMIN STIDWELL";"Infant Monitoring Device";"English";;"<br/>0 - 12 Months : 3.26 Hourly FT<br/>13-30 Months (1-2.5 years) : 2.83 Hourly FT<br/>31-60 Months (2.5-5 years) : 2.50 Hourly FT<br/>5 - 6 Years : 2.50 Hourly FT<br/>6 - 12 Years : 2.50 Hourly FT"
"SANDPOINT PLAY AND LEARN DAYCARE CENTER LLC";"WENDLE";"KELLEY";"Child Care Center";"102 S DIVISION AVE";"SANDPOINT";1129764;83864;208;"597-4889";"3 months to 6 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14637";;;"Both";"Smoke Free Facility, No Pets, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard, Computer for children's use";;"Morning Snack, Lunch, Afternoon Snack";"FARMIN STIDWELL, HOPE, KOOTENAI, NORTHSIDE, SAGLE, SOUTHSIDE, WASHINGTON";"Emotional/Behavioral Disability, Hearing Impaired, ADHD/ADD";"English";"Bachelor's Degree, Child Related";"<br/>0 - 12 Months : 35.00 Daily FT, 420.00 Monthly PT, 770.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 32.00 Daily FT, 384.00 Monthly PT, 704.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 32.00 Daily FT, 384.00 Monthly PT, 704.00 Monthly FT<br/>5 - 6 Years : 32.00 Daily FT, 384.00 Monthly PT, 704.00 Monthly FT<br/>6 - 12 Years : 15.00 Daily FT, 132.00 Monthly PT, 220.00 Monthly FT, 20.00 Other PT"
"HAPPY HOME CHILDCARE";"NEIL";"JULIA";"Child Care Center";"921 FIR ST";"SANDPOINT";1050704;83864;208;"217-4108";"1 week to 5 years";"ICCP, State Licensed";;"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14185";;;"Full-Time";"Smoke Free Facility, Outdoor Play Equipment, T.V. used less than 1 hr/day, Fenced Yard";;"Breakfast, Lunch, Afternoon Snack, Infant Formula Provided";"FARMIN STIDWELL";"Developmental Disability, Emotional/Behavioral Disability, Motor Physically Impaired";"English";"High School Diploma/GED";"<br/>0 - 12 Months : 785.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 725.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 650.00 Monthly FT<br/>5 - 6 Years : 575.00 Monthly FT"
"BACKYARD BEARS CHILD CARE - SANDPOINT CHRISTIAN CENTER";"RIBEIRO CROSBY";"KATHLEEN";"Child Care Center";"1925 N BOYER AVE";"SANDPOINT";1127141;83864;208;"920-9671";"3 weeks to 4 years";"ICCP, State Licensed";"Multi-child discount";"Type of Registration ICCP, State Licensed";"http://idahochildcarecheck.org/provider/14590";;;"Both";"Smoke Free Facility, No Pets, T.V. used less than 1 hr/day";;"Parent to Provide Meals";;"Developmental Disability, Hearing Impaired, Visually Impaired, Significant Chronic Illness";"English";"Associate's Degree, Child Related";"<br/>0 - 12 Months : 400.00 Monthly PT, 800.00 Monthly FT<br/>13-30 Months (1-2.5 years) : 15.00 Daily PT, 30.00 Daily FT, 400.00 Monthly PT, 800.00 Monthly FT<br/>31-60 Months (2.5-5 years) : 15.00 Daily PT, 30.00 Daily FT, 600.00 Monthly FT"
