"ShortName";"ProviderName";"ProviderNumber";"Address";"City";"State";"Zip";"County";"LocationNumber";"FacilityNumber";"Regulations";"ContactName";"ContactPhone";"LicenseeName";"AgesServed";"Stars";"DayCapacity";"NightCapacity";"MonthsOpen";"Accreditation";"Mon";"Tue";"Wed";"Thu";"Fri";"Sat";"Sun";"FacilityID";"GroupSize";"ChildrenUnder7"
"Nestling House South";"Nestling House South";4000588954;"3200 S Howell Ave";"Milwaukee";"WI";"53207-2742";"Milwaukee County";2;2003555;"Licensed Group";"Eric Busiek";"(414) 269-9135";"Eric Busiek";"6 Week(s) - 12 Year(s)";;30;0;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"4000588954_2";;
"Nestling House Summer Camp";"Nestling House Summer Camp";4000588954;"3000 S Howell Ave";"Milwaukee";"WI";"53207-2664";"Milwaukee County";3;2004516;"Licensed Camp";"Emsie Bartch";"(414) 269-9135";"Eric Busiek";"5 Year(s) - 10 Year(s)";;36;0;"Jun - Sep";;"8:30AM - 4:30PM";"8:30AM - 4:30PM";"8:30AM - 4:30PM";"8:30AM - 4:30PM";"8:30AM - 4:30PM";"Closed";"Closed";"4000588954_3";;
"Next Best Place Cc And Prschl";"Next Best Place Cc And Prschl";7000589027;"3701 W Holmes Ave";"Greenfield";"WI";"53221-2515";"Milwaukee County";1;2003129;"Licensed Family";"Kathleen Smigielski";"(414) 940-7688";"Kathleen Smigielski";"1 Year(s), 6 Month(s) - 12 Year(s)";;8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"7000589027_1";;
"Northcott Neighborhood Hse Day Camp";"Northcott Neighborhood Hse Day Camp";7000563847;"2460 N 6Th St";"Milwaukee";"WI";53212;"Milwaukee County";1;240016;"Licensed Camp";"Elizabeth Coggs";"(414) 372-3770";"Monique Graham";"7 Year(s) - 17 Year(s)";;50;0;"Jul - Aug";;"8:00AM - 7:00PM";"8:00AM - 7:00PM";"8:00AM - 7:00PM";"8:00AM - 7:00PM";"8:00AM - 7:00PM";"8:00AM - 2:00PM";;"7000563847_1";;
"Oak Creek Community Preschool";"Oak Creek Community Preschool";9000577679;"8675 S 13Th St";"Oak Creek";"WI";53154;"Milwaukee County";1;220385;"Licensed Group";"Kara Pendzich";"(414) 762-6900";"Amanda Doers";"3 Year(s) - 7 Year(s)";;20;0;"Sep - May";;"9:00AM - 11:30AM";"9:00AM - 11:30AM";"9:00AM - 11:30AM";"9:00AM - 11:30AM";"Closed";"Closed";"Closed";"9000577679_1";;
"Once Upon A Preschool Inc";"Once Upon A Preschool Inc";588640;"1200 E Hampton Rd";"Whitefish Bay";"WI";"53217-6012";"Milwaukee County";1;2002505;"Licensed Group";"Teresa Freding";"(414) 964-5437";"Teresa Freding";"2 Year(s), 6 Month(s) - 6 Year(s)";;16;0;"Jan - Dec";;"Closed";"8:30AM - 11:15AM12:00PM - 2:45PM";"8:30AM - 11:15AM12:00PM - 2:45PM";"8:30AM - 11:15AM12:00PM - 2:45PM";"Closed";"Closed";"Closed";"588640_1";;
"Our Little Ones Matter";"Our Little Ones Matter";3000590433;"4500 N 75Th St";"Milwaukee";"WI";"53218-5434";"Milwaukee County";1;2005475;"Probationary Licensed Family";"Vickie Seals";"(414) 380-5636";"Vickie Seals";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"3000590433_1";;
"Peace And Love Lrng Center Llc";"Peace And Love Lrng Center Llc";7000589537;"3834 N 78Th St";"Milwaukee";"WI";"53222-3099";"Milwaukee County";1;2004000;"Licensed Family";"Shamira Walker";"(414) 616-1887";"Shamira Walker";"6 Week(s) - 12 Year(s)";;8;0;"Jan - Dec";;"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"6:30AM - 6:30PM";"Closed";"Closed";"7000589537_1";;
"Pilgrim Child Development Center";"Pilgrim Child Development Center";1000588211;"7011 W Center St";"Wauwatosa";"WI";"53210-1122";"Milwaukee County";1;1007639;"Licensed Group";"Angela Strege";"(414) 454-0888";"Gary Mueller";"6 Week(s) - 7 Year(s)";;80;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"1000588211_1";;
"Pumkin's Palace";"Pumkin's Palace";590470;"3263 N 41St St";"Milwaukee";"WI";"53216-3616";"Milwaukee County";1;"N/A";"Regular Certified";"Brianna Phillips";"(414) 610-1762";"Brianna Phillips";"6 Week(s) - 13 Year(s)";;;;"Jan - Dec";;"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"5:00AM - 9:00PM";"Closed";"Closed";"590470_1";6;3
"Russ Family Day Care";"Russ Family Day Care";578700;"7624 Stickney Ave";"Wauwatosa";"WI";"53213-1751";"Milwaukee County";1;235444;"Licensed Family";"Michelle Russ";"(414) 708-9748";"Michelle Russ";"6 Week(s) - 14 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"578700_1";;
"Saint Roberts Cafe Milestones";"Saint Roberts Cafe Milestones";2000563872;"2200 E Capitol Dr";"Shorewood";"WI";"53211-2105";"Milwaukee County";17;2000236;"Licensed Group";"Cheryl Zagorski";"(414) 964-5545";"Charles Hass";"6 Year(s) - 14 Year(s)";;32;0;"Jan - Dec";;"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"3:00PM - 6:00PM";"Closed";"Closed";"2000563872_17";;
"Sally's Tiny Blessings Childcare";"Sally's Tiny Blessings Childcare";8000590528;"8258 N 93Rd St";"Milwaukee";"WI";"53224-2742";"Milwaukee County";1;2005590;"Probationary Licensed Family";"Sally Lee";"(414) 446-9034";"Sally Lee";"6 Week(s) - 12 Year(s)";;8;0;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"Closed";"Closed";"8000590528_1";;
"Sara's Family Day Care";"Sara's Family Day Care";7000568457;"8628 N 59Th St";"Brown Deer";"WI";53223;"Milwaukee County";1;1012678;"Licensed Family";"Sara Ramminger";"(414) 354-2763";"Sara Ramminger";"6 Week(s) - 12 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"7000568457_1";;
"Schlitz Audubon Nature Preschool";"Schlitz Audubon Nature Preschool";6000577866;"1111 E Brown Deer Rd";"Bayside";"WI";53217;"Milwaukee County";2;1006948;"Licensed Group";"Catherine Koons-Hubbard";"(414) 352-2880";"Aliah Berman";"2 Year(s) - 6 Year(s)";;63;0;"Jan - Dec";;"8:30AM - 4:00PM";"8:30AM - 4:00PM";"8:30AM - 4:00PM";"8:30AM - 4:00PM";"8:30AM - 4:00PM";"Closed";"Closed";"6000577866_2";;
"School Age Care - Blakewood";"School Age Care - Blakewood";4000590544;"3501 Blakewood Ave";"S Milwaukee";"WI";"53172-3402";"Milwaukee County";3;2005614;"Public School";"Megan Verley";"(414) 768-7200";"David Maass";"4 Year(s) - 13 Year(s)";;15;0;"Sep - Jun";;"7:00AM - 8:30AM11:15AM - 5:45PM";"7:00AM - 8:30AM11:15AM - 5:45PM";"7:00AM - 8:30AM11:15AM - 5:45PM";"7:00AM - 8:30AM11:15AM - 5:45PM";"7:00AM - 8:30AM11:15AM - 5:45PM";"Closed";"Closed";"4000590544_3";;
"School Age Care - Lakeview";"School Age Care - Lakeview";4000590544;"711 Marion Ave";"S Milwaukee";"WI";"53172-3247";"Milwaukee County";1;2005612;"Public School";"Emily Miles";"(414) 766-5252";"David Maass";"4 Year(s) - 13 Year(s)";;17;0;"Sep - Jun";;"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"Closed";"Closed";"4000590544_1";;
"School Age Care - Rawson";"School Age Care - Rawson";4000590544;"1410 Rawson Ave";"S Milwaukee";"WI";"53172-1941";"Milwaukee County";4;2005615;"Public School";"Kawan Lever";"(414) 766-2904";"David Maass";"4 Year(s) - 13 Year(s)";;17;0;"Sep - Jun";;"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"Closed";"Closed";"4000590544_4";;
"School Age Care -Ew Luther";"School Age Care -Ew Luther";4000590544;"718 Hawthorne Ave";"S Milwaukee";"WI";"53172-1734";"Milwaukee County";2;2005613;"Public School";"Jade Farray";"(414) 766-5326";"David Maass";"4 Year(s) - 13 Year(s)";;17;0;"Sep - Jun";;"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"7:00AM - 8:30AM3:30PM - 5:45PM";"Closed";"Closed";"4000590544_2";;
"Shackcares Child Learning Center";"Shackcares Child Learning Center";5000590375;"4617 N 41St St";"Milwaukee";"WI";"53209-5819";"Milwaukee County";1;2005414;"Probationary Licensed Family";"Linda Shackelford";"(414) 491-0118";"Linda Shackelford";"0 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"6:00AM - 10:00PM";"Closed";"Closed";"5000590375_1";;
"Shining Stars Day Care";"Shining Stars Day Care";4000568364;"6083 Trail Ridge Dr";"Greendale";"WI";53129;"Milwaukee County";1;1006634;"Licensed Family";"Jodie Tornow";"(414) 423-4164";"Jodie Tornow";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"7:00AM - 5:30PM";"Closed";"Closed";"4000568364_1";;
"Siefert K3 Wrap-Around Program";"Siefert K3 Wrap-Around Program";2000563892;"1547 N 14Th St";"Milwaukee";"WI";"53205-2109";"Milwaukee County";26;2100235;"Public School";"Nicole Johnson";"(414) 935-1566";"Larry Miller";"3 Year(s) - 5 Year(s)";;20;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"2000563892_26";;
"Smiley Faces Childcare Llc";"Smiley Faces Childcare Llc";8000589938;"4702 W Vliet St";"Milwaukee";"WI";"53208-2628";"Milwaukee County";1;2004485;"Probationary Licensed Group";"Kenya Simms";"(414) 988-4179";"Kenya Simms";"6 Week(s) - 13 Year(s)";;35;35;"Jan - Dec";;"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"6:00AM - 11:59PM";"8000589938_1";;
"Sue's Daycare";"Sue's Daycare";6000579326;"8327 S Palomino Ct";"Oak Creek";"WI";"53154-8525";"Milwaukee County";1;1008905;"Licensed Family";"Slavica Miletich";"(414) 301-4733";"Slavica Miletich";"3 Month(s) - 6 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"6000579326_1";;
"Teng Thao";"Teng Thao";7000566977;"1706 N 28Th St";"Milwaukee";"WI";53208;"Milwaukee County";1;"N/A";"Regular Certified";"Teng Thao";"(414) 931-7841";"Teng Thao";"0 Week(s) - 13 Year(s)";;;;"Jan - Dec";;"6:30AM - 10:00PM";"6:30AM - 10:00PM";"6:30AM - 10:00PM";"6:30AM - 10:00PM";"6:30AM - 10:00PM";"6:30AM - 10:00PM";"6:30AM - 10:00PM";"7000566977_1";6;3
"Thirty-Fifth St Early Childhood Ctr";"Thirty-Fifth St Early Childhood Ctr";2000563892;"3517 W Courtland Ave";"Milwaukee";"WI";53209;"Milwaukee County";109;1015352;"No active license or certificate found for this provider!";"Donald Bennett";"(414) 874-5200";"Larry Miller";;;;;;;;;;;;;;"2000563892_109";;
"Tot Spot Family Child Care";"Tot Spot Family Child Care";2000565712;"170 E Lisa Dr";"Oak Creek";"WI";53154;"Milwaukee County";1;231065;"Licensed Family";"Kathryn Kranjac";"(414) 762-5416";"Kathryn Kranjac";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"2000565712_1";;
"Tree Of Life Christian Preschool";"Tree Of Life Christian Preschool";2000563552;"819 E Silver Spring Dr";"Whitefish Bay";"WI";"53217-5233";"Milwaukee County";2;2001765;"Licensed Group";"Becky Mcmenimen";"(414) 964-8733";"Matthew Hadley";"2 Year(s) - 6 Year(s)";;28;0;"Sep - Jun";;"8:30AM - 10:45AM";"8:30AM - 10:45AM";"8:30AM - 10:45AM";"8:30AM - 10:45AM";"8:30AM - 10:45AM";"Closed";"Closed";"2000563552_2";;
"Ucc Early Head Start Burnham Campus";"Ucc Early Head Start Burnham Campus";3000563563;"1648 S 37Th St";"Milwaukee";"WI";"53215-1724";"Milwaukee County";4;2004892;"Probationary Licensed Group";"Patricia Moynihan";"(414) 645-4869";"Jose Olivieri";"6 Week(s) - 3 Year(s)";;16;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"3000563563_4";;
"Ucc Head Start Burnham Campus";"Ucc Head Start Burnham Campus";3000563563;"1645 S 36Th St";"Milwaukee";"WI";"53215-1828";"Milwaukee County";5;2004893;"Probationary Licensed Group";"Emily Gorges";"(414) 645-4869";"Jose Olivieri";"3 Year(s) - 5 Year(s)";;187;0;"Jan - Dec";;"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"7:30AM - 5:00PM";"Closed";"Closed";"3000563563_5";;
"Virginia's Playhouse";"Virginia's Playhouse";4000590574;"5409 N 92Nd St";"Milwaukee";"WI";"53225-3416";"Milwaukee County";1;"N/A";"Provisional Certified";"Kenyetta Williams";"(414) 388-4186";"Kenyetta Williams";"6 Week(s) - 13 Year(s)";;;;"Jan - Dec";;"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"6:00AM - 9:00PM";"Closed";"Closed";"4000590574_1";6;3
"Wauwatosa Dc And Lrng Ctr - St Jude";"Wauwatosa Dc And Lrng Ctr - St Jude";6000560196;"800 Glenview";"Wauwatosa";"WI";"53213-3308";"Milwaukee County";11;1014447;"Licensed Group";"Marybeth Krause";"(414) 479-3050";"Colleen Heinowski";"3 Year(s) - 12 Year(s)";;85;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"6000560196_11";;
"West Allis Montessori Llc";"West Allis Montessori Llc";2000589332;"2179 S 77Th St";"West Allis";"WI";"53219-1131";"Milwaukee County";1;2003610;"Licensed Family";"Wendy Kelley";"(414) 217-8580";"Wendy Kelley";"6 Week(s) - 6 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"2000589332_1";;
"Whitefish Bay Shorewood Nursery Sch";"Whitefish Bay Shorewood Nursery Sch";2000577992;"1225 E Olive St";"Shorewood";"WI";"53211-1838";"Milwaukee County";1;220520;"Licensed Group";"Jamie Jury";"(414) 964-3590";"Kathleen Reid";"2 Year(s) - 6 Year(s)";;30;0;"Sep - May";;"9:00AM - 11:30AM";"9:00AM - 11:30AM";"9:00AM - 11:30AM";"9:00AM - 11:30AM";"9:00AM - 11:30AM";"Closed";"Closed";"2000577992_1";;
"Winnie's Wonderland Fam Day Care Ct";"Winnie's Wonderland Fam Day Care Ct";1000577761;"844 E Silver Spring Dr";"Whitefish Bay";"WI";"53217-5232";"Milwaukee County";1;235189;"Licensed Family";"Kim Winter";"(414) 322-3894";"Kim Winter";"6 Week(s) - 13 Year(s)";;8;0;"Jan - Dec";;"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"7:00AM - 6:00PM";"Closed";"Closed";"1000577761_1";;
"Ymca Sacc Mcp Lloyd St";"Ymca Sacc Mcp Lloyd St";1000558721;"1228 W Lloyd St";"Milwaukee";"WI";"53205-1243";"Milwaukee County";194;2005417;"Probationary Licensed Group";"Krissy Nesbit";"(262) 364-6974";"Carrie Wall";"4 Year(s) - 14 Year(s)";;30;0;"Aug - Jun";;"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"Closed";"Closed";"1000558721_194";;
"Ymca Sacc Mcp Lola Rowe";"Ymca Sacc Mcp Lola Rowe";1000558721;"1350 W North Ave";"Milwaukee";"WI";"53205-1257";"Milwaukee County";195;2005418;"Probationary Licensed Group";"Mary Lewandowski";"(414) 607-2420";"Carrie Wall";"4 Year(s) - 14 Year(s)";;30;0;"Aug - Jun";;"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"Closed";"Closed";"1000558721_195";;
"Ymca Sacc Mcp 36Th St";"Ymca Sacc Mcp 36Th St";1000558721;"2449 N 36Th St";"Milwaukee";"WI";"53210-3040";"Milwaukee County";196;2005419;"Probationary Licensed Group";"Samantha Fairchild";"(414) 357-1917";"Carrie Wall";"4 Year(s) - 14 Year(s)";;17;0;"Sep - Jun";;"3:30PM - 6:00PM";"3:30PM - 6:00PM";"3:30PM - 6:00PM";"3:30PM - 6:00PM";"3:30PM - 6:00PM";"Closed";"Closed";"1000558721_196";;
"Ymca Sacc Mcp 38Th St";"Ymca Sacc Mcp 38Th St";1000558721;"2623 N 38Th St";"Milwaukee";"WI";"53210-2502";"Milwaukee County";193;2005416;"Probationary Licensed Group";"Sam Fairchild";"(414) 531-8592";"Carrie Wall";"4 Year(s) - 14 Year(s)";;30;0;"Aug - Jun";;"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"3:00PM - 6:15PM";"Closed";"Closed";"1000558721_193";;
"Kids And Company Day Care";"Kids And Company Day Care";3000559683;"500 E Veterans St";"Tomah";"WI";54660;"Monroe County";1;520542;"Licensed Group";"Lindsay Fick";"(608) 372-1694";"Kristina Schmitz";"6 Week(s) - 13 Year(s)";"5 Stars";40;0;"Jan - Dec";"National Association for the Education of Young Children (NAEYC)";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"3000559683_1";;
"Sparta Head Start Center";"Sparta Head Start Center";577800;"2111 W Wisconsin St";"Sparta";"WI";"54656-3301";"Monroe County";5;520172;"Licensed Group";"Lisa Hines";"(608) 269-8297";"Amber Peters";"1 Year(s) - 6 Year(s)";"5 Stars";60;0;"Jan - Dec";"Head Start Performance Standards";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"6:30AM - 5:00PM";"Closed";"Closed";"577800_5";;
"Tomah Head Start Center";"Tomah Head Start Center";577800;"402 Pine St";"Tomah";"WI";54660;"Monroe County";4;520177;"Licensed Group";"Lisa Hines";"(608) 372-3781";"Amber Peters";"3 Year(s) - 6 Year(s)";"5 Stars";19;0;"Jan - Dec";"Head Start Performance Standards";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"Closed";"Closed";"577800_4";;
"A Little Learners Family Daycare";"A Little Learners Family Daycare";6000576986;"620 Kilbourn Ave";"Tomah";"WI";"54660-2011";"Monroe County";3;2004461;"Licensed Family";"Sheila Thornton";"(608) 387-4944";"Sheila Thornton";"1 Year(s) - 8 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"6:30AM - 5:30PM";"Closed";"Closed";"6000576986_3";;
"Blue Giraffe And Friends Childcare";"Blue Giraffe And Friends Childcare";8000588918;"409 N L St";"Sparta";"WI";"54656-1639";"Monroe County";1;2002937;"Licensed Family";"Jeanne Hesselberg";"(608) 269-8168";"Jeanne Hesselberg";"3 Month(s) - 12 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"6:30AM - 6:00PM";"Closed";"Closed";"8000588918_1";;
"Cashton's Cradles To Crayons Llc";"Cashton's Cradles To Crayons Llc";5000589775;"111 Eagle Dr";"Cashton";"WI";"54619-7282";"Monroe County";1;2004515;"Licensed Group";"Morgan Meyer";"(608) 654-8687";"Morgan Meyer";"0 Week(s) - 12 Year(s)";"3 Stars";50;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"5000589775_1";;
"Country Cabin Day Care";"Country Cabin Day Care";5000558375;"12335 Fortune Rd";"Tomah";"WI";"54660-6551";"Monroe County";1;530918;"Licensed Family";"Dawn Pearson";"(608) 343-4130";"Dawn Pearson";"6 Week(s) - 7 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"6:30AM - 4:30PM";"Closed";"Closed";"5000558375_1";;
"Growing Stars Child Development Center";"Growing Stars Child Development Center";3000588983;"711 W Montgomery St";"Sparta";"WI";"54656-1161";"Monroe County";1;2003114;"Licensed Group";"Michelle Schultz";"(608) 269-2271";"Michelle Schultz";"6 Week(s) - 12 Year(s)";"3 Stars";75;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"3000588983_1";;
"Jean's Loving Care";"Jean's Loving Care";558930;"506 Merrill St";"Sparta";"WI";54656;"Monroe County";2;1008676;"Licensed Family";"Jean Swartz";"(608) 487-0228";"Jean Swartz";"6 Week(s) - 10 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 4:30PM";"6:00AM - 4:30PM";"6:00AM - 4:30PM";"6:00AM - 4:30PM";"6:00AM - 4:30PM";"Closed";"Closed";"558930_2";;
"Learning Ladder Family Daycare";"Learning Ladder Family Daycare";6000584006;"8463 State Hwy 173";"Tomah";"WI";54660;"Monroe County";1;1013570;"Licensed Family";"Nancy Storkel";"(608) 374-2242";"Nancy Storkel";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"6000584006_1";;
"Lisa's Little Ones";"Lisa's Little Ones";2000587612;"2151 Julie Ave";"Sparta";"WI";"54656-8817";"Monroe County";1;2001070;"Licensed Family";"Lisa Corton";"(608) 547-1816";"Lisa Corton";"6 Week(s) - 13 Year(s)";"3 Stars";8;0;"Jan - Dec";;"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"6:00AM - 6:00PM";"Closed";"Closed";"2000587612_1";;
"Qd Kids Family Child Care";"Qd Kids Family Child Care";6000586966;"602 Packard St";"Tomah";"WI";"54660-1826";"Monroe County";1;2000281;"Licensed Family";"Dawn Allen";"(608) 343-6098";"Dawn Allen";"2 Week(s) - 8 Year(s)";"3 Stars";8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"6000586966_1";;
"Beatles And Butterflies Daycare";"Beatles And Butterflies Daycare";9000584009;"23655 Flute Ave";"Tomah";"WI";"54660-8012";"Monroe County";1;1015746;"Licensed Family";"Diane Schreck";"(608) 377-1418";"Diane Schreck";"6 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"7:00AM - 5:00PM";"Closed";"Closed";"9000584009_1";;
"Doodle Bugs";"Doodle Bugs";3000570263;"12861 County Highway Q";"Sparta";"WI";54656;"Monroe County";1;1011146;"Licensed Family";"Lyndsi Ebert";"(608) 487-0648";"Lyndsi Ebert";"4 Week(s) - 12 Year(s)";"2 Stars";8;0;"Jan - Dec";;"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"5:30AM - 5:30PM";"Closed";"Closed";"3000570263_1";;
"Great Beginnings Ltd";"Great Beginnings Ltd";3000556213;"313 Central Ave";"Sparta";"WI";54656;"Monroe County";1;520294;"Licensed Group";"Carol Peterson";"(608) 269-1717";"Kathryn Ladue";"2 Year(s) - 13 Year(s)";"2 Stars";44;0;"Jan - Dec";;"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"5:30AM - 6:00PM";"Closed";"Closed";"3000556213_1";;
"Jeff Sommer";"Jeff Sommer";9000590219;"439 Green Acres Ave";"Tomah";"WI";"54660-1359";"Monroe County";1;"N/A";"Regular Certified";"Jeff Sommer";"(608) 343-0228";"Jeff Sommer";"3 Year(s) - 12 Year(s)";"2 Stars";;;"Jan - Dec";;"5:00AM - 5:00PM";"5:00AM - 5:00PM";"5:00AM - 5:00PM";"5:00AM - 5:00PM";"5:00AM - 5:00PM";"Closed";"Closed";"9000590219_1";6;3
"Kathy's Day Care";"Kathy's Day Care";1000567741;"427 North St";"Tomah";"WI";"54660-1234";"Monroe County";1;"N/A";"Regular Certified";"Kathryn Shisler";"(608) 372-7471";"Kathryn Shisler";"0 Week(s) - 8 Year(s)";"2 Stars";;;"Jan - Dec";;"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"6:00AM - 5:30PM";"Closed";"Closed";"1000567741_1";6;3
