"Application Type";"County";"Facility Name";"Facility Number";"Line Address 1";"City";"ZIP Code";"Contact Name";"Contact Phone";"License Date";"Capacity";"From Age";"To Age";"Hours";"Months";"Full Time"
"CERTIFIED FAMILY";"51. RACINE";"PRECIOUS MOMENTS";"       ";"1841 Roosevelt Ave 4";"Racine";"53406-4834";"Martin, Mae  ";"262-822-7515";1/26/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-05:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"51. RACINE";"RHONDA GRIFFIN";"       ";"1657 N Wisconsin St";"Racine";"53402-4806";"Griffin, Rhonda L ";"262-638-2102";1/11/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-09:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"ROMAN DAYCARE";"       ";"1701 Arlington Ave";"Racine";"53403";"Roman, Leonor  ";"262-632-7972";3/31/2002;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"ROSALYN ROBINSON";"       ";"1130 Main St 109";"Racine";"53403";"Robinson, Rosalyn  ";"262-634-5032";7/15/2002;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-10:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SEKIA'S DAYCARE";"       ";"5910 16th St 101";"Racine";"53406";"Foster, Yashawndra T ";"262-939-5838";5/30/2007;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SHA'MEEKA'S TENDER LOVING DAYCARE";"       ";"5003 Biscayne Ave 3";"Racine";"53406";"Boykin, Sha'Meeka T ";"262-939-9300";6/25/2012;3;"1 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SHANETA KELLEY";"       ";"3320 17th St";"Racine";"53405-3451";"Kelley, Shaneta  ";"262-676-1053";11/15/2011;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-10:00 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SHEILA WITHERSPOON";"       ";"8341 Kingsway Ln";"Sturtevant";"53177";"Witherspoon, Sheila S ";"414-331-4764";12/19/2011;3;"3 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SHENICKA BOLTON";"       ";"1020 Park Ave";"Racine";"53403";"Bolton, Shenicka M ";"262-989-0286";11/1/2006;3;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-10:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SONYA PULLIAM-FARRIS";"       ";"1825 Erie St";"Racine";"53402";"Pulliam-Farris, Sonya M ";"262-633-4327";9/22/2004;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"SUNSHINE DAY CARE";"       ";"1436 Lincoln St";"Racine";"53402";"Durham, April L ";"262-412-9000";3/6/2012;3;"1 Year(s), 0 Month(s), 0 Week(s)";"13 Year(s), 0 Month(s), 0 Week(s)";"08:00 AM-08:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TAMMY'S TINY TOT'S FAMILY DAY CARE";"       ";"1826 Saint Patrick St";"Racine";"53404-2617";"Charles, Tammy  ";"262-635-0811";4/2/2011;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TANESHA HAWKINS";"       ";"1629 N Wisconsin St";"Racine";"53402-4806";"Hawkins, Tanesha A ";"262-498-7392";7/16/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"51. RACINE";"TANYA'S TINY TOTS";"       ";"800 Jackson St";"Racine";"53404";"Price, Tanya D ";"262-880-7658";7/25/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TARIA NICHOLE RILEY";"       ";"1821 Mead St";"Racine";"53403-2619";"Riley, Taria N ";"262-598-7091";12/27/2011;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"03:00 PM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TAUNESHE DAVIS";"       ";"1818 W 6th St";"Racine";"53404";"Davis, Tauneshe T ";"262-634-7603";7/1/2009;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-09:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TENDER CARE";"       ";"1233 Carlisle Ave";"Racine";"53404";"Beadles, Sherrie L ";"262-752-8539";1/23/2002;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"-07:00 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TERRI SMITH MANDLI";"       ";"1725 Grange Ave";"Racine";"53405";"Smith Mandli, Terri A ";"262-930-1157";10/1/2008;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:30 AM-10:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TIFFANY GOLDEN";"       ";"2044 Grand Ave";"Racine";"53403-2637";"Golden, Tiffany N ";"262-637-8494";5/24/2011;3;"2 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 PM-09:30 PM";"Jan-Feb";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TIFFANY ROCHELLE HOLLIMON";"       ";"1344 S Memorial Dr";"Racine";"53403-2026";"Hollimon, Tiffany R ";"262-989-7480";9/19/2011;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-03:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TINA'S TOTS";"       ";"1219 Wisconsin Ave";"Racine";"53403-1976";"Moser, Tina A ";"262-497-0155";10/13/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-09:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TODAY'S CHILDREN TOMORROW'S FUTURE";"1009094";"5300 Admiralty Ave";"Racine";"53406";"Jutley, Kulvinder S ";"262-554-9426";2/16/2004;6;"4 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"TUMINA RANSOM";"       ";"1224 Isabelle Ave";"Racine";"53402";"Ransom, Tumina L ";"264-456-0906";10/5/2007;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"-07:00 AM";"Mar-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"VENUS ALEXANDER";"       ";"3626 Sovereign Dr";"Racine";"53406-5318";"Alexander, Venus M ";"262-456-1201";9/23/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-10:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"VICKY BOATNER";"       ";"1124 Erie St";"Racine";"53402";"Boatner, Vicky  ";"262-638-1369";8/7/2006;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-10:00 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"51. RACINE";"ZENA COLEMAN";"       ";"2212 Gillen St";"Racine";"53403-3024";"Coleman, Zena  ";"262-930-5140";6/15/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-11:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"ALLBAUGH DAYCARE";"       ";"743 N Jefferson St";"Richland Ctr";"53581-1647";"Allbaugh, Lisa  ";"608-477-4885";5/9/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"ANGELA TURNIPSEED";"       ";"17517 Berry Hill Road";"Richland Center";"53581";"Turnipseed, Angela A ";"608-647-4059";4/24/2005;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-08:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"52. RICHLAND";"AUNT ANNETTE'S DAY CARE";"1000398";"23929 State Hwy 58";"Richland Center";"53581";"Louis, Annette  ";"608-585-3362";6/2/1997;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-08:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"CAROLE MC CAULEY";"       ";"403 E Wisconsin St";"Viola";"54664";"Mc Cauley, Carole A ";"608-627-1917";2/25/2004;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:00 AM-09:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"CHRISTINE KLEPPE";"       ";"768 E Kinder St";"Richland Center";"53581";"Kleppe, Christine  ";"608-604-9634";7/21/2009;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-06:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"DIANE BRUNSON";"       ";"541 S Church Street";"Richland Center";"53581";"Brunson, Diane M ";"608-647-8757";8/24/2006;3;"0 Year(s), 8 Month(s), 0 Week(s)";"10 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-04:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"ELIZABETH SCHAUER";"       ";"430 North Lane";"Richland Center";"53581";"Schauer, Elizabeth  ";"608-647-2236";12/12/2003;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Jan";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"JUDY'S LASTING IMPRESSIONS C C";"1005345";"23304 Gingers Rd";"Muscoda";"53573";"Bobb, Judy  ";"608-739-9156";6/1/2002;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"KAREBARE DAYCARE LLC";"       ";"1055 W Haseltine St";"Richland Center";"53581";"Mccorkle, Kari  ";"608-647-6727";7/5/2005;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:00 AM-08:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"KIDS KLUBHOUSE";"1015401";"154 E 4th St";"Richland Center";"53581";"Toney, Nichole  ";"608-383-1097";4/16/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"LORI KEPLER";"       ";"961 Valley View Drive";"Richland Center";"53581";"Kepler, Lori  ";"608-647-7158";5/9/2001;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-08:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"52. RICHLAND";"LYNDSAY BYRNES";"       ";"357 E Haseltine St";"Richland Ctr";"53581-2505";"Byrnes, Lyndsay  ";"608-475-9722";9/21/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"07:00 AM-04:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"MARYANN EVANS";"       ";"122 Dr B Reynolds Dr";"Lone Rock";"53556";"Evans, Mary Ann  ";"608-583-4854";6/24/2001;3;"0 Year(s), 0 Month(s), 0 Week(s)";"17 Year(s), 0 Month(s), 0 Week(s)";"05:00 AM-10:00 PM";"Jan-Jan";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"REBECCA HOFER";"       ";"695 S Cairns Ave";"Richland Center";"53581";"Hofer, Becky  ";"608-649-9561";6/10/2001;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:00 AM-08:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"RHONDA L WILSON";"       ";"751 S Pine Street";"Lone Rock";"53581";"Wilson, Rhonda L ";"608-574-4092";4/24/2007;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:00 AM-06:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"SANDIE'S FAMILY DAY CARE";"130843 ";"415 E 11th St";"Richland Center";"53581";"Granger, Sandra  ";"608-647-6462";6/2/1997;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"SARAH LEISSO";"       ";"641 S Ira St";"Richland Center";"53581";"Leisso, Sarah L ";"608-479-0243";8/16/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:30 AM-05:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"TINA SKOLASKI";"       ";"1770 N Collins Dr";"Richland Ctr";"53581-1108";"Skolaski, Tina  ";"608-604-4478";7/8/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"7 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-05:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"52. RICHLAND";"WEGNER'S DAYCARE";"       ";"1346 E Haseltine St";"Richland Ctr";"53581-2421";"Wegner, Lyn  ";"608-647-0235";6/9/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"03:00 PM-03:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"ANNETTE LEWIS";"       ";"204 Middle St";"Beloit";"53511-4366";"Lewis, Annette H ";"608-313-4543";2/16/2010;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-10:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"AUNT AGGIE'S DAY CARE";"130866 ";"1514 Vernon Ave";"Beloit";"53511";"Grandprey, Agnes  ";"608-362-3649";1/12/1997;6;"3 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 PM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"CHRISTINE DAVIS";"       ";"1062 Sunset Dr";"Milton";"53563-1046";"Davis, Christine A ";"608-289-3715";4/8/2011;6;"5 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"53. ROCK";"DAWN ALFT";"       ";"6952 Madison Rd";"Beloit";"53511";"Alft, Dawn  ";"815-289-4375";9/20/2011;6;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-11:59 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"DEBBIE SIMPKINS";"       ";"803 10th St";"Beloit";"53511-5251";"Simpkins, Debbie A ";"608-436-1729";4/23/2009;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"ELIZABETH C. CARLTON";"       ";"428 S Ringold St";"Janesville";"53545-4176";"Carlton, Elizabeth C ";"608-359-1401";9/24/2012;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:45 AM-08:00 AM";"Jan-Jan";"Y"
"CERTIFIED FAMILY";"53. ROCK";"HUGGABLE LOVEABLE FAMILY DC INC";"131126 ";"1331 Frederick St";"Beloit";"53511";"Hankins, Vicki  ";"608-362-8997";1/5/1997;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"JENECE BETTS";"       ";"111 S Locust St";"Janesville";"53548-3749";"Betts, Jenece B ";"608-563-1345";10/19/2009;6;"0 Year(s), 10 Month(s), 0 Week(s)";"8 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"JILL'S PLAYHOUSE LLC";"1011596";"923 Merrill Ave";"Beloit";"53511";"Etringer, Jill K ";"608-365-5623";2/1/2007;0;"0 Year(s), 0 Month(s), 4 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 PM-10:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"LAURA M WORACHEK";"       ";"3238 Westminster Rd";"Janesville";"53546-9649";"Worchek, Laura M ";"608-754-3211";10/11/2012;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"LAURA R. JUNO";"       ";"1650 S Arch St";"Janesville";"53546-5774";"Juno, Laura R ";"608-756-0068";8/16/2012;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-09:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"LITTLE ONE OF THE FUTURE";"       ";"913 E Memorial Dr";"Janesville";"53545-1749";"Arvizo, Yanet  ";"608-756-3403";4/7/2009;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"08:00 AM-11:59 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"53. ROCK";"ONE 2 3 YOU AND ME";"1010522";"731 W Grand Ave";"Beloit";"53511";"Hanna, Jan Lynette  ";"608-362-5822";4/28/2006;0;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 PM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"PAM JONES";"       ";"2006 S Terrace St";"Janesville";"53546";"Jones, Pam  ";"608-756-0537";3/14/2002;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-11:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"SHERI POUNDS";"       ";"1239 Porter Ave";"Beloit";"53511";"Pounds, Sheri L ";"608-362-7947";6/1/2005;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"53. ROCK";"SHINING STAR DAYCARE";"       ";"2349 Butlin Dr";"Beloit";"53511-2607";"Green, Janet M ";"608-299-8093";12/11/2008;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"SHIRLEY A SHAW";"       ";"4241 N Polaris Pkwy";"Janesville";"53546-9611";"Shaw, Shirley  ";"608-295-6996";9/17/2010;6;"0 Year(s), 2 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-11:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"STEPHANIE VALENTINE";"       ";"875 Tower Hill Dr";"Milton";"53563-1843";"Valentine, Stephanie A ";"608-434-0994";11/4/2010;3;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"07:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"TARMUNI FITZGERALD";"       ";"2175 Hayfield Ln";"Beloit";"53511";"Fitzgerald, Tarmuni  ";"608-363-8950";12/20/2004;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:30 AM-12:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"THE BIG RED HOUSE DAYCARE";"       ";"1003 Merrill Ave";"Beloit";"53511-5152";"Strommen, Shelley L ";"608-295-2913";5/24/2010;6;"3 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-09:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"TIPLER DAY CARE";"       ";"1707 Morse Ave";"Beloit";"53511-3529";"Tipler, Virgie M ";"608-363-1129";11/2/2000;6;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"-01:30 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"53. ROCK";"TRACY L. KLOSSNER";"       ";"541 Porter Rd";"Evansville";"53536-2202";"Klossner, Tracy L ";"608-554-8060";7/24/2012;6;"1 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"07:00 AM-11:00 PM";"Jan-Jan";"Y"
"CERTIFIED FAMILY";"53. ROCK";"WOFFORD FAMILY DAY CARE";"1002854";"2443 Shopiere Rd";"Beloit";"53511";"Wofford, Bobbie J ";"608-365-7187";12/29/1996;6;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-05:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"CARRIE BRINKER";"       ";"W10748 Old 14 Rd";"Ladysmith";"54848-9521";"Brinker, Carrie L ";"715-868-2877";2/16/2011;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-05:00 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"54. RUSK";"DEANNA WILLIAMS";"       ";"1005 W 8th St N";"Ladysmith";"54848-1170";"Williams, Deanna J ";"715-609-1034";5/20/2008;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"05:00 AM-09:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"DENISE RAY";"       ";"303 32 W Pine Ave";"Bruce";"54819";"Ray, Denise R ";"715-868-0885";2/11/2004;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:00 AM-07:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"EARLY YEARS CHILDCARE CENTER";"2000857";"711 E 10th St N";"Ladysmith";"54848";"Monfre, Madonna  ";"715-532-0881";7/9/2012;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-05:30 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"FRANCES JARSTAD";"       ";"W7454 Old 14 Rd";"Ladysmith";"54848";"Jarstad, Frances J ";"715-532-5370";4/18/2005;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-11:59 PM";"Jan-Dec";" "
"CERTIFIED FAMILY";"54. RUSK";"HEATHER HOLMAN";"       ";"325 E River Ave";"Bruce";"54819";"Holman, Heather M ";"715-868-8181";6/6/2005;3;"0 Year(s), 2 Month(s), 0 Week(s)";"11 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-06:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"JULIE REINAAS";"       ";"N4719 Schmidt Rd";"Ladysmith";"54848-9229";"Reinaas, Julie  ";"715-532-6531";4/12/2010;3;"0 Year(s), 0 Month(s), 6 Week(s)";"17 Year(s), 11 Month(s), 0 Week(s)";"07:30 AM-06:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"KATHERINE HAKES";"       ";"N2710 Hakes Ln";"Weyerhaeuser";"54895";"Hakes, Katherine L ";"715-353-2798";5/23/2007;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 11 Month(s), 0 Week(s)";"06:00 AM-08:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"KATHY WILLIAMS";"       ";"W9402 Balsam Rd";"Ladysmith";"54848";"Williams, Kathy D ";"715-532-3689";2/14/2005;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-04:00 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"KIDS FIRST CHILD CARE CENTER";"1015048";"922 Lake Ave E";"Ladysmith";"54848-1321";"Kienast, Melissa  ";"715-532-8085";3/1/2010;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-05:30 AM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"LEAPS AND BOUNDS";"1005407";"311 W Pederson Ave";"Ladysmith";"54848";"Racoma, Lisa M ";"715-532-0500";4/28/2002;3;"0 Year(s), 0 Month(s), 0 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"05:30 AM-05:30 PM";"Jan-Dec";"Y"
"CERTIFIED FAMILY";"54. RUSK";"LITTLE ANGELS DAY CARE";"1002297";"700 E 3rd St N";"Ladysmith";"54848";"Hoefs, Julie  ";"715-532-9850";8/20/1998;3;"0 Year(s), 0 Month(s), 6 Week(s)";"12 Year(s), 0 Month(s), 0 Week(s)";"04:30 AM-05:30 PM";"Jan-Dec";"Y"
