"Name";"City";"County";"Zip";"Address";"Phone";"Email";"Type of Care";"License Effective Date";"License Expiration Date";"Facility Total Capacity";"Facility Age Range";"Hours of operation";"UrlID";"Mailing Address";"Mailing City";"Mailing State";"Mailing ZIP";"Email2";"Director";"Child Care Specialist";"ID"
"PACE, TAWANDA";"FLORISSANT";"ST LOUIS";"63033-7815";"12131 JERRIES LN ";"(314) 223-3287";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 16 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001881325";" ";;;;"pacetawanda@gmail.com";"PACE, TAWANDA";"CHARMEL WILLIAMS";1881325
"PACK, SHAWNETTE ";"FLORISSANT ";"ST LOUIS";63031;"1395 LINDSAY LN ";"(314) 755-2470";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002672960";;;;;;;;2672960
"PARKER, JOHNELLA ";"SAINT LOUIS ";"ST LOUIS";63113;"4969 HIGHLAND AVE ";"(314) 243-0128";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002369959";;;;;;;;2369959
"PARKWAY BAPTIST PRESCHOOL";"ST LOUIS";"ST LOUIS";63141;"12465 OLIVE BLVD ";"(314) 434-5811";;"LICENSE EXEMPT PROGRAM";"10/01/2022";;68;"12 MONTHS - 5 YEARS";" 9:00 AM- 2:30 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000192858";" ";;;;"WEEKDAYPRESCHOOL@PARKWAYBAPTIST.NET";"BRADT, MARQIE";"DENISE ELAYNE KOCH";192858
"PAYNE, RUSHELL ";"SAINT LOUIS ";"ST LOUIS";63137;"10426 MELVICH DR ";"(314) 441-9742";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002908170";;;;;;;;2908170
"PEACE LUTHERAN EARLY CHILDHOOD PROGRAM";"ST LOUIS";"ST LOUIS";63125;"737 BARRACKSVIEW RD ";"(314) 892-8844";;"LICENSE EXEMPT PROGRAM";"10/01/2022";;99;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000969199";" ";;;;"EARLYCHILDHOOD@PEACELUTHERANSTL.ORG";"VELTEN, SUSAN LOVEY";"MICHELLE (SHELLEY) TRUESDALE";969199
"PEACE OF MIND CHILD CARE HOME, LLC";"ST LOUIS";"ST LOUIS";"63123-1208";"8521 GRANTSHIRE LN ";"(314) 398-5755";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 8 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002304134";" ";;;;"chobart415@msn.com";"HOBART, COURTNEY MARGARET";"MICHELLE (SHELLEY) TRUESDALE";2304134
"PEACE OF MIND CHILD DEVELOPMENT CENTER, LLC";"ST LOUIS";"ST LOUIS";"63118-1422";"2651 IOWA AVE ";"(314) 664-4445";;"CHILD CARE CENTER";"08/28/2021";;20;"6 WEEKS - 12 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001959395";" ";;;;"peaceofmind4kids@yahoo.com";"GREEN, SHONA DENEICE";"VIKTORIA ZABARA";1959395
"PEACE OF MIND LEARNING ACADEMY LLC";"ST LOUIS";"ST LOUIS";"63132-1525";"9659 PAGE AVE ";"(314) 475-5676";;"CHILD CARE CENTER";"08/28/2021";;42;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002697523";" ";;;;"peaceofmind4kids@yahoo.com";"GREEN, PATRICIA ANN";"VIKTORIA ZABARA";2697523
"PEARL'S PALACE";"ST LOUIS";"ST LOUIS";"63132-2814";"8336 OLIVE BLVD ";"(314) 325-5478";;"CHILD CARE CENTER";"08/28/2021";;54;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002534172";"2266 HERITAGE DR ";"ST LOUIS";"MO";"63136-4520";"MARYWATSON2010@ATT.NET";"WATSON, MARY";"REGINA WATKINS";2534172
"PERFECT PEACE FAMILY CARE, LLC";"FLORISSANT";"ST LOUIS";"63034-3302";"3776 SECRETARIAT DR ";"(314) 724-7101";;"FAMILY HOME";"08/28/2021";;10;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002747988";"3776 SECRETARIAT DR ";"FLORISSANT";"MO";"63034-3302";"perfectpeacefamilycare@gmail.com";"GRIFFIN, KENYA";"KATHERINE D SIMS";2747988
"PERNELL, LYNETTA ";"FLORISSANT ";"ST LOUIS";63033;"2640 BELAIR TER ";"(314) 766-1740";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002818786";;;;;;;;2818786
"PERPETUAL LIFE CHURCH DAYCARE";"ST LOUIS";"ST LOUIS";"63104-3032";"1400 PARK AVE ";"(314) 588-9921";;"LICENSE EXEMPT PROGRAM";"03/01/2023";;50;"BIRTH - 14 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001943286";" ";;;;"perpetuallifec@yahoo.com";"BINGHAM, ELLA";"IAN FYFE";1943286
"PERPETUAL LIFE CHURCH DAYCARE";"ST LOUIS";"ST LOUIS";"63104-3032";"1400 PARK AVE ";"(314) 588-9921";;"LICENSE EXEMPT PROGRAM";"03/01/2023";;50;"BIRTH - 14 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001943286";" ";;;;"perpetuallifec@yahoo.com";"BINGHAM, ELLA";"IAN FYFE";1943286
"PERRY, SHARONE ";"SAINT LOUIS ";"ST LOUIS";63114;"8025 ELLERTON AVE ";"(314) 239-0492";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=003017630";;;;;;;;3017630
"PETERSON, VALESTINE ";"SAINT LOUIS ";"ST LOUIS";63136;"5478 HAMILTON AVE ";"(314) 788-1827";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002343262";;;;;;;;2343262
"PHILLIPS, CAROLYN ";"SAINT LOUIS ";"ST LOUIS";63133;"1514 ENGELHOLM AVE ";"(314) 753-9941";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001861258";;;;;;;;1861258
"PLANET CHILD CARE, INC.";"ST LOUIS";"ST LOUIS";63129;"5660 TELEGRAPH RD ";"(314) 846-0448";;"CHILD CARE CENTER";"08/28/2021";;116;"6 WEEKS - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001344790";" ";;;;"J_SCHAD@JUNO.COM";"RAPOSO, KARIN ANNE";"THERESA ZEHNLE";1344790
"PLAYHOUSE OF THE HOLY FAMILY LLC";"ST LOUIS";"ST LOUIS";"63139-3607";"1525 CUTTER AVE ";"(314) 680-9837";;"FAMILY HOME";"08/28/2021";;8;"BIRTH - 3 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002392076";" ";;;;"playhousehf@yahoo.com";"TORRES, MARCELA M";"REGINA WATKINS";2392076
"PLAYHOUSE OF THE HOLY FAMILY LLC";"ST LOUIS";"ST LOUIS";63139;"6857 PLATEAU AVE ";"(314) 277-9548";;"FAMILY HOME";"08/28/2021";;8;"BIRTH - 36 MONTHS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002392085";" ";;;;"playhousehf@yahoo.com";"NUNEZ, CANDIDA";"NANCY SMITH";2392085
"PLAYHOUSE OF THE HOLY FAMILY LLC";"ST LOUIS";"ST LOUIS";"63139-3634";"6853 PLATEAU AVE ";"(314) 601-3144";;"FAMILY HOME";"03/23/2022";;9;"BIRTH - 3 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002557817";" ";;;;"playhousehf@yahoo.com";"RODRIGUEZ, KARMELIZA";"REGINA WATKINS";2557817
"PLAYTIME ACADEMY CHILDREN DEVELOPMENT CENTER LLC";"ST LOUIS";"ST LOUIS";"63113-2820";"1318 N NEWSTEAD AVE ";"(314) 534-0530";;"CHILD CARE CENTER";"08/28/2021";;57;"6 WEEKS - 14 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002825536";"36 ORVIETO CT ";"FLORISSANT";"MO";"63031-8626";"sharonpatterson78@yahoo.com";"WATSON, REGINA";"THERESA ZEHNLE";2825536
"PLAYTIME CHILDCARE LEARNING CENTER, INC.";"ST LOUIS";"ST LOUIS";"63134-1453";"8310 FROST AVE ";"(314) 524-1160";;"CHILD CARE CENTER";"08/28/2021";;46;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002657496";" ";;;;"playtimeclc2003@gmail.com";"ARNOLD, ANNETTE";"SHALINDA WALLACE";2657496
"PLAYTIME LEARNING CENTER, INC.";"BRIDGETON";"ST LOUIS";63044;"3163 FEE FEE RD ";"(314) 209-8849";;"CHILD CARE CENTER";"08/28/2021";;49;"24 MONTHS - 11 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001319639";" ";;;;"SIMPLESUE56@YAHOO.COM";"COOK, JUDITH ANN";"PATRICK OMALLEY";1319639
"POELKER, AMY MARIA";"ST ANN";"ST LOUIS";"63074-2915";"3459 MARY ANN CT ";"(314) 517-2378";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002104985";" ";;;;"casjpoelker@msn.com";"POELKER, AMY MARIA";"PATRICK OMALLEY";2104985
"POWELL, ZANITA ";"SAINT LOUIS ";"ST LOUIS";63138;"1755 EL SABADO DR ";"(314) 504-6526";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001772194";;;;;;;;1772194
"POWELLMOORE, JOYCE ";"FLORISSANT ";"ST LOUIS";63033;"1450 STALLION DR ";"(314) 309-6609";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001844973";;;;;;;;1844973
"PRECIOUS CIRCLE OF FRIENDS LLC";"ST LOUIS";"ST LOUIS";"63112-3529";"1423-1425 HODIAMONT AVE ";"(314) 226-9953";;"CHILD CARE CENTER";"04/12/2023";;28;"BIRTH - 5 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002947879";" ";;;;"sherrineal9254@gmail.com";"COLE, STACEY DARNELLA";"AMY MUSSELMAN";2947879
"PRECIOUS DAYS LEARNING ACADEMY INC";"ST LOUIS";"ST LOUIS";63134;"8119 AIRPORT RD ";"(314) 524-1121";;"CHILD CARE CENTER";"03/03/2023";;99;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002209336";" ";;;;"FRANCENEMITCHELL4@YAHOO.COM";"MITCHELL, FRANCENE D";"PATRICK OMALLEY";2209336
"PRECIOUS STEPS CHILDCARE FACILITY LLC";"ST LOUIS";"ST LOUIS";"63115-1902";"2819 MARCUS AVE ";"(314) 262-3904";;"GROUP HOME";"09/26/2022";;18;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002632164";" ";;;;"juliarussell.faith@gmail.com";"RUSSELL, MARY HERNETTA";"REGINA WATKINS";2632164
"PRE-K UNIVERSITY LLC";"ST LOUIS";"ST LOUIS";"63121-4236";"3327 N HANLEY RD ";"(314) 222-1813";;"CHILD CARE CENTER";"09/23/2022";;37;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002700358";"3327 N HANLEY RD ";"ST LOUIS";"MO";"63121-4236";"prekuniversity@gmail.com";"STEVENS, KENYA T";"CHARMEL WILLIAMS";2700358
"PREMIER CHARTER SCHOOL - BEFORE AND AFTE";"SAINT LOUIS ";"ST LOUIS";63139;"5279 FYLER AVE ";"(314) 645-9600";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002238528";;;;;;;;2238528
"PRICE, TANEISHA ";"FLORISSANT ";"ST LOUIS";63031;"875 LIBERTY VILLAGE DR ";"(314) 749-0960";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002330909";;;;;;;;2330909
"PRIMROSE SCHOOL OF BALLWIN";"BALLWIN";"ST LOUIS";"63011-4626";"15031 MANCHESTER RD ";"(636) 220-3100";;"CHILD CARE CENTER";"01/20/2023";;201;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002776054";"206 COUNTRY CREEK CT ";"BALLWIN";"MO";"63011-3814";"sking@primroseballwin.com";"KING, SARAH KATHRYN";"THERESA ZEHNLE";2776054
"PROMISE LAND PRESCHOOL";"ST LOUIS";"ST LOUIS";"63129-2831";"5409 BAUMGARTNER RD ";"(314) 714-2090";;"LICENSE EXEMPT PROGRAM";"10/01/2022";;102;"2 MONTHS - 5 YEARS";" 6:30 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001734190";" ";;;;"kfuchs@promiselandstl.org";"FUCHS, KAREN MARIE";"MICHELLE (SHELLEY) TRUESDALE";1734190
"QUEEN OF PEACE CENTER";"ST LOUIS";"ST LOUIS";"63108-2707";"325 N NEWSTEAD AVE ";"(314) 535-5437";;"CHILD CARE CENTER";"07/20/2022";;25;"6 WEEKS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002760874";" ";;;;"livmon5@gmail.com";"NANCE, OLIVIA D.M.";"TANISHA BELL";2760874
"QUEEN'S ROYAL TREASURES EDU-FIT CHILD CARE";"ST LOUIS";"ST LOUIS";"63135-2261";"1451 CHAMBERS RD ";"(314) 766-5650";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;20;"BIRTH - 12 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002698451";;;;;;;;2698451
"QUEENS AND KINGS LEARNING CENTER LLC";"ST LOUIS";"ST LOUIS";63107;"2310 FARRAR ST ";"(314) 436-6708";;"GROUP HOME";"08/28/2021";;20;"6 WEEKS - 12 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002390907";" ";;;;"queensandkingslearningcenter@yahoo.com";"JACKSON, TIFFIE SHAWNICE";"KATHERINE D SIMS";2390907
"QUEEN'S ROYAL TREASURES EDU-FIT CHILD CARE";"ST LOUIS";"ST LOUIS";"63135-2261";"1451 CHAMBERS RD ";"(314) 766-5650";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;20;"BIRTH - 12 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002698451";;;;;;;;2698451
"R&B RISING STAR DEVELOPMENT CENTER LLC";"ST LOUIS";"ST LOUIS";"63138-1730";"1650 REDMAN RD ";"(314) 395-9334";;"CHILD CARE CENTER";"04/04/2023";;242;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002669929";" ";;;;"rondairving@gmail.com";"IRVING, RONDA LOUISE";"TANISHA BELL";2669929
"RADIANT FAITH ACADEMY";"ST LOUIS";"ST LOUIS";63120;"5314 W FLORISSANT AVE ";"(314) 973-6022";;"CHILD CARE CENTER";"08/28/2021";;48;"6 WEEKS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000814613";"2153 MCKELVEY RD ";"MARYLAND HEIGHTS";"MO";"63043-2309";"RACADEMY@SBCGLOBAL.NET";;"MICHELLE (SHELLEY) TRUESDALE";814613
"RADIANT FAITH ACADEMY";"MARYLAND HEIGHTS";"ST LOUIS";"63043-2309";"2153 MCKELVEY RD ";"(314) 275-7336";;"CHILD CARE CENTER";"08/28/2021";;74;"6 WEEKS - 12 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001981280";" ";;;;"RACADEMY@SBCGLOBAL.NET";"FURNACE, LEE";"MICHELLE (SHELLEY) TRUESDALE";1981280
"RAGGEDY ANN 'N ANDY LEARNING CENTER";"ST LOUIS";"ST LOUIS";63113;"4525 ALDINE ";"(314) 652-7786";;"CHILD CARE CENTER";"08/28/2021";;25;"6 WEEKS - 13 YEARS";" 6:00 AM-11:59 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000968243";" ";;;;"raggedyanndc@gmail.com";"BARNES, KIAUNDRA SHANAE";"THERESA ZEHNLE";968243
"RAINBOW CASTLE CHILD DEVELOPMENT CENTER";"ST LOUIS";"ST LOUIS";"63103-2818";"1222 SPRUCE ST STE 1303 ";"(314) 539-3437";;"CHILD CARE CENTER";"08/28/2021";;75;"6 WEEKS - 6 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000533891";"PO BOX 5186 ";"ST LOUIS";"MO";"63139-0186";"raincas123@gmail.com";"ZIEMIANSKI, KATIE JEAN";"PATRICK OMALLEY";533891
"RAINBOW OF DREAMS LEARNING CENTER";"ST LOUIS";"ST LOUIS";"63136-4017";"9834 HALLS FERRY RD ";"(314) 922-8903";;"LICENSE EXEMPT PROGRAM";"04/01/2023";;45;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002557755";;;;;;;;2557755
"RAINBOW OF DREAMS LEARNING CENTER";"ST LOUIS";"ST LOUIS";"63136-4017";"9834 HALLS FERRY RD ";"(314) 922-8903";;"LICENSE EXEMPT PROGRAM";"04/01/2023";;45;"BIRTH - 13 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002557755";;;;;;;;2557755
"RAINTREE SCHOOL";"ST LOUIS";"ST LOUIS";"63131-1621";"2100 S MASON RD ";"(314) 858-1033";;"CHILD CARE CENTER";"08/28/2021";;110;"24 MONTHS - 8 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002028862";" ";;;;"state@raintreeschool.org";"OTEY, JENNIFER MICHELLE";"MICHELLE (SHELLEY) TRUESDALE";2028862
"RANDLE, RANDRA ";"FLORISSANT ";"ST LOUIS";63031;"2614 SHOREWOOD DR ";"(314) 304-4975";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001910909";;;;;;;;1910909
"RASPBERRY EDDINS, DIANE ";"SAINT LOUIS ";"ST LOUIS";63147;"8635 RIVERVIEW BLVD ";"(314) 385-1242";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002115311";;;;;;;;2115311
"REID, KATHERINE ";"SAINT LOUIS ";"ST LOUIS";63120;"5458 ORIOLE AVE ";"(314) 374-4495";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002745435";;;;;;;;2745435
"RENATE'S CHILDCARE ACADEMY";"ST LOUIS";"ST LOUIS";"63139-1009";"4967 ODELL ST ";"(314) 776-8229";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 16 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000166681";;;;;;;;166681
"RESTORATION TEMPLE";"ST LOUIS";"ST LOUIS";63136;"2002 CHAMBERS RD ";"(314) 869-2713";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;44;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002103057";" ";;;;"ERIN.STRONG26@YAHOO.COM";"STRONG, ERIN MICHELE";"ANGELA R JONES";2103057
"RESTORATION TEMPLE";"ST LOUIS";"ST LOUIS";63136;"2002 CHAMBERS RD ";"(314) 869-2713";;"LICENSE EXEMPT PROGRAM";"08/01/2023";;44;"6 WEEKS - 12 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002103057";" ";;;;"ERIN.STRONG26@YAHOO.COM";"STRONG, ERIN MICHELE";"ANGELA R JONES";2103057
"RESTORATION TEMPLE EARLY LEARNING CENTER";"ST LOUIS";"ST LOUIS";"63133-2545";"1801 KIENLEN AVE ";"(314) 480-2565";;"LICENSE EXEMPT PROGRAM";"04/05/2023";;52;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002931895";;;;;;;;2931895
"RESTORATION TEMPLE EARLY LEARNING CENTER";"ST LOUIS";"ST LOUIS";"63133-2545";"1801 KIENLEN AVE ";"(314) 480-2565";;"LICENSE EXEMPT PROGRAM";"04/05/2023";;52;"24 MONTHS - 12 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002931895";;;;;;;;2931895
"RESURRECTION EARLY CHILDHOOD PROGRAM";"ST LOUIS";"ST LOUIS";63128;"9907 SAPPINGTON RD ";"(314) 843-4980";;"LICENSE EXEMPT PROGRAM";"04/01/2023";;94;"12 MONTHS - 5 YEARS";" 7:30 AM- 4:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000202542";" ";;;;"taylor@lcrstl.org";"HAESE, TAYLOR CHRISTINE";"MICHELLE (SHELLEY) TRUESDALE";202542
"RIGMAIDEN, LAWONDA ";"SAINT LOUIS ";"ST LOUIS";63133;"1453 MORTON AVE ";"(314) 322-6158";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001956487";;;;;;;;1956487
"RILEY, GERALDINE ";"SAINT LOUIS ";"ST LOUIS";63111;"4721 MICHIGAN AVE ";"(314) 939-3481";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002490442";;;;;;;;2490442
"RITENOUR SCHOOL DISTRICT";"ST LOUIS";"ST LOUIS";63114;"3580 WOODSON RD ";"(314) 493-6240";;"CHILD CARE CENTER";"08/28/2021";;272;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001467596";" ";;;;"butlerd@ritenourschools.org";;"CHARMEL WILLIAMS";1467596
"RIVER ROADS LUTHERAN SCHOOL INC ";"SAINT LOUIS ";"ST LOUIS";63147;"8623 CHURCH RD ";"(314) 388-0300";;"Sch";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002353831";;;;;;;;2353831
"RIVERVIEW GARDENS SCHOOL DISTRICT";"ST LOUIS";"ST LOUIS";"63137-1739";"1111 SAINT CYR RD ";"(314) 869-3211";;"CHILD CARE CENTER";"08/28/2021";;260;"36 MONTHS - 5 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001467578";" ";;;;"EMEEKS@RGSD.K12.MO.US";"WILLIAMS, EMITA TERECE";"SHALINDA WALLACE";1467578
"RIZE EDUCATIONAL CHILD CARE CENTER LLC";"ST LOUIS";"ST LOUIS";"63136-5502";"2332 CHAMBERS RD ";"(314) 395-1588";;"CHILD CARE CENTER";"06/28/2023";;25;"6 WEEKS - 6 YEARS";" 6:00 AM- 6:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002595008";;;;;;;;2595008
"ROBERTS, RONDA ";"SAINT LOUIS ";"ST LOUIS";63121;"7003 MOTTE ST ";"(314) 575-9979";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001439812";;;;;;;;1439812
"ROBERTS, STEPHANIE ";"SAINT LOUIS ";"ST LOUIS";63115;"4282 E SAN FRANCISCO AVE ";"(314) 659-7929";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002553624";;;;;;;;2553624
"ROBIN'S NEST DAYCARE & LEARNING CENTER";"ST LOUIS";"ST LOUIS";"63130-2322";"7249 OLIVE BLVD ";"(314) 862-6378";;"CHILD CARE CENTER";"08/28/2021";;30;"6 WEEKS - 13 YEARS";" 6:00 AM- 6:00 AM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001091590";" ";;;;"rbnbradford@yahoo.com";"BRADFORD, ROBIN DENISE";"JULIE PLEIMANN";1091590
"ROBINS, TAYLER ";"FERGUSON ";"ST LOUIS";63135;"324 RAND DR ";"(314) 699-0450";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002948636";;;;;;;;2948636
"ROBINSON, HANEEKA ";"FLORISSANT ";"ST LOUIS";63034;"16844 HEATHER MOOR DR ";"(636) 686-0227";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002961424";;;;;;;;2961424
"ROBINSON, JACKIE CONSTANCE";"ST LOUIS";"ST LOUIS";"63118-2907";"3344 MINNESOTA AVE ";"(314) 772-5635";;"FAMILY HOME";"08/28/2021";;10;"BIRTH - 13 YEARS";" 6:00 AM- 9:00 PM";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=000732032";" ";;;;"constgrow@charter.net";"ROBINSON, JACKIE CONSTANCE";"DENISE ELAYNE KOCH";732032
"ROBINSON, JENNIFER ";"FLORISSANT ";"ST LOUIS";63031;"26 RADFORD DR ";"(314) 498-6474";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001041036";;;;;;;;1041036
"ROBINSON, KELLY ";"FLORISSANT ";"ST LOUIS";63033;"970 CHEYENNE ";"(314) 852-9898";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001339055";;;;;;;;1339055
"ROBINSON, SUPERRIOR ";"SAINT LOUIS ";"ST LOUIS";63130;"6621 BARTMER AVE ";"(314) 489-9434";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=002723771";;;;;;;;2723771
"ROBINSON, SYLVIA ";"SAINT LOUIS ";"ST LOUIS";63134;"6023 EVERGREEN BLVD ";"(314) 283-6618";;"Reg";;;;;"-";"https://healthapps.dhss.mo.gov/childcaresearch/Facility.aspx?LID=001303182";;;;;;;;1303182
