"Name";"LegalEntityName";"Type";"StarRating";"Street";"City";"State";"Zip";"Latitude";"Longitude";"Phone";"Fax";"Email";"Website";"Program";"OtherProgramOffered";"ReferralStatus";"MaximumCapacity";"ProvisionalLicense";"RevokedLicense";"CountiesServed";"SchoolDistrict";"Curriculum";"LeadOrganization";"HoursSunday";"HoursMonday";"HoursTuesday";"HoursWednesday";"HoursThursday";"HoursFriday";"HoursSaturday";"CallerLanguage";"HeadStart";"Languages";"GeneralSchedule";"ServiceSchedule";"SpecialAccomodations";"SubsidyStatus";"PaymentOption";"AdditionalFee";"MealOptions";"Discounts";"CertificateNumber";"UID"
"Villa Day Care Center";"Villa Day Care Center Inc";"CTR";2;"140 E Washington St";"Shenandoah";"PA";17976;40.823719;-76.199969;5704622100;;;;"CCP";"CCP";"ACT";92;"N";"N";;"Shenandoah Valley - Pick-Up service to/from school";;;;"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Employee (50%), Multi-Child (10%)";"CER-00153913";"c4966b547a54246ea3d934969c0a77ea"
"Shenandoah Center";;;4;"125 E Centre St";"Shenandoah";"PA";17976;40.820846;-76.199157;0;;;;"HDS";"HDS";"INA";;"N";"N";"Schuylkill";;"Creative Curriculum";"Child Development Inc";;;;;;;;;;;;;;;;;;;;"5ddf6aa3fce11b7b1df55b561d4d7bec"
"Williams Valley School District";;;0;"10400 State Route 209";"Tower City";"PA";17980;0;0;7176472167;;;;"PKC";"PKC";"INA";;"N";"N";"Schuylkill";"Williams Valley";"Creative Curriculum";"Williams Valley School District";;;;;;;;;;;;;;;;;;;;"75b3419243c86078f869ec50831af8a8"
"Little Blessings Daycare And Preschool";"St Andrews United Methodist Church";"CTR";2;"1382 W MAIN ST";"VALLEY VIEW";"PA";17983;40.644434;-76.546892;5706531160;;;;"CCP";"CCP";"ACT";99;"N";"N";;"Tri-Valley - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"Full Year";"Full Year";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Late Payment, Late Pick-up, Registration";"AM Snack, Lunch, PM Snack";;"CER-00162956";"1d6d19a91b34a592223bb59154855851"
"Little Sprouts Child Care Llc";"Little Sprouts Child Care Llc";"GRP";1;"83 Crest St";"Barnesville";"PA";18214;40.828362;-76.060124;5704673302;;;;"CCP";"CCP";"ACT";12;"N";"N";;"Mahanoy Area - Serviced by school bus";;;;"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";;;"No";;"Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";;"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00155324";"1c32f2e11f964098dce2de9fea4d3fe3"
"Carbon County Hs-Coaldale Center";;;0;"150 W Phillips St";"Coaldale";"PA";18218;40.821756;-75.909821;5706457578;;;;"EHS";"HDS,PKC,EHS";"INN";;"N";"N";"Carbon";"Panther Valley";;"Pathstone Corporation";;;;;;;;;;;;;;;;;;;"CER-00128568";"fa3b1822ee92622226230e4a8aea40b8"
"Cope Childcare And Learning Center Llc";"Cope Childcare And Learning Center Llc";"CTR";3;"521 Schuylkill Ave";"Tamaqua";"PA";18252;40.804429;-75.969742;5702257355;;;;"CCP";"CCP";"ACT";62;"N";"N";;"Tamaqua Area - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";;"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - apply to 2nd, 3rd or more child)";"CER-00154461";"5fc8805e9d8f4412d64eb0792ce0ff8b"
"Cope Childcare And Learning Center Llc";"Cope Childcare And Learning Center Llc";"CTR";3;"562 W Penn Pike";"Tamaqua";"PA";18252;40.774796;-75.958466;5702257058;;;"www.copechildcareandlearningcenter.com";"CCP";"CCP";"ACT";52;"N";"N";;"Tamaqua Area - Serviced by school bus";;;;"5:45 AM - 6:30 PM";"5:45 AM - 6:30 PM";"5:45 AM - 6:30 PM";"5:45 AM - 6:30 PM";"5:45 AM - 6:30 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Evening Care, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Early School Dismissal, Late Payment, Late Pick-up, Registration";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Employee (20%), Multi-Child ($10.00 - apply to 2nd child)";"CER-00162121";"a075deba2837cd0883c11687f2d88f02"
"Lovely Leaps And Bounds Child Care Facility";"Sabrina Danielle Fritzinger";"GRP";2;"325 Willing St";"Tamaqua";"PA";18252;40.801455;-75.964571;5706680199;;;;"CCP";"CCP";"ACT";12;"N";"N";;;;;;"6:00 AM - 4:00 PM";"6:00 AM - 4:00 PM";"6:00 AM - 4:00 PM";"6:00 AM - 4:00 PM";"6:00 AM - 4:00 PM";;;"No";"American Sign Language, ";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Tuition";"Breakfast, AM Snack, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child ($2.00 - YOUNGEST CHILD)";"CER-00164239";"077faba7a5c93ceb5cb96e4ac9804aeb"
"Kelly Boerner Family Day Care";"Kelly Boerner";"FMY";1;"210 Penn St";"Tamaqua";"PA";18252;40.793067;-75.974073;5707786047;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Tamaqua Area - Serviced by school bus, Tamaqua Area - Walking distance to school";;;;"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";;"CER-00156500";"89b41bfe79364144f8831bfc269db7c1"
"Marion Cipkos Day Care";"Marion Cipko";"FMY";1;"123 Green St";"Tamaqua";"PA";18252;40.793485;-75.973662;5707787802;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Tamaqua Area - Serviced by school bus, Tamaqua Area - Walking distance to school";;;;"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Field Trip";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";"Multi-Child (100% - 3RD CHILD NO CHARGE)";"CER-00164432";"24bd6c0cb93cf7698a14c6300b98bb7a"
"Lois Knadler";"Lois Knadler";"GRP";1;"15 Russell St";"Tamaqua";"PA";18252;40.825243;-75.997425;5706684852;;;;"CCP";"CCP";"ACT";12;"N";"N";;"Tamaqua Area - Serviced by school bus";;;;"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";"6:00 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Sick Care, Drop-In Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation, Scholarships/United Way/Sliding Fee Scales";"Registration";"Breakfast, AM Snack, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";;"CER-00160720";"2b29fe3e9a9a2017584aa23aebe3c6f1"
"Tamaqua Childcare Center Inc";"Tamaqua Childcare Center Inc";"CTR";1;"801 R E Broad St";"Tamaqua";"PA";18252;40.799997;-75.954776;5706685371;;;"tamaquachildcare.com";"CCP";"CCP";"ACT";60;"N";"N";;"Tamaqua Area - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack";;"CER-00160859";"167cec4b431da0020ba7d36453ab626c"
"Linda Wisniewski";"Linda Wisniewski";"FMY";1;"Po Box 309";"Tamaqua";"PA";18252;40.795971;-75.972829;5706682214;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Tamaqua Area - Serviced by school bus";;;"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";"6:00 AM - 6:00 AM";;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Overnight Care, Evening Care, Weekdays, Weekend Care, Flexible Schedule, 24 Hour Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack, Dinner";;"CER-00155326";"473f0f13a39e74bd271513b620d9bdb9"
"Child Development Inc Tamaqua Center";;;4;"255 W Broad St";"Tamaqua";"PA";18252;40.796866;-75.975832;5706685404;;;"www.childdevelop.org";"HDS";"HDS,PKC";"INA";;"N";"N";"Schuylkill";"Tamaqua Area";;"Child Development Inc";;;;;;;;;;;;;;;;;;;;"cf255a953166b538f252bd88677638c8"
"West Snyder Elementary";;;4;"645 Snyder Ave";"Beaver Springs";"PA";17812;40.743072;-77.219314;7172423032;;;"www.sumcd.org";"HDS";"HDS,PKC";"INA";;"N";"N";"Snyder";"Midd-West";;"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"dac62e091fab0cf6eb34fda981035867"
"Loving Hearts Day Care";;"CTR";0;"138 Furnace Rd";"Middleburg";"PA";17842;40.787091;-77.051342;0;;;;"CCP";"CCP";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;;"1a0c86c2e94124ee4cd73834de353ce5"
"Heavens Little Angels";"Sound Truth Ministries Inc";"CTR";1;"275 W Market St";"Middleburg";"PA";17842;40.790967;-77.055392;5708373338;;;;"CCP";"CCP";"ACT";75;"N";"N";;"Midd-West - Pick-Up service to/from school";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";"Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up";"Breakfast, Lunch, PM Snack, Child and Adult Care Food Program (CACFP) Meals";"Multi-Child (10% - oldest child's tuition)";"CER-00165401";"96974c3d24f516b848e3f61bd69f4758"
"Middleburg Elementary School";;;0;"600 Wagenseller St";"Middleburg";"PA";17842;40.786395;-77.036035;5708375524;;;;"PKC";"PKC";"INN";;"N";"N";"Snyder";"Midd-West";"Creative Curriculum";"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"56a188c9d878a3dec19833b3b5f368d8"
"Midd West Middle School";;;0;"10 Dock Hill Rd";"Middleburg";"PA";17842;40.789237;-77.031516;5708370046;;;;"PKC";"HDS,PKC";"INA";;"N";"N";"Snyder";"Midd-West";"Creative Curriculum";"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"38a9d4f7c9347a1ab99374f22bd4ad15"
"Midd West High School";;;0;"540 E Main St";"Middleburg";"PA";17842;40.789198;-77.036384;5708370046;;;;"PKC";"HDS,PKC";"INA";;"N";"N";"Snyder";"Midd-West";"Creative Curriculum";"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"af06db98bd7a3223775c2a5fce6a1d58"
"Middleburg Family Center";;;4;"138 Furnace Rd";"Middleburg";"PA";17842;40.789899;-77.050836;5707657130;;;"www.sumcd.org";"HDS";"HDS";"INA";;"N";"N";"Snyder";"Midd-West";;"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"6c8bb7848a402277b46522607ad72669"
"Sumcd-Middleburg Head Start Center";;;0;"14476 Route 104";"Middleburg";"PA";17842;40.80147;-77.052433;5708376502;;;;"HDS";"HDS";"INA";;"N";"N";"Snyder";"Midd-West";;"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"bc5f5816895e214d11e10692f21d0427"
"Summit Early Learning-Susquehanna";"Summit Early Learning";;4;"590 University Ave";"Selinsgrove";"PA";17870;40.799193;-76.873422;5703724082;;;"www.sumcd.org";"PKC";"CCP,HDS,PKC";"ACT";137;"N";"N";"Snyder";"Selinsgrove Area";"Creative Curriculum";"Summit Early Learning";;;;;;;;;;;;;;;;;;;"CER-00158261";"4aec955bbe1a9a51b5a11b21e35a581f"
"Summit Csd-Selinsgrove Elementary";"Summit Early Learning";;4;"600 N Broad St";"Selinsgrove";"PA";17870;40.80762;-76.866549;5703722285;;;"www.sumcd.org";"PKC";"CCP,PKC";"ACT";999;"N";"N";"Snyder";"Midd-West";"Creative Curriculum";"Summit Early Learning";;;;;;;;;;;;;;;;;;;"CER-00165402";"05bf3cb3cf848548a35d977e58e8ee70"
"Childrens Discovery Centers Inc";"Childrens Discovery Centers Inc";"CTR";0;"1000 Us";"Selinsgrove";"PA";17870;40.806362;-76.883323;5703742085;;;;"CCP";"CCP";"ACT";100;"N";"N";;"Selinsgrove Area - Pick-Up service to/from school";;;;"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";"5:30 AM - 6:30 PM";;;"No";"Sign Language, Spanish";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation, Scholarships/United Way/Sliding Fee Scales";"Bounced Check, Late Pick-up, Registration, Tuition";"Breakfast, Lunch, PM Snack, Dinner, Child and Adult Care Food Program (CACFP) Meals, Special Dietary Needs";"Multi-Child (10% - applies to all but youngest)";"CER-00161254";"b5d223a05260378d028b26b37d684b0b"
"Jessica L Willis Family Child Care Home";"Jessica Willis";"FMY";1;"1050 Perkinson Rd";"Selinsgrove";"PA";17870;40.853716;-76.917261;5703746363;;;;"CCP";"CCP";"ACT";6;"N";"N";;"Selinsgrove Area - Serviced by school bus";;;;"5:00 AM - 5:00 PM";"5:00 AM - 5:00 PM";"5:00 AM - 5:00 PM";"5:00 AM - 5:00 PM";"5:00 AM - 5:00 PM";;;"No";;;;;"Eligible Subsidy Provider";"CAO, CIS, Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Late Pick-up";"Breakfast, Lunch, PM Snack";;"CER-00154167";"a6cbef5f34b95164a9e5fcdaa49c6d83"
"Selinsgrove High School Childrens Center";;;0;"Selinsgrove High School";"Selinsgrove";"PA";17870;40.805975;-76.868559;5703742959;;;"www.sumcd.org";"HDS";"HDS";"INN";;"N";"N";"Snyder";"Selinsgrove Area";;"Summit Early Learning";;;;;;;;;;;;;;;;;;;;"df7aaf49180952687cdcbd20aca6b5de"
"Cindy Shafers Family Day Care";"Cindy Shafer";"FMY";2;"264 Weyand Ave";"Confluence";"PA";15424;39.816723;-79.327229;8142338112;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;;"6:00 AM - 4:30 PM";"6:00 AM - 4:30 PM";"6:00 AM - 4:30 PM";"6:00 AM - 4:30 PM";"6:00 AM - 4:30 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Late Payment, Late Pick-up";"Breakfast, AM Snack, Lunch, PM Snack";;"CER-00156404";"8d1f76f682e9a08e112e291e50bfff23"
"Confluence Head Start";;;0;"821 Oden St";"Confluence";"PA";15424;39.806144;-79.356725;0;;;;"HDS";"HDS";"INN";;"N";"N";"Somerset";"Turkeyfoot Valley Area";;"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"20e71f8073cc3dd688e656f3c69553fc"
"Tech Center";;;4;"281 Technology Center Dr";"Somerset";"PA";15501;40.004465;-79.032898;8144434588;;;"www.capfsc.org";"PKC";"HDS,PKC";"INA";;"N";"N";"Somerset";"Somerset Area";"Creative Curriculum";"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"6200929fd57536d0ef8159989269b9f7"
"Eagle View Elementary";;;0;"191 Discovery Ln";"Somerset";"PA";15501;40.009404;-79.103495;8144448455;;;;"PKC";"PKC";"INA";;"N";"N";"Somerset";"Somerset Area";"Creative Curriculum";"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"a7611d7271c81f7084c338124eec4811"
"Somerset Area School District";;;4;"105 New Centerville Rd";"Somerset";"PA";15501;40.004773;-79.099756;8144432831;;;"www.capfsc.org";"HDS";"HDS";"INA";;"N";"N";"Somerset";;;"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"e8649b138d65d52fbcf12f357db95484"
"The Learning Lamp Ctr For Chdn Somerset";"The Learning Lamp";"CTR";2;"451 Aberdeen Dr";"Somerset";"PA";15501;40.004791;-79.097777;8144448828;;;;"CCP";"CCP";"ACT";121;"N";"N";;"Somerset Area - Serviced by school bus";;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Flexible Schedule";"Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Registration, Tuition";"Breakfast, AM Snack, PM Snack";"Employee ($8.00)";"CER-00161330";"7283da09b05034b47cf0fbd35a9958fa"
"Little Dreamers Daycare & Preschool";"Little Dreamers Llc";"CTR";2;"401 Georgian Pl";"Somerset";"PA";15501;40.022472;-79.073294;8147012444;;;;"CCP";"CCP";"ACT";71;"N";"N";;"Somerset Area - Pick-Up service to/from school";;;;"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";"6:00 AM - 5:30 PM";;;"No";"American Sign Language, ";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays";;"Eligible Subsidy Provider";;"Bounced Check, Late Payment, Late Pick-up, Registration";"AM Snack";"Multi-Child (10% - apply to oldest), Employee (15% - all children)";"CER-00167485";"9dd13fc13dc551d29394bdd92e56a604"
"Trinity Evangelical Lutheran Ch";"Trinity Lutheran Child Care & Lrg Ctr";"CTR";1;"918 Tayman Ave";"Somerset";"PA";15501;40.006407;-79.095956;8144455436;;;"www.TrinitySomerset.org";"CCP";"CCP";"ACT";81;"N";"N";;"Somerset Area - Pick-Up service to/from school";;;;"5:30 AM - 6:00 PM";"5:30 AM - 6:00 PM";"5:30 AM - 6:00 PM";"5:30 AM - 6:00 PM";"5:30 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, Summer Only, Full Year, Weekdays, Drop-In Care";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Late Payment, Late Pick-up, Registration";"AM Snack, PM Snack";"Multi-Child ($2.00)";"CER-00164427";"c3aef82b922609a91fc9ae55c63ea579"
"Gayle L Morocco Family Child Care Home";"Gayle Morocco";"FMY";1;"710 E Main St";"Somerset";"PA";15501;40.005562;-79.064415;8144431519;;;;"CCP";"CCP";"ACT";6;"N";"N";;;;;;"6:45 AM - 5:20 PM";"6:45 AM - 5:20 PM";"6:45 AM - 5:20 PM";"6:45 AM - 5:20 PM";"6:45 AM - 5:20 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, After School, School Year Only, Summer Only, Full Year, Drop-In Care";"School District Holidays, Early Dismissal School Days, School District Snow Days, After School, School Year Only, Summer Only, Full Year, Drop-In Care";;"Eligible Subsidy Provider";;"Late Payment, Late Pick-up";"Breakfast, Lunch, PM Snack";"Multi-Child ($8.00)";"CER-00163048";"cc1e4f76dfeb47bdf84e9b38a1a3da34"
"Abc Review Child Care Center";"Larry Delano Stewart Jr";"CTR";1;"700 Cannell Dr";"Somerset";"PA";15501;39.996098;-79.091117;8144431131;;;;"CCP";"CCP";"ACT";77;"N";"N";;"Somerset Area - Serviced by school bus";;;;"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";"6:30 AM - 5:30 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Evening Care, Weekdays, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation, Child Welfare Agency/DHS Participation";"Bounced Check, Field Trip, Late Payment, Late Pick-up, Registration";"AM Snack, PM Snack";;"CER-00166376";"a88f01742dd557fa7aa390192fde5d73"
"Jens Learning Leap Childcare Center";;"CTR";2;"701 North St";"Berlin";"PA";15530;39.921781;-78.955004;0;;;;"CCP";"CCP";"INN";;"N";"N";;;;;;;;;;;;;"No";;;;;"Eligible Subsidy Provider";;;;;"CER-00162034";"31845ab4ffd031f843b2be118253dc82"
"Berlin-Brothersvalley Sd";;;0;"1025 Main St";"Berlin";"PA";15530;39.921139;-78.947367;8142675071;;;;"PKC";"PKC";"INN";;"N";"N";"Somerset";"Berlin Brothersvalley";"Creative Curriculum";"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"5d2b95b17f614bcfc608e91338f2fcb9"
"The Learning Lamp Center For Children At Boswell";"The Learning Lamp";"CTR";2;"131 Schoolhouse Rd";"Jennerstown";"PA";15547;0;0;8146295345;;;;"CCP";"CCP";"ACT";66;"N";"N";;;;;;"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";"6:00 AM - 6:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Late Payment, Late Pick-up, Tuition";"Breakfast, AM Snack, PM Snack";"Employee ($5.00 - per day), Multi-Child (10%)";"CER-00161601";"57bfa3420d2ac50ed9442c96059ea29f"
"Mothers Friend Daycare";"Mothers Friend Daycare";"GRP";1;"215 Main St";"Meyersdale";"PA";15552;39.814484;-79.027357;8146340428;;;;"CCP";"CCP";"ACT";12;"N";"N";;"Meyersdale Area - Serviced by school bus";;;;"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";"6:30 AM - 5:00 PM";;;"No";;"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";"School District Holidays, Early Dismissal School Days, School District Snow Days, Before School, After School, School Year Only, Summer Only, Full Year, Weekdays, Drop-In Care, Flexible Schedule";;"Eligible Subsidy Provider";"Child Care Works/Subsidy Participation";"Bounced Check, Early School Dismissal, Field Trip, Late Payment, Late Pick-up, Tuition";"AM Snack, Lunch, PM Snack";;"CER-00163894";"bad196ca95e05bc65e2341f1cfdf19c8"
"Meyersdale Head Start";;;4;"1345 Shaw Mines Rd";"Meyersdale";"PA";15552;39.796107;-79.042336;8146345712;;;;"HDS";"HDS";"INA";;"N";"N";"Somerset";"Meyersdale Area";;"Tableland Services, Inc.";;;;;;;;;;;;;;;;;;;;"27079b4daa9bc4d410cce5b1981a507a"
