"Program Type";"Number";"Program Name";"Address";"City";"State";"Zip";"Program Status";"Administrator(s)";"County";"License Begin Date";"License Expiration Date";"SUTQ Rating";"Phone";"Type";"Accreditations";"Meals";"Before School Care";"Evening Care";"Special Needs";"Transportation";"After School Care";"Overnight Care";"Field Trips";"Early Childhood Education Grant";"Head Start";"Private Kindergarten";"Publicly Funded Child Care";"Liability Insurance";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"Ohio Department of Education Licensed Preschool";1000019114;"MONROE ELEMENTARY SCHOOL";"5000 STATE ROUTE 38 NW";"LONDON";"OH";43140;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";4;"614-873-8503";"P";;"+";;;;"+";;;;;;;;;"CLOSED";"CLOSED";"CLOSED";"CLOSED";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018862;"NORWOOD SCHOOL";"899 NORWOOD DR";"WEST JEFFERSON";"OH";43162;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";4;"937-484-1557";"P";;;;;;"+";;;;"+";;;;;"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"08:30 AM to 03:15 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000018863;"NORWOOD SCHOOL";"899 NORWOOD DR";"WEST JEFFERSON";"OH";43162;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";2;"937-484-1557";"S";;"+";"+";;;;"+";;"+";;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019663;"PLAIN CITY ELEMENTARY SCHOOL";"580 S CHILLICOTHE ST";"PLAIN CITY";"OH";43064;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";4;"614-873-4608";"P";;"+";;;;"+";;;;;"+";;;;"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"CLOSED";"08:30 AM to 03:30 PM";"08:30 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";403616;"PRESBYTERIAN CHILD CENTER LLC";"211 GARFIELD AVE";"LONDON";"OH";43140;"CONTINUOUS LICENSE";"Stacey Oty";"MADISON";"April 11, 1991";"Continuous";;"740-852-3190";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018675;"ST PATRICK";"226 ELM ST";"LONDON";"OH";43140;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";;"740-852-0161";"P";;;"+";"+";;;"+";;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1000018674;"ST PATRICK";"226 ELM ST";"LONDON";"OH";43140;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";;"740-852-0161";"S";;;"+";;;;"+";;;;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018305;"TOLLES CAREER & TECHNICAL CENTER";"7877 US HIGHWAY 42 S";"PLAIN CITY";"OH";43064;"CONTINUOUS LICENSE";;"MADISON";"September 24, 2011";"Continuous";;"614-873-4666";"P";;"+";;;;;;;;;;;;;"CLOSED";"08:30 AM to 02:30 PM";"08:30 AM to 02:30 PM";"08:30 AM to 02:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";400883;"UNION COUNTY FAMILY YMCA BEFORE/AFTER SCHOOL CARE";"580 S CHILLICOTHE ST";"PLAIN CITY";"OH";43064;"CONTINUOUS LICENSE";"ALAINA RICKABAUGH";"MADISON";"August 23, 2011";"Continuous";;"937-303-2266";"C";;;"+";;;;"+";;;;;;;;"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";946878173;"WARD, REBECCA";"2185 MARKLEY RD.";"LONDON";"OH";43140;"CONTINUOUS LICENSE";;"MADISON";"January 1, 2014";"Continuous";4;"937-243-9532";"B";;"+";;;;;;;;;;;"+";"+";"05:30 AM to 06:00 PM";"05:30 AM to 06:00 PM";"05:30 AM to 06:00 PM";"05:30 AM to 06:00 PM";"05:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";912608402;"ADAMS, CRYSTAL";"1355 DOUGLAS";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-782-5349";"B";;;;;;;;;;;;;"+";;"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Child Care Center";100424;"ALTA HEAD START CAMP CHALLENGE";"939 WILKINSON AVE";"YOUNGSTOWN";"OH";44509;"CONTINUOUS LICENSE";"Margie Diernbach";"MAHONING";"August 31, 2016";"Continuous";4;"330-792-0576";"C";;"+";;;;"+";;;"+";;"+";;;;"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"08:00 AM to 05:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100355;"ALTA HEAD START CAMPBELL";"2002 COMMUNITY CIRCLE";"CAMPBELL";"OH";44405;"CONTINUOUS LICENSE";"Renee Zura, Christine Womer";"MAHONING";"August 20, 2015";"Continuous";4;"330-799-6839";"C";;"+";;;;"+";;;"+";;"+";;;;"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Child Care Center";100339;"ALTA HEAD START CAMPUS OF CARE";"4891 E COUNTY LINE RD. 6C";"MINERAL RIDGE";"OH";44440;"CONTINUOUS LICENSE";"Melissa Christy, MICHELLE AIRHART";"MAHONING";"August 1, 2015";"Continuous";4;"330-750-7103";"C";;"+";;;;;;;"+";;"+";;;;"08:15 AM to 04:45 PM";"08:15 AM to 04:45 PM";"08:15 AM to 04:45 PM";"08:15 AM to 04:45 PM";"08:15 AM to 04:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100353;"ALTA HEAD START MCCARTNEY";"1988 MCCARTNEY RD";"YOUNGSTOWN";"OH";44505;"CONTINUOUS LICENSE";"Melissa Lincoln, Dorothy Gray";"MAHONING";"August 20, 2015";"Continuous";4;"330-750-7122";"C";;"+";;;;;;;"+";"+";"+";;;;"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"08:00 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170015577;"ALTA HEAD START MILLCREEK LEARNING CENTER";"4570 LOCKWOOD BLVD.";"YOUNGSTOWN";"OH";44512;"CONTINUOUS LICENSE";"Brandie Smrek";"MAHONING";"August 21, 2017";"Continuous";4;"330-782-0573";"C";;"+";;;;;;;"+";;"+";;;;"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100351;"ALTA HEAD START OCCHA";"3660 SHIRLEY RD.";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";"TINA LOPEZ";"MAHONING";"August 20, 2015";"Continuous";4;"330-750-7102";"C";;"+";;;;;;;"+";"+";"+";;;;"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2180018141;"ALTA HEAD START POTENTIAL DEVELOPMENT";"880 E. INDIANOLA AVE.";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";"Angela Franklin, Keyonna Carter";"MAHONING";"August 27, 2018";"Continuous";4;"330-746-7641";"C";;"+";;;;"+";;;"+";"+";"+";;;;"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"08:30 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100337;"ALTA HEAD START RENAISSANCE";"345 OAK HILL";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";"Lisa Robinson, MELISSA CHRISTY";"MAHONING";"July 31, 2015";"Continuous";4;"330-750-7110";"C";;;;;;;;;;;;;;;"01:15 AM to 04:00 PM";"01:15 AM to 04:00 PM";"01:15 AM to 04:00 PM";"01:15 AM to 04:00 PM";"08:15 AM to 04:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2200022413;"ALTA HEAD START STAMBAUGH";"2420 DONALD AVENUE";"YOUNGSTOWN";"OH";44509;"CONTINUOUS LICENSE";"Carlie Raybuck, Neena Guerrieri";"MAHONING";"August 26, 2020";"Continuous";4;"330-736-0071";"C";;"+";;;;;;;"+";"+";"+";;;;"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"08:00 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100354;"ALTA HEAD START YMCA";"126 W INDIANA AVE.";"SEBRING";"OH";44672;"CONTINUOUS LICENSE";"DARINDA SPINKS";"MAHONING";"August 20, 2015";"Continuous";4;"330-744-8411";"C";;"+";;;;;;;"+";;"+";;;;"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2170012493;"ALTA HEAD START YSU";"1 UNIVERSITY PLAZA";"YOUNGSTOWN";"OH";44555;"CONTINUOUS LICENSE";"Jenn McMaster";"MAHONING";"March 7, 2017";"Continuous";4;"330-736-0071";"C";;"+";;;;;;;"+";"+";"+";;;;"07:45 AM to 03:00 PM";"07:45 AM to 03:00 PM";"07:45 AM to 03:00 PM";"07:45 AM to 03:00 PM";"07:45 AM to 03:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";923144211;"ANDERSON, ANGELIQUE";"2303 MT VERNON AVE";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";;"MAHONING";"July 21, 2015";"Continuous";;"330-398-4983";"B";;"+";"+";"+";;;"+";"+";"+";;;;"+";;"01:30 PM to 11:45 PM";"01:30 PM to 11:45 PM";"01:30 PM to 11:45 PM";"01:30 PM to 11:45 PM";"01:30 PM to 11:45 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2190019978;"ANTONEISHA JONES";"2820 BENFORD LN.";"YOUNGSTOWN";"OH";44505;"CONTINUOUS LICENSE";;"MAHONING";"November 8, 2019";"Continuous";;"330-261-1454";"B";;"+";"+";"+";;;"+";"+";;;;;"+";"+";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Type B Family Child Care Home";902621740;"ARMSTRONG, MARIE";"4165 STAATZ DR";"YOUNGSTOWN";"OH";44511;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";3;"330-559-9994";"B";;"+";"+";"+";;;"+";;"+";;"+";;"+";"+";"06:00 AM to 11:30 PM";"06:00 AM to 11:30 PM";"06:00 AM to 11:30 PM";"06:00 AM to 11:30 PM";"06:00 AM to 04:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100638;"AUSTINTOWN COMMUNITY CHURCH PRESCHOOL";"242 S CANFIELD NILES RD";"YOUNGSTOWN";"OH";44515;"CONTINUOUS LICENSE";"Elizabeth Lowery";"MAHONING";"May 30, 1975";"Continuous";;"330-793-1843";"C";;"+";"+";;;;"+";;"+";;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000020300;"AUSTINTOWN EARLY LEARNING CENTER";"4211 EVELYN RD";"YOUNGSTOWN";"OH";44511;"CONTINUOUS LICENSE";;"MAHONING";"August 30, 2013";"Continuous";4;"330-797-3900";"P";;"+";;;;;;;;;;;;;"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"08:30 AM to 03:45 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1190020138;"AUSTINTOWN ELEMENTARY SCHOOL";"245 IDAHO RD";"YOUNGSTOWN";"OH";44515;"CONTINUOUS LICENSE";;"MAHONING";"August 8, 2019";"Continuous";4;;"P";;"+";"+";;;;"+";;"+";;;;"+";;"07:00 AM to 04:00 PM";"07:00 AM to 04:00 PM";"07:00 AM to 04:00 PM";"07:00 AM to 04:00 PM";"07:00 AM to 04:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019104;"B L MILLER SCHOOL";"506 W VIRGINIA AVE";"SEBRING";"OH";44672;"CONTINUOUS LICENSE";;"MAHONING";"September 24, 2011";"Continuous";4;"330-965-7828";"P";;"+";;;;;;;;;;;;;"07:45 AM to 02:30 PM";"07:45 AM to 02:30 PM";"07:45 AM to 02:30 PM";"07:45 AM to 02:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";901282320;"BARAKA, BEVERLY A";"182 W. WARREN AVE.";"YOUNGSTOWN";"OH";44507;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-402-3452";"B";;"+";"+";;;;"+";"+";;;"+";;"+";;"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM"
"Licensed Child Care Center";100104;"BARREL OF MONKEYS";"640 S. CANFIELD NILES ROAD";"AUSTINTOWN";"OH";44515;"CONTINUOUS LICENSE";"Jerica Perrine, Aubrey Groff";"MAHONING";"November 8, 2011";"Continuous";4;"330-953-3110";"C";;;;;;;;;;;;;"+";;"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"05:30 AM to 07:00 PM";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000018153;"BEEGHLEY HALL-YOUNGSTOWN ST UN";"BEEGHLEY HALL - BUILDING #58";"YOUNGSTOWN";"OH";44555;"CONTINUOUS LICENSE";;"MAHONING";"September 24, 2011";"Continuous";4;;"P";;"+";"+";;;;"+";;;;;;"+";;"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"07:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";967651575;"BILLS, MARY";"129 W GLENAVEN";"YOUNGSTOWN";"OH";44507;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-782-0310";"B";;"+";"+";"+";;;"+";;;;;;"+";;"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM";"05:30 AM to 11:45 PM"
"Licensed Child Care Center";100014;"BOARDMAN UNITED METHODIST PRESCHOOL";"6809 MARKET ST";"YOUNGSTOWN";"OH";44512;"CONTINUOUS LICENSE";"LACY ALBERT";"MAHONING";"June 15, 1970";"Continuous";4;"330-758-3673";"C";;;;;;;;;"+";;;;"+";;"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"06:30 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100258;"BRIGHT STAR CHILD CARE CENTER";"7640 GLENWOOD AVENUE";"BOARDMAN";"OH";44512;"CONTINUOUS LICENSE";"KACIE NEVELS";"MAHONING";"August 28, 2014";"Continuous";;"330-746-5090";"C";;"+";"+";;;;"+";;;;;;"+";;"05:45 AM to 06:30 PM";"05:45 AM to 06:30 PM";"05:45 AM to 06:00 PM";"05:45 AM to 06:30 PM";"05:45 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210025287;"BRILLIANT BEGINNINGS CHILD DEVELOPMENT CENTER, LLC";"124 KEYSTONE ST";"CAMPBELL";"OH";44405;"PROVISIONAL LICENSE";"deseree heard, keisha brock";"MAHONING";"December 13, 2021";"December 12, 2022";;"330-330-8063";"C";;;;;;;;;;;;;"+";;"05:30 AM to 06:30 PM";"05:30 AM to 06:30 PM";"05:30 AM to 06:30 PM";"05:30 AM to 06:30 PM";"05:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";962789756;"BROWN, GALEN";"851 BERKLEY AVE";"YOUNGSTOWN";"OH";44505;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";4;"330-746-4539";"B";;"+";"+";"+";;"+";"+";;"+";;;;"+";"+";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Type B Family Child Care Home";945077933;"BROWN, GERALDINE";"31 WOODLAND AVENUE";"CAMPBELL";"OH";44505;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-743-9440";"B";;"+";;"+";;;"+";;;;;;"+";;"08:30 AM to MIDNIGHT";"08:30 AM to MIDNIGHT";"08:30 AM to MIDNIGHT";"08:30 AM to MIDNIGHT";"08:30 AM to MIDNIGHT";"09:00 AM to 07:00 PM";"CLOSED"
"Licensed Type B Family Child Care Home";903664372;"BRUTON, STEPHANIE";"180 W. GLENAVEN";"YOUNGSTOWN";"OH";44507;"CONTINUOUS LICENSE";;"MAHONING";"December 10, 2014";"Continuous";;"330-743-1895";"B";;;;;;;;;;;;;"+";;"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";931049540;"BRYANT, CYNTHIA";"123 W MARION";"YOUNGSTOWN";"OH";44507;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-743-5614";"B";;"+";"+";"+";;"+";"+";"+";"+";;;;"+";;"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Child Care Center";2210024876;"BUNDLE OF JOY CHILDCARE CENTER";"3125 SHADY RUN RD.";"YOUNGSTOWN";"OH";44502;"PROVISIONAL LICENSE";"LaTarsha Bratton";"MAHONING";"December 27, 2021";"December 26, 2022";;"330-781-5086";"C";;;;;;;;;;;;;"+";;"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"06:30 AM to 06:30 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";999091926;"BURNETTE, ROBINETTE";"431 W. MIDLOTHIAN BLVD.";"YOUNGSTOWN";"OH";44511;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-509-3663";"B";;"+";"+";"+";;;"+";"+";;;;;"+";;"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Licensed Type B Family Child Care Home";949137330;"BURRIER, KELLY";"5676 COLGATE AVENUE";"AUSTINTOWN";"OH";44515;"CONTINUOUS LICENSE";;"MAHONING";"January 1, 2014";"Continuous";;"330-719-7655";"B";;"+";"+";"+";;"+";"+";"+";"+";;;;"+";"+";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT"
"Ohio Department of Education Licensed Preschool";1000020493;"C H CAMPBELL SCHOOL";"300 MORELAND DR";"CANFIELD";"OH";44406;"CONTINUOUS LICENSE";;"MAHONING";"August 28, 2014";"Continuous";4;"330-965-7828";"P";;"+";;;;"+";;;;;;;;;"08:00 AM to 03:15 PM";"08:00 AM to 03:15 PM";"08:00 AM to 03:15 PM";"08:00 AM to 03:15 PM";"08:00 AM to 03:15 PM";"CLOSED";"CLOSED"
"Registered Day Camp";2170014223;"CAMP JCC";"505 GYPSY LANE";"YOUNGSTOWN";"OH";44504;;;"MAHONING";;;;"330-746-3251";"D";;;;;;;;;;;;;;;"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED";"NOT REPORTED"
"Ohio Department of Education Licensed School Age Childcare (SACC)";1180017773;"CAMPBELL ELEMENTARY SCHOOL";"2002 COMMUNITY CIR";"CAMPBELL";"OH";44405;"CONTINUOUS LICENSE";;"MAHONING";"September 24, 2018";"Continuous";;;"S";;"+";;;;"+";"+";;;;;;;;"02:00 PM to 05:30 PM";"02:00 PM to 05:30 PM";"02:00 PM to 05:30 PM";"02:00 PM to 05:30 PM";"CLOSED";"CLOSED";"CLOSED"
"Ohio Department of Education Licensed Preschool";1000019106;"CAMPBELL SCHOOL";"2002 COMMUNITY CIR";"CAMPBELL";"OH";44405;"CONTINUOUS LICENSE";;"MAHONING";"September 24, 2011";"Continuous";4;;"P";;;;;;;;;;"+";;;"+";;"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"08:15 AM to 03:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210025571;"CANFIELD DAY CARE LLC";"50 LISBON ST";"CANFIELD";"OH";44406;"PROVISIONAL LICENSE";"Tracey Raghanti";"MAHONING";"June 15, 2022";"June 14, 2023";;"330-533-2912";"C";;"+";"+";;;;"+";;;;;;"+";;"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";100139;"CANFIELD UNITED METHODIST CHURCH PRESCHOOL";"27 S BROAD ST";"CANFIELD";"OH";44406;"CONTINUOUS LICENSE";"Miranda Johnson";"MAHONING";"October 12, 1970";"Continuous";4;"330-533-9802";"C";;;;;;;;;;;;;;;"09:00 AM to 04:00 PM";"09:00 AM to 04:00 PM";"09:00 AM to 04:00 PM";"09:00 AM to 04:00 PM";"09:00 AM to 12:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2220025772;"CCW ACADEMY LLC";"119 STADIUM DRIVE";"BOARDMAN";"OH";44512;"PROVISIONAL LICENSE";"Janet Petro";"MAHONING";"September 1, 2022";"August 31, 2023";;"330-755-7041";"C";;;"+";;;;"+";;"+";;;;;;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";105597;"CENTER FOR COMMUNITY EMPOWERMENT";"1420 DOGWOOD LANE";"YOUNGSTOWN";"OH";44505;"CONTINUOUS LICENSE";"ELLA PETERSON";"MAHONING";"November 3, 2003";"Continuous";1;"330-740-1982";"C";;"+";"+";;;"+";"+";;"+";;;;"+";;"06:30 AM to 08:00 PM";"06:30 AM to 08:00 PM";"06:30 AM to 08:00 PM";"06:30 AM to 08:00 PM";"06:30 AM to 08:00 PM";"CLOSED";"CLOSED"
"Licensed Type B Family Child Care Home";2210025004;"CHERELLE'S PRECIOUS LITTLE ANGELS DAY CARE LLC,";"763 PALMER";"YOUNGSTOWN";"OH";44502;"CONTINUOUS LICENSE";;"MAHONING";"October 27, 2021";"Continuous";;"234-716-4930";"B";;"+";"+";"+";;;"+";"+";"+";;;;"+";;"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"MIDNIGHT to MIDNIGHT";"CLOSED";"CLOSED"
"Licensed Child Care Center";104868;"CHILD FIRST DAY CARE INC";"116 WESTCHESTER DRIVE";"AUSTINTOWN";"OH";44515;"CONTINUOUS LICENSE";"SANDRA D. MASKARINEC";"MAHONING";"February 17, 2000";"Continuous";;"330-270-0168";"C";;;;;;;;;;;;;"+";;"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"06:30 AM to 05:30 PM";"CLOSED";"CLOSED"
"Licensed Child Care Center";2210024938;"CHILDCARE SOLUTIONS L.L.C. 3";"721 BOARDMAN POLAND RD STE104A";"BOARDMAN";"OH";44512;"PROVISIONAL LICENSE";"Symone Scott, KAREN CARTER";"MAHONING";"October 25, 2021";"October 24, 2022";;"330-984-1362";"C";;;;;;;;;;;;;"+";;"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM";"MIDNIGHT to 11:45 PM"
"Licensed Child Care Center";106957;"CHILDREN'S ACADEMY OF OHIO, LLC";"4580 CANFIELD RD";"CANFIELD";"OH";44406;"CONTINUOUS LICENSE";"ELYSSA K LONEY, BONNIE BERADUCE";"MAHONING";"December 30, 2008";"Continuous";4;"330-797-8666";"C";;;;;;;;;;;;;"+";;"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"07:00 AM to 06:00 PM";"CLOSED";"CLOSED"
