"Provider Name";"Address 1";"Address 2";"City";"State";"ZIP";"Mail Address 1";"Mail Address 2";"Mail City";"Mail State";"Mail ZIP";"Phone";"Fax Number";"Director/Owner";"Status";"License/Registration Issue Date";"Provider Type";"Approved to Accept Child Care Assistance?";"QRS Level";"Current Vacancies";"Capacity";"Monday hours";"Tuesday hours";"Wednesday hours";"Thursday hours";"Friday hours";"Saturday hours";"Sunday hours";"Rates";"County";"URL";"License Expiration Date";"Visit Report"
"Positive Parenting At Trinity";"121 West 12th Street";;"Davenport";"IA";52803;"121 West 12th Street";;"Davenport";"IA";52803;"(563) 322-3260";;", ";"Active";"7/1/2019";"Licensed Center";"Yes";4;;72;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/21.00| Infant (up to 24 months)  Half-Day/21.00| Infant (up to 36 months)  Half-Day/21.00| Infant (up to 36 months)  Half-Day/21.00| Preschool (24 to Kindergarten)  Half-Day/21.00| Preschool (24 to Kindergarten)  Half-Day/21.00| Preschool (36 to Kindergarten)  Half-Day/21.00| Preschool (36 to Kindergarten)  Half-Day/21.00| School Age (K and up)  Half-Day/21.00| School Age (K and up)  Half-Day/21.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20913";"6/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/20913"
"Quad City Montessori School";"2400 E 46th ST";;"Davenport";"IA";52807;"2400 E 46th ST";;"Davenport";"IA";52807;"(563) 355-1289";;", ";"Active";"10/1/2019";"Licensed Center";"Yes";;;153;" 7:30AM -  5:30PM";" 7:30AM -  5:30PM";" 7:30AM -  5:30PM";" 7:30AM -  5:30PM";" 7:30AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/35.88| Infant (up to 24 months)  Half-Day/35.88| Infant (up to 36 months)  Half-Day/35.88| Infant (up to 36 months)  Half-Day/35.88| Preschool (24 to Kindergarten)  Half-Day/35.88| Preschool (24 to Kindergarten)  Half-Day/35.88| Preschool (36 to Kindergarten)  Half-Day/35.88| Preschool (36 to Kindergarten)  Half-Day/35.88| School Age (K and up)  Half-Day/35.88| School Age (K and up)  Half-Day/35.88";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20635";"9/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/20635"
"Ready Set Grow Preschool";"2400 Middle Rd";;"Bettendorf";"IA";52722;"2400 Middle Rd";;"Bettendorf";"IA";52722;"(563) 355-0230";;", ";"Active";"12/1/2019";"Licensed Center";"No";;;24;" 8:00AM -  4:00PM";" 8:00AM -  4:00PM";" 8:00AM -  4:00PM";" 8:00AM -  4:00PM";" 8:00AM -  1:00PM";;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21129";"11/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21129"
"Rebecca Murphey";"4617 Scott ST";;"Davenport";"IA";52806;"4617 Scott ST";;"Davenport";"IA";52806;"(563) 570-2622";;"Murphey, Rebecca";"Active";"10/1/2019";"Registered Child Development Home B";"Yes";4;;12;" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";" 6:30AM -  5:00PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20867";"9/30/2021";
"Red Rover Childrens Learning Center";"3445 Spring Street";;"Davenport";"IA";52807;"3445 Spring Street";;"Davenport";"IA";52807;"(563) 359-9899";;", ";"Active";"4/1/2019";"Licensed Center";"Yes";;;76;" 6:45AM -  5:30PM";" 6:45AM -  5:30PM";" 6:45AM -  5:30PM";" 6:45AM -  5:30PM";" 6:45AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/127.50| Infant (up to 24 months)  Half-Day/127.50| Infant (up to 36 months)  Half-Day/127.50| Infant (up to 36 months)  Half-Day/127.50| Preschool (24 to Kindergarten)  Half-Day/127.50| Preschool (24 to Kindergarten)  Half-Day/127.50| Preschool (36 to Kindergarten)  Half-Day/127.50| Preschool (36 to Kindergarten)  Half-Day/127.50| School Age (K and up)  Half-Day/127.50| School Age (K and up)  Half-Day/127.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=40950";"3/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/40950"
"Redeemer Preschool";"1109 Tanglefoot Lane";;"Bettendorf";"IA";52722;"1109 Tanglefoot Lane";;"Bettendorf";"IA";52722;"(563) 344-0183";;", ";"Active";"12/1/2019";"Licensed Center";"No";;;36;" 8:30AM -  2:45PM";" 8:30AM -  2:45PM";" 8:30AM -  2:45PM";" 8:30AM -  2:45PM";;;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21145";"11/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21145"
"Risen Christ Little Blessings Day Care";"6021 Northwest Blvd";;"Davenport";"IA";52806;"6021 Northwest Blvd";;"Davenport";"IA";52806;"(563) 386-1738";"(563) 386-8969";", ";"Active";"2/1/2020";"Licensed Center";"Yes";;;66;" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/21.50| Infant (up to 24 months)  Half-Day/21.50| Infant (up to 36 months)  Half-Day/21.50| Infant (up to 36 months)  Half-Day/21.50| Preschool (24 to Kindergarten)  Half-Day/21.50| Preschool (24 to Kindergarten)  Half-Day/21.50| Preschool (36 to Kindergarten)  Half-Day/21.50| Preschool (36 to Kindergarten)  Half-Day/21.50| School Age (K and up)  Half-Day/21.50| School Age (K and up)  Half-Day/21.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20645";"1/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/20645"
"Rivermont Collegiate";"1821 Sunset Dr";;"Bettendorf";"IA";52722;"1821 Sunset Dr";;"Bettendorf";"IA";52722;"(563) 359-1366";;", ";"Active";"5/19/2020";"Licensed Center";"No";;;63;" 7:30AM -  6:00PM";" 7:30AM -  6:00PM";" 7:30AM -  6:00PM";" 7:30AM -  6:00PM";" 7:30AM -  6:00PM";;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21147";"5/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21147"
"Robert Mendoza";"2650 Dubuque ST";;"Davenport";"IA";52803;"2650 Dubuque ST";;"Davenport";"IA";52803;"(563) 349-4579";;"Mendoza, Robert";"Active";"10/1/2019";"Registered Child Development Home B";"Yes";;;12;" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";" 7:00AM -  5:00PM";;;"Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 24 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Infant (up to 36 months)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (24 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| Preschool (36 to Kindergarten)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00| School Age (K and up)  Hourly/4.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20531";"9/30/2021";
"Robia Myers";"2714 N Fairmount ST";;"Davenport";"IA";52804;"2714 N Fairmount ST";;"Davenport ";"IA";52804;"(563) 499-6673";;"Myers, Robia";"Active";"2/1/2020";"Registered Child Development Home B";"Yes";;;12;" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";" 6:30AM - 11:15PM";"Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 24 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Infant (up to 36 months)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (24 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| Preschool (36 to Kindergarten)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00| School Age (K and up)  Hourly/3.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=37803";"1/31/2022";
"Ruth Martinez";"1729 Wilkes AVE";;"Davenport";"IA";52804;"1729 Wilkes AVE";;"Davenport";"IA";52804;"(563) 949-9286";;"Martinez, Ruth";"Active";"10/1/2019";"Registered Child Development Home B";"Yes";;;12;" 5:00AM -  8:00PM";" 5:00AM -  8:00PM";" 5:00AM -  8:00PM";" 5:00AM -  8:00PM";" 5:00AM -  8:00PM";" 5:00AM -  8:00PM";;"Infant (up to 24 months)  Half-Day/20.00| Infant (up to 24 months)  Half-Day/20.00| Infant (up to 24 months)  Half-Day/20.00| Infant (up to 36 months)  Half-Day/20.00| Infant (up to 36 months)  Half-Day/20.00| Infant (up to 36 months)  Half-Day/20.00| Preschool (24 to Kindergarten)  Half-Day/20.00| Preschool (24 to Kindergarten)  Half-Day/20.00| Preschool (24 to Kindergarten)  Half-Day/20.00| Preschool (36 to Kindergarten)  Half-Day/20.00| Preschool (36 to Kindergarten)  Half-Day/20.00| Preschool (36 to Kindergarten)  Half-Day/20.00| School Age (K and up)  Half-Day/20.00| School Age (K and up)  Half-Day/20.00| School Age (K and up)  Half-Day/20.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19590";"9/30/2021";
"Sara Bebout ";"1827 W 66th ST";;"Davenport";"IA";52806;"1827 W 66th ST";;"Davenport";"IA";52806;"(563) 508-6556";;"Bebout, Sara";"Active";"2/29/2020";"Registered Child Development Home C";"No";;;16;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=19776";"2/28/2022";
"Sara Young";"2565 Crow Creek RD";;"Bettendorf";"IA";52722;"2565 Crow Creek RD";;"Bettendorf";"IA";52722;"(563) 594-7814";;"Young, Sara";"Active";"5/1/2019";"Registered Child Development Home A";"Yes";;;8;" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";" 7:00AM -  4:30PM";;;"Infant (up to 24 months)  Half-Day/18.00| Infant (up to 24 months)  Half-Day/18.00| Infant (up to 36 months)  Half-Day/18.00| Infant (up to 36 months)  Half-Day/18.00| Preschool (24 to Kindergarten)  Half-Day/18.00| Preschool (24 to Kindergarten)  Half-Day/18.00| Preschool (36 to Kindergarten)  Half-Day/18.00| Preschool (36 to Kindergarten)  Half-Day/18.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20679";"4/30/2021";
"Sarah Reid";"2653 Davie ST";;"Davenport";"IA";52803;"2653 Davie ST";;"Davenport";"IA";52804;"(563) 549-1717";;"Reid, Sarah";"Active";"5/30/2019";"Registered Child Development Home A";"Yes";;;8;" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";" 7:00AM -  5:30PM";;;"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50580";"4/30/2021";
"Sarah Taylor";"503 E 14th ST";;"Davenport";"IA";52803;"503 E 14th ST";;"Davenport";"IA";52803;"(563) 594-7381";;"Taylor, Sarah";"Active";"6/21/2019";"Non-Registered Child Care Home";"Yes";;;5;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/8.19| Infant (up to 36 months)  Half-Day/8.19| Preschool (24 to Kindergarten)  Half-Day/8.19| Preschool (36 to Kindergarten)  Half-Day/8.19| School Age (K and up)  Half-Day/8.19";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20847";"5/31/2021";
"Satin Murphy";"921 W 3rd ST APT 2";;"Davenport";"IA";52802;"921 W 3rd ST APT 2";;"Davenport";"IA";52802;"(563) 424-9961";;"Murphy, Satin";"Active";"4/1/2020";"Registered Child Development Home B";"Yes";;;12;" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";" 5:30AM - 11:59PM";"Infant (up to 24 months)  Half-Day/15.00| Infant (up to 24 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Infant (up to 36 months)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=40812";"3/31/2022";
"Savanna Bragg";"334 S Elmwood AVE";;"Davenport";"IA";52802;"334 S Elmwood AVE";;"Davenport";"IA";52802;"(563) 639-7174";;"Bragg, Savanna";"Active";"8/1/2020";"Registered Child Development Home A";"Yes";;;8;"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"12:00AM - 11:59PM";"Infant (up to 24 months)  Half-Day/13.50| Infant (up to 36 months)  Half-Day/13.50| Preschool (24 to Kindergarten)  Half-Day/13.50| Preschool (36 to Kindergarten)  Half-Day/13.50| School Age (K and up)  Half-Day/13.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=46519";"7/31/2022";
"SCFY Bettendorf Y";"3800 Tanglefoot LN";;"Bettendorf";"IA";52722;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"4/25/2019";"Licensed Center";"Yes";;;120;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (24 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| Preschool (36 to Kindergarten)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00| School Age (K and up)  Half-Day/15.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=50579";"4/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/50579"
"SCFY Bridgeview";"316 S 12th St";;"Le Claire";"IA";52753;"624 E 4th St";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"11/18/2020";"Licensed Center";"Yes";4;;72;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=39456";"12/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/39456"
"SCFY Cody Kids Club";"2100 Territorial Road";;"LeClaire";"IA";52753;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 323-5770";;", ";"Active";"10/1/2019";"Licensed Center";"Yes";3;;60;;;;;;;;"Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49035";"9/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/49035"
"SCFY Davenport Early Learning Center";"624 E 4th ST";;"Davenport";"IA";52801;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 323-5770";;", ";"Active";"6/1/2019";"Licensed Center";"Yes";4;;118;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/21.90| Infant (up to 24 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=45409";"5/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/45409"
"SCFY Grant Wood Kids Club";"1423 Hillside Dr";;"Bettendorf";"IA";52722;"624 East 4th Street";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"10/1/2019";"Licensed Center";"Yes";3;;75;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49034";"9/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/49034"
"SCFY Herbert Hoover Kids Club";"3223 S Hampton DR";;"Bettendorf";"IA";52722;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 345-6508";;", ";"Active";"10/1/2019";"Licensed Center";"Yes";2;;75;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49036";"9/30/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/49036"
"SCFY Hopewell Kids Club";"3900 Hopewell";;"Bettendorf";"IA";52722;"624 E 4th St";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"11/1/2019";"Licensed Center";"Yes";4;;75;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=36208";"10/31/2021";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/36208"
"SCFY Newcomb Early Learning Center";"2619 N Division St";;"Davenport";"IA";52804;"624 E 4th St";;"Davenport";"IA";52801;"(563) 345-6511";;", ";"Active";"9/10/2020";"Licensed Center";"Yes";5;;61;" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";" 6:30AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/21.90| Infant (up to 24 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90| School Age (K and up)  Half-Day/21.90";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=43796";"9/30/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/43796"
"SCFY North";"624 W 53rd ST";;"Davenport";"IA";52806;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 210-9127";;", ";"Active";"5/1/2020";"Licensed Center";"Yes";;;90;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/17.00| Preschool (24 to Kindergarten)  Half-Day/17.00| Preschool (36 to Kindergarten)  Half-Day/17.00| Preschool (36 to Kindergarten)  Half-Day/17.00| School Age (K and up)  Half-Day/17.00| School Age (K and up)  Half-Day/17.00";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=49846";"8/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/49846"
"SCFY Palmer Learning Center";"724 N Harrison ST";;"Davenport";"IA";52803;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 323-4668";;", ";"Active";"5/28/2020";"Licensed Center";"Yes";5;;60;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Infant (up to 24 months)  Half-Day/21.90| Infant (up to 24 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Infant (up to 36 months)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (24 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90| Preschool (36 to Kindergarten)  Half-Day/21.90| School Age (K and up)  Half-Day/21.90| School Age (K and up)  Half-Day/21.90";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21122";"6/30/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21122"
"SCFY Pleasant View Kids Club";"6333 Crow Creek Rd";;"Bettendorf";"IA";52722;"624 E 4th St";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"5/1/2020";"Licensed Center";"Yes";2;;75;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (24 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| Preschool (36 to Kindergarten)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50| School Age (K and up)  Half-Day/9.50";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=21104";"4/30/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/21104"
"SCFY Riverdale Heights Kids Club";"2125 Devils Glenn RD";;"Bettendorf";"IA";52722;"624 E 4th ST";;"Davenport";"IA";52801;"(563) 323-5730";;", ";"Active";"4/1/2020";"Licensed Center";"Yes";4;;75;" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";" 6:00AM -  6:00PM";;;"Preschool (24 to Kindergarten)  Half-Day/18.69| Preschool (24 to Kindergarten)  Half-Day/18.69| Preschool (36 to Kindergarten)  Half-Day/18.69| Preschool (36 to Kindergarten)  Half-Day/18.69| School Age (K and up)  Half-Day/18.69| School Age (K and up)  Half-Day/18.69";"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=20773";"3/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/20773"
"SCFY TBK";"4850 Competition Dr";;"Bettendorf";"IA";52722;"624 E 4th St";;"Davenport";"IA";52801;"(563) 323-5725";;", ";"Active";"3/11/2020";"Licensed Center";"Yes";;;90;;;;;;;;;"Scott";"https://ccmis.dhs.state.ia.us/ClientPortal/ProviderDetails.aspx?PID=51012";"3/31/2022";"https://secureapp.dhs.state.ia.us/dhs_titan_public/caprica/document/GetProviderEvaluation/51012"
